a,b,class,width_m,length_m
N046,N047,SIDE,7,58.5
N038,N048,RISK,4.5,99.9
N048,N003,RISK,4.5,136.5
N016,N049,RISK,4.5,64.2
N049,N027,RISK,4.5,124.8
N018,N050,RISK,4.5,71.7
N050,N043,RISK,4.5,85.9
N023,N051,RISK,4.5,77.5
N051,N036,RISK,4.5,88.6
N052,N053,COURT,8,38.6
N053,N004,COURT,8,47.0
N052,N054,COURT,8,37.4
N054,N006,COURT,8,49.9
N052,N055,COURT,8,32.1
N055,N016,COURT,8,51.2
N056,N057,COURT,8,33.7
N057,N014,COURT,8,61.8
N056,N058,COURT,8,42.3
N058,N049,COURT,8,53.2
N056,N059,COURT,8,39.1
N059,N036,COURT,8,3.9
N060,N061,COURT,8,33.0
N061,N049,COURT,8,50.4
N060,N062,COURT,8,39.8
N062,N050,COURT,8,47.0
N060,N063,COURT,8,36.3
N063,N027,COURT,8,49.8
N064,N000,DEN,5,47.2
N065,N048,DEN,5,39.6
N066,N033,DEN,5,24.6
N067,N042,DEN,5,44.4
N068,N019,DEN,5,40.6
N069,N021,DEN,5,32.2
N070,N044,DEN,5,32.4
N071,N047,DEN,5,49.1
N072,N029,DEN,5,38.2
N073,N038,DEN,5,37.3
N074,N020,DEN,5,51.7
N075,N046,DEN,5,39.6
N076,N007,ARENA,8,82.3
N076,N006,ARENA,8,93.3
N076,N008,ARENA,8,97.8
N077,N042,ARENA,8,16.0
N077,N067,ARENA,8,54.7
N077,N037,ARENA,8,84.7
N078,N040,ARENA,8,27.2
N078,N023,ARENA,8,66.6
N078,N011,ARENA,8,70.0
N079,N024,ARENA,8,37.7
N079,N025,ARENA,8,54.9
N079,N044,ARENA,8,85.8
N080,N028,ARENA,8,16.2
N080,N029,ARENA,8,76.4
N080,N027,ARENA,8,84.1
N081,N039,ARENA,8,21.3
N081,N003,ARENA,8,67.8
N034,N006,ARENA,8,60.8
N082,N036,ARENA,8,40.0
N082,N059,ARENA,8,42.0
N037,N042,ARENA,8,70.4
N083,N001,SHOP,6,6.1
N083,N064,SHOP,6,57.3
N084,N003,SHOP,6,20.0
N084,N032,SHOP,6,62.3
N085,N006,SHOP,6,47.5
N085,N034,SHOP,6,47.5
N086,N009,SHOP,6,63.0
N086,N077,SHOP,6,66.2
N087,N011,SHOP,6,36.8
N087,N012,SHOP,6,47.4
N088,N051,SHOP,6,18.9
N088,N014,SHOP,6,42.4
N089,N050,SHOP,6,18.1
N089,N062,SHOP,6,42.9
N090,N043,SHOP,6,26.0
N090,N068,SHOP,6,73.3
N091,N022,SHOP,6,28.6
N091,N023,SHOP,6,62.8
N092,N082,SHOP,6,9.7
N092,N036,SHOP,6,42.1
N093,N026,SHOP,6,35.6
N093,N027,SHOP,6,44.0
N094,N029,SHOP,6,16.9
N094,N072,SHOP,6,55.1
N095,N031,SHOP,6,53.3
N095,N064,SHOP,6,54.0
N096,N016,SHOP,6,43.4
N096,N049,SHOP,6,56.0
N097,N020,SHOP,6,24.0
