id,x_m,y_m
N000,-350.7,207.9
N001,-254.8,207.9
N002,-212.1,159.9
N003,-110.9,159.9
N004,-62.9,101.3
N005,49.0,101.3
N006,97.0,154.6
N007,187.6,154.6
N008,246.2,199.9
N009,336.9,202.5
N010,-361.4,-29.3
N011,-281.4,-29.3
N012,-230.8,24.0
N013,-153.5,24.0
N014,-100.2,-21.3
N015,-9.6,-21.3
N016,33.0,26.7
N017,134.3,26.7
N018,187.6,-21.3
N019,283.6,-21.3
N020,339.5,26.7
N021,-332.1,-181.2
N022,-241.4,-181.2
N023,-188.1,-127.9
N024,-105.5,-127.9
N025,-49.6,-186.6
N026,65.0,-186.6
N027,118.3,-138.6
N028,203.6,-138.6
N029,267.6,-191.9
N030,339.5,-191.9
N031,-281.4,111.9
N032,-158.8,226.5
N033,-44.2,231.9
N034,49.0,191.9
N035,-70.9,58.6
N036,-49.6,-80.0
N037,211.6,72.0
N038,-316.1,58.6
N039,-180.2,111.9
N040,-254.8,-69.3
N041,-110.9,245.2
N042,272.9,106.6
N043,320.9,-85.3
N044,-150.8,-234.5
N045,-110.9,-314.5
N046,65.0,-274.5
N047,115.7,-303.8
N048,-217.5,74.6
N049,75.7,-21.3
N050,235.6,-74.6
N051,-137.5,-69.3
N052,22.4,109.3
N053,-16.1,105.6
N054,54.3,128.7
N055,26.5,77.4
N056,-12.3,-58.6
N057,-43.3,-45.5
N058,26.7,-42.1
N059,-46.2,-78.0
N060,150.3,-58.6
N061,120.8,-43.9
N062,189.4,-66.0
N063,136.8,-92.3
N064,-305.4,194.5
N065,-188.1,48.0
N066,-49.6,207.9
N067,248.9,143.9
N068,320.9,-37.3
N069,-302.7,-194.5
N070,-145.5,-266.5
N071,126.3,-255.8
N072,302.2,-207.9
N073,-353.4,58.6
N074,368.8,69.3
N075,51.7,-311.8
N076,153.0,229.2
N077,288.9,106.6
N078,-228.1,-74.6
N079,-100.2,-165.2
N080,200.9,-154.6
N081,-158.8,111.9
N082,-49.6,-119.9
N083,-251.0,212.7
N084,-120.5,177.5
N085,95.4,202.0
N086,345.9,140.2
N087,-275.0,6.9
N088,-123.1,-57.0
N089,231.3,-57.0
N090,313.9,-110.3
N091,-245.7,-153.0
N092,-59.2,-121.0
N093,76.8,-153.0
N094,252.6,-183.9
N095,-324.1,143.9
N096,75.7,34.6
N097,363.5,26.7
N098,-14.9,-165.2
N099,-366.7,223.9
N100,-321.4,93.3
N101,-193.5,309.1
N102,-118.9,287.8
N103,25.1,293.2
N104,288.9,277.2
N105,358.2,111.9
N106,358.2,-42.6
N107,336.9,-229.2
N108,182.3,-293.2
N109,11.7,-298.5
N110,-206.8,-285.2
N111,-358.7,-213.2
N112,-377.4,-90.6
N113,182.3,298.5
N114,333.1,166.3
N115,315.5,141.2
N116,299.5,114.6
N117,360.8,181.2
N118,374.2,202.5
N119,325.7,36.2
N120,299.5,32.0
N121,283.6,10.7
N122,-2.7,254.2
N123,-1.6,231.9
N124,-9.6,207.9
N125,-302.7,207.9
N126,-233.5,183.9
N127,-161.5,159.9
N128,-86.9,130.6
N129,-6.9,101.3
N130,73.0,127.9
N131,142.3,154.6
N132,216.9,177.2
N133,291.6,201.2
N134,-321.4,-29.3
N135,-256.1,-2.7
N136,-192.1,24.0
N137,-126.9,1.3
N138,-54.9,-21.3
N139,11.7,2.7
N140,83.7,26.7
N141,161.0,2.7
N142,235.6,-21.3
N143,311.5,2.7
N144,-286.8,-181.2
N145,-214.8,-154.6
N146,-146.8,-127.9
N147,-77.6,-157.2
N148,7.7,-186.6
N149,91.7,-162.6
N150,161.0,-138.6
N151,235.6,-165.2
N152,303.5,-191.9
N153,-268.1,159.9
N154,-256.1,68.0
N155,-81.5,40.0
N156,-102.9,-74.6
N157,115.7,90.6
N158,126.3,-56.0
N159,264.9,89.3
N160,275.6,-106.6
N161,-185.5,193.2
N162,-101.5,229.2
N163,2.4,211.9
N164,118.3,173.2
N165,-112.2,41.3
N166,-18.9,42.6
N167,-29.6,-50.6
N168,-49.6,-133.2
N169,173.0,49.3
N170,247.6,25.3
N171,-338.7,14.7
N172,-298.7,85.3
N173,-230.8,111.9
N174,-166.8,68.0
N175,-242.8,-22.7
N176,-221.5,-98.6
N177,-110.9,202.5
N178,-77.6,238.5
N179,49.0,146.6
N180,73.0,173.2
N181,199.6,113.3
N182,242.2,89.3
N183,304.9,154.6
N184,302.2,-53.3
N185,330.2,-138.6
N186,-128.2,-181.2
N187,-130.9,-274.5
N188,65.0,-230.5
N189,-72.2,70.6
N190,-90.9,9.3
N191,106.3,122.6
N192,125.0,58.6
N193,130.3,-14.7
N194,122.3,-97.3
N195,255.6,144.5
N196,274.2,34.0
N197,279.6,-64.0
N198,271.6,-149.2
