顺序	步骤
1	VALIDATE_TYPED_SOURCE_TARGET_LIFE_AND_CAST_OR_IMPACT_REQUIREMENTS
2	RESOLVE_PROJECTILE_OR_SHAPE_COLLISION
3	RESOLVE_FULL_IMMUNITY_DODGE_AND_BLOCK_IF_ELIGIBLE
4	CALCULATE_FIXED_PLUS_CURRENT_ATTRIBUTE_COEFFICIENT_Q4
5	APPLY_CRITICAL_IF_ELIGIBLE
6	APPLY_SOURCE_CONDITIONAL_AMPLIFIERS
7	APPLY_BIDIRECTIONAL_ELEMENT_IF_RULE_REQUIRES
8	APPLY_TARGET_PERCENT_REDUCTION_UNLESS_DAMAGE_FORM_BYPASSES
9	APPLY_TARGET_FIXED_REDUCTION_UNLESS_DAMAGE_FORM_BYPASSES
10	CLAMP_POSITIVE_NONIMMUNE_DAMAGE_TO_MINIMUM_ONE
11	ABSORB_SHIELDS_NEWEST_FIRST
12	COMMIT_INTEGER_HP_DAMAGE
13	RUN_POST_DAMAGE_AND_LETHAL_TRANSACTION
14	APPEND_LEDGER_REPLAY_ANALYTICS
