ID	名称	类型	归属	CD(s)	瞄准与几何	完整机制
H001	芭蕉风墙	专属	H001	18	target=DIRECTION；cast=INSTANT；range=15m；shape=LINE_WALL；radius=0m；width=12m；duration=3s	type=WIND_WALL；length_m=12；duration_s=3；knockback_m=5；solid=否；blocks_projectile_tag=BLOCKABLE_BY_WIND_WALL
H002	三昧火墙	专属	H002	24	target=DIRECTION；cast=INSTANT；range=15m；shape=LINE_WALL；radius=0m；width=15m；duration=5s	type=FIRE_WALL；length_m=15；thickness_m=1；duration_s=5；cross_damage=fixed=100；attack_coef=0.4；burn_damage_per_s=30；burn_duration_s=3；burn_refresh=是；source_faction=PLAYER_OWNED；element_rule=OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT；owner_credit=CASTER；cross_damage_form=SKILL；cross_hit_kind=ABILITY；burn_damage_form=DOT；burn_hit_kind=PERIODIC；cross_trigger=FULL_OUTSIDE_TO_INSIDE_OR_INSIDE_TO_OUTSIDE；cross_reentry_lock_per_target_s=0.5；standing_overlap_does_not_retrigger=是
H003	盘丝阵	专属	H003	36	target=GROUND_POINT；cast=INSTANT；range=30m；shape=CIRCLE；radius=8m；width=0m；duration=4s	type=DAMAGE_SLOW_ZONE；radius_m=8；duration_s=4；tick_s=1；damage=fixed=40；attack_coef=0.2；slow_percent=25；damage_form=SKILL；source_faction=PLAYER_OWNED；element_rule=OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT；hit_kind=PERIODIC；owner_credit=CASTER
H004	倒马毒	专属	H004	36	target=VISIBLE_ENEMY；cast=INSTANT；range=20m；shape=NONE；radius=0m；width=0m；duration=4s	type=CONDITIONAL_POISON_DETONATE；damage_per_stack_per_s=5；duration_s=4；damage_target_max_hp_percent_per_stack=3；max_count=10；stack_scope=CASTER_OWNED_DOT_AND_TOXIN_ONLY；when_no_owned_dot_add_stacks=3；when_owned_dot_consume_all_owned_dot_and_toxin_stacks=是；other_owner_stacks_unchanged=是；stack_dot_damage_form=DOT；stack_dot_hit_kind=PERIODIC；detonation_damage_form=PERCENT；detonation_hit_kind=ABILITY
H005	金光	专属	H005	30	target=VISIBLE_ENEMY；cast=INSTANT；range=20m；shape=NONE；radius=0m；width=0m；duration=1.5s	type=PETRIFY_TARGET；duration_s=1.5；target_invulnerable=是；target_cannot_act=是
H006	毒雾	专属	H006	55	target=GROUND_POINT；cast=INSTANT；range=30m；shape=CIRCLE；radius=8m；width=0m；duration=8s	type=CONTAGIOUS_DAMAGE_ZONE；radius_m=8；duration_s=8；tick_s=1；damage=fixed=40；attack_coef=0.2；outside_residual_s=3；infection_radius_m=2；check_interval_s=0.5；max_generation=2；stack=否；refresh=是；damage_form=SKILL；source_faction=PLAYER_OWNED；element_rule=OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT；hit_kind=PERIODIC；owner_credit=CASTER；infection_instance_scope=PER_CASTER_PER_ROOT_EFFECT；generation_origin=ROOT_EFFECT_INSTANCE_ID；same_caster_reinfection=REFRESH_DURATION_NO_STACK；different_caster_infection=INDEPENDENT
H007	三昧神风	专属	H007	50	target=GROUND_POINT；cast=INSTANT；range=30m；shape=CIRCLE；radius=10m；width=0m；duration=4s	type=DAMAGE_SLOW_ZONE；radius_m=10；duration_s=4；tick_s=1；damage=fixed=60；attack_coef=0.3；slow_percent=40；damage_form=SKILL；source_faction=PLAYER_OWNED；element_rule=OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT；hit_kind=PERIODIC；owner_credit=CASTER
H008	八卦炉火	专属	H008	62	target=GROUND_POINT；cast=INSTANT；range=30m；shape=CIRCLE；radius=12m；width=0m；duration=0s	type=DELAYED_AREA_DAMAGE；radius_m=12；telegraph_s=1.5；damage=fixed=400；attack_coef=1.2；damage_form=SKILL；source_faction=PLAYER_OWNED；element_rule=OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT；hit_kind=ABILITY；owner_credit=CASTER
H009	大闹天宫	专属	H009	40	target=SELF；cast=INSTANT；range=0m；shape=NONE；radius=0m；width=0m；duration=5s	type=SELF_COMBAT_BUFF；duration_s=5；attack_speed_add_percent=80；passive_effect_magnitude_multiplier=2；passive_proc_probability_multiplier=1；incoming_damage_multiplier=1.2；passive_magnitude_authority=H009_EXACT_FIELD_WHITELIST；excluded_field_classes=PROC_CHANCE / DURATION / COOLDOWN / COUNT / ECONOMY / PERMANENT_GROWTH / LETHAL_PROTECTION / STORM_PROBABILITY；transform_additive=VALUE*2；transform_delta_from_one=1+(VALUE-1)*2；transform_remaining_from_one=MAX(0,1-(1-VALUE)*2)
H010	天眼	专属	H010	25	target=SELF；cast=INSTANT；range=0m；shape=NONE；radius=0m；width=0m；duration=0s	type=ARM_NEXT_BASIC；consume_on=VALID_BASIC_HIT_RESOLUTION；guaranteed_crit=是；extra_target_missing_hp_percent=15；kill_resets_active_cd=是；consume_if_damage_zero_due_to_dodge_or_immunity=是；do_not_consume_if_no_hit_entity=是；kill_reset_timing=AFTER_LETHAL_COMMIT；arm_persistence=UNTIL_NEXT_LEGAL_BASIC_NO_TIMEOUT；cleared_on=TRUE_DEATH / ACTIVE_REPLACED / HERO_SWAP
H011	风火轮	专属	H011	18	target=DIRECTION；cast=INSTANT；range=25m；shape=LINE；radius=0m；width=3m；duration=0s	type=DASH_STOP_FIRST；distance_m=25；width_m=3；damage=fixed=100；attack_coef=0.5；stun_s=0.8；interruptible_by_hard_control=是；damage_form=SKILL；source_faction=PLAYER_OWNED；element_rule=OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT；hit_kind=ABILITY；owner_credit=CASTER
H012	六耳幻身	专属	H012	42	target=SELF；cast=INSTANT；range=0m；shape=NONE；radius=0m；width=0m；duration=8s	type=SPAWN_DECOYS；count=2；duration_s=8；hp_inherit_percent=30；move_speed_inherit_percent=30；attack=0；unit_collision=否；copy_owner_visual_and_hp_percent=是；decoy_max_hp=FLOOR(OWNER_CURRENT_MAX_HP*0.3)；decoy_current_hp=FLOOR(DECOY_MAX_HP*OWNER_CURRENT_HP/OWNER_CURRENT_MAX_HP)；decoy_death_credit=NONE；decoy_gold_xp_drop=NONE
H013	金翅俯击	专属	H013	20	target=VISIBLE_ENEMY；cast=INSTANT；range=40m；shape=NONE；radius=0m；width=0m；duration=0s	type=TARGET_BEHIND_BLINK_AND_ARM_CRIT；range_m=40；behind_offset_m=1.5；arm_next_basic_crit=是；candidate_directions=REAR_THEN_CLOCKWISE_45_DEG_EIGHT_POINTS；candidate_radius_m=1.5；candidate_query=PLAYER_CAPSULE_SWEEP_AND_DESTINATION_LEGALITY；no_candidate=FAIL_NO_COOLDOWN
H014	借尸还魂	专属	H014	35	target=DIRECTION；cast=INSTANT；range=15m；shape=POINT；radius=0m；width=0m；duration=1s	type=BLINK_LEAVE_DELAYED_DECOY；distance_m=15；delay_s=1；damage=fixed=120；attack_coef=0.5；blink_uses_capsule_sweep=是；damage_form=SKILL；source_faction=PLAYER_OWNED；element_rule=OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT；hit_kind=ABILITY；owner_credit=CASTER
H015	九齿钉耙	专属	H015	38	target=DIRECTION；cast=INSTANT；range=8m；shape=CONE；radius=8m；width=0m；duration=2s	type=CONE_DAMAGE_SLOW；range_m=8；angle_deg=60；damage=fixed=160；attack_coef=0.7；slow_percent=30；slow_s=2；damage_form=SKILL；source_faction=PLAYER_OWNED；element_rule=OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT；hit_kind=ABILITY；owner_credit=CASTER
H016	龙马奔腾	专属	H016	18	target=DIRECTION；cast=INSTANT；range=25m；shape=LINE；radius=0m；width=3m；duration=0s	type=PIERCING_DASH；distance_m=25；width_m=3；damage=fixed=100；attack_coef=0.5；knockback_m=2；hit_each_target_once=是；damage_form=SKILL；source_faction=PLAYER_OWNED；element_rule=OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT；hit_kind=ABILITY；owner_credit=CASTER
H017	狮吼	专属	H017	60	target=SELF；cast=INSTANT；range=0m；shape=CIRCLE；radius=12m；width=0m；duration=0s	type=RADIAL_DAMAGE_KNOCK_TO_EDGE；radius_m=12；damage=fixed=150；attack_coef=0.7；stun_s=1；blocked_knock_still_stuns=是；damage_form=SKILL；source_faction=PLAYER_OWNED；element_rule=OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT；hit_kind=ABILITY；owner_credit=CASTER；knock_direction=CASTER_TO_TARGET_RADIAL；knock_destination=SKILL_EDGE_OR_LAST_LEGAL_SWEEP_POINT；actor_collision=STOP_LAST_LEGAL_POINT
H018	旋风	专属	H018	38	target=SELF；cast=INSTANT；range=0m；shape=CIRCLE；radius=8m；width=0m；duration=3s	type=MOBILE_CHANNEL_AOE；duration_s=3；tick_s=1；radius_m=8；damage_per_tick=fixed=100；attack_coef=0.5；self_move_multiplier=0.5；hard_control_interrupts=是；damage_form=SKILL；source_faction=PLAYER_OWNED；element_rule=OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT；hit_kind=PERIODIC；owner_credit=CASTER
H019	金刚琢	专属	H019	45	target=GROUND_POINT；cast=INSTANT；range=25m；shape=CIRCLE；radius=10m；width=0m；duration=3s	type=DELAYED_SILENCE_ZONE；range_m=25；radius_m=10；telegraph_s=0.4；silence_s=3
H020	石罗汉	专属	H020	54	target=SELF_FORWARD；cast=INSTANT；range=3m；shape=POINT；radius=0m；width=0m；duration=20s	type=SPAWN_SUMMON；archetype=STONE_ARHAT；count=1；duration_s=20；hp=500；attack=30
H021	紫金葫芦	专属	H021	56	target=SELF；cast=CHANNEL；range=0m；shape=CIRCLE；radius=15m；width=0m；duration=0s	type=CHARGED_RADIAL_PULL；charge_s=1；radius_m=15；max_targets=8；damage=fixed=120；attack_coef=0.6；landing_ring_m=2；wall_blocks=是；immune_tiers=LEADER / DRAGON / CORE_BOSS；damage_form=SKILL；source_faction=PLAYER_OWNED；element_rule=OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT；hit_kind=ABILITY；owner_credit=CASTER；max_target_selection_order=THREAT_DESC / DISTANCE_MM_ASC / ENTITY_ID_ASC；landing_slot_layout=EIGHT_DISTINCT_RING_SLOTS_AROUND_CASTER；landing_slot_order=CLOCKWISE_FROM_CASTER_FORWARD；occupied_slot=NEXT_LEGAL_SLOT_ELSE_LAST_LEGAL_SWEEP_POINT
H022	砸钱	专属	H022	24	target=VISIBLE_ENEMY；cast=INSTANT；range=20m；shape=NONE；radius=0m；width=0m；duration=0s	type=SPEND_GOLD_TRUE_DAMAGE；minimum_balance_to_cast=500；cost=FLOOR(CLAMP(CURRENT_GOLD*0.20,500,5000))；damage=FLOOR(COST*0.10)；range_m=20；shieldable=是；atomic_deduct_and_cast=是；damage_form=TRUE；source_faction=PLAYER_OWNED；element_rule=NONE；hit_kind=ABILITY；owner_credit=CASTER
H023	缠身	专属	H023	45	target=VISIBLE_ENEMY；cast=INSTANT；range=30m；shape=NONE；radius=0m；width=0m；duration=8s	type=TARGET_DOT_REVEAL；duration_s=8；tick_s=2；damage_per_tick=40；reveal=EXACT_WORLD_AND_MINIMAP；clear_on_caster_true_death=是；damage_form=DOT；source_faction=PLAYER_OWNED；element_rule=OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT；hit_kind=PERIODIC；owner_credit=CASTER
H024	虎箭	专属	H024	35	target=DIRECTION；cast=INSTANT；range=1040m；shape=LINE；radius=0m；width=1.5m；duration=0s	type=GLOBAL_LINE_PROJECTILE；projectile_speed_mps=45；max_lifetime_s=24；damage=fixed=150；attack_coef=1；distance_bonus_percent_per_10m=5；distance_bonus_cap_percent=50；blocked_by=STATIC_SOLID / WIND_WALL / FROZEN_RIVER；damage_form=SKILL；source_faction=PLAYER_OWNED；element_rule=OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT；hit_kind=ABILITY；owner_credit=CASTER；distance_bonus_origin=PROJECTILE_RELEASE_POSITION；distance_bonus_measure=ACCUMULATED_PROJECTILE_TRAVEL_DISTANCE_TO_HIT_POINT
H025	鹿血	专属	H025	45	target=SELF；cast=INSTANT；range=0m；shape=CIRCLE；radius=5m；width=0m；duration=6s	type=BASIC_LIFESTEAL_AND_DAMAGE_AURA；duration_s=6；basic_lifesteal_add_percent=50；radius_m=5；tick_s=1；damage_per_tick=30；aura_heal_equals_actual_hp_damage=是；shield_damage_does_not_heal=是；damage_form=DOT；source_faction=PLAYER_OWNED；element_rule=OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT；hit_kind=PERIODIC；owner_credit=CASTER
H026	定慧诀	专属	H026	30	target=VISIBLE_ENEMY；cast=INSTANT；range=20m；shape=NONE；radius=0m；width=0m；duration=2s	type=TARGET_DAMAGE_HARD_CONTROL；range_m=20；damage=fixed=60；attack_coef=0.3；damage_form=SKILL；source_faction=PLAYER_OWNED；element_rule=OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT；hit_kind=ABILITY；owner_credit=CASTER；control_type=STUN；control_duration_s=2；control_uses_normal_tenacity=是
H027	行愿	专属	H027	42	target=VISIBLE_ANY_HERO_OR_SELF；cast=INSTANT；range=50m；shape=NONE；radius=0m；width=0m；duration=0s	type=VISIBLE_ANY_HERO_HEAL；range_m=50；heal=220；faction_filter=ANY_HERO_INCLUDING_ENEMY_OR_SELF；quick_cast_no_target=SELF
H028	袖里乾坤	专属	H028	62	target=VISIBLE_ENEMY；cast=INSTANT；range=30m；shape=NONE；radius=0m；width=0m；duration=8s	type=TARGET_DAMAGE_AMP_MARK；range_m=30；duration_s=8；caster_damage_multiplier=1.3；on_credited_true_death_transfer=NEAREST_VISIBLE_ENEMY_WITHIN_20M；transfer_refresh_s=8；no_legal_transfer=END；transfer_distance_metric=DIRECT_WORLD_DISTANCE_MM；equal_distance_tie_break=ENTITY_ID_ASC；caster_true_death=CLEAR_MARK
H029	五行山	专属	H029	70	target=GROUND_POINT；cast=INSTANT；range=30m；shape=CIRCLE；radius=8m；width=0m；duration=0s	type=DELAYED_AREA_DAMAGE_SLOW；range_m=30；radius_m=8；telegraph_s=1.2；damage=fixed=300；attack_coef=1；slow_percent=40；slow_s=2；damage_form=SKILL；source_faction=PLAYER_OWNED；element_rule=OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT；hit_kind=ABILITY；owner_credit=CASTER
H030	甘露	专属	H030	50	target=GROUND_POINT_OR_SELF；cast=INSTANT；range=30m；shape=CIRCLE；radius=8m；width=0m；duration=4s	type=ANY_HERO_HEAL_ZONE；range_m=30；radius_m=8；duration_s=4；tick_s=1；heal_per_tick=40；faction_filter=ANY_HERO
H031	宝塔	专属	H031	100	target=SELF；cast=INSTANT；range=0m；shape=RING_WALL；radius=10m；width=0m；duration=5s	type=PAGODA_RING_SOLID；radius_m=10；duration_s=5；telegraph_s=0.6；wall_thickness_m=1.6；height_m=4；segments=32；destructible=否；instance_limit=1
H032	袈裟	专属	H032	95	target=SELF；cast=INSTANT；range=0m；shape=NONE；radius=0m；width=0m；duration=3s	type=MOBILE_INVULNERABILITY；duration_s=3；can_move=是；can_basic=是；can_cast=是；world_interactions_during_invulnerability=FORBID_PICKUP_SHOP_CHEST_GAMBLE_TAIBAI；combat_actions_remain_as_DECLARED=是
H033	流沙	专属	H033	50	target=GROUND_POINT；cast=INSTANT；range=30m；shape=CIRCLE；radius=8m；width=0m；duration=4s	type=DAMAGE_SLOW_ANTIMOBILITY_ZONE；range_m=30；radius_m=8；duration_s=4；tick_s=1；damage=fixed=50；attack_coef=0.25；slow_percent=60；blocks_mobility_cast_start=是；does_not_cancel_committed_mobility=是；damage_form=SKILL；source_faction=PLAYER_OWNED；element_rule=OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT；hit_kind=PERIODIC；owner_credit=CASTER；mobility_tag_authority=MobilityTag_CLOSED_ENUM_AND_ACTIVE_REGISTRY；zone_checks=CAST_START_POSITION_INSIDE_VOLUME
H034	黑风罩	专属	H034	58	target=SELF；cast=INSTANT；range=0m；shape=NONE；radius=0m；width=0m；duration=4s	type=SELF_REDUCTION_SPEED_BUFF；duration_s=4；incoming_non_true_remaining_multiplier=0.2；move_speed_add_percent=15
H035	象鼻缚	专属	H035	28	target=VISIBLE_ENEMY；cast=INSTANT；range=60m；shape=PROJECTILE；radius=0m；width=1m；duration=2s	type=PROJECTILE_ROOT；range_m=60；projectile_speed_mps=30；root_s=2；root_allows_basic_and_active=是；blocked_by=STATIC_SOLID / WIND_WALL / FROZEN_RIVER；projectile_radius_m=0.5；homing=否；collision_query=3D_CAPSULE_SWEEP
H036	冻河	专属	H036	34	target=DIRECTION；cast=INSTANT；range=15m；shape=LINE_WALL；radius=0m；width=10m；duration=40s	type=DESTRUCTIBLE_ICE_WALL；range_m=15；length_m=10；thickness_m=1；height_m=2.5；hp=300；duration_s=40；instance_limit=1；new_replaces_old=是
