ID	名称	类别	触发	玩家说明	工程数值(L1–L5)
B01	冰霜	控制类	BASIC_HIT_PROC	普攻有10%/13%/16%/20%/25%概率使目标减速30%/40%/50%/60%/80%，持续2/2/2.5/2.5/3秒。5级触发时还使目标周围5米敌人减速35%。	chance=10 / 13 / 16 / 20 / 25；slow_percent=30 / 40 / 50 / 60 / 80；duration_s=2 / 2 / 2.5 / 2.5 / 3；l5_aoe_radius_m=5；l5_aoe_slow_percent=35
B02	麻痹	控制类	BASIC_HIT_PROC	普攻有8%/10%/12%/15%/18%概率使目标沉默0.8/1/1.2/1.4/1.5秒。5级沉默结束时，目标主动技能剩余CD增加3秒。	chance=8 / 10 / 12 / 15 / 18；silence_s=0.8 / 1 / 1.2 / 1.4 / 1.5；l5_on_end_active_cd_add_s=3
B03	击退	控制类	BASIC_HIT_PROC	普攻有20%/23%/26%/30%/35%概率击退目标3/3.5/4/4.5/5米。5级暴击触发时还击退目标周围5米敌人3米。	chance=20 / 23 / 26 / 30 / 35；knockback_m=3 / 3.5 / 4 / 4.5 / 5；l5_on_critical_aoe_radius_m=5；l5_aoe_knockback_m=3
B04	致盲	控制类	BASIC_HIT_PROC	普攻有10%/12%/14%/17%/20%概率使目标致盲，持续2/2/2.5/2.5/3秒；致盲期间普攻有50%/60%/70%/80%/80%概率落空。5级同时禁止暴击。	chance=10 / 12 / 14 / 17 / 20；basic_miss_percent=50 / 60 / 70 / 80 / 80；duration_s=2 / 2 / 2.5 / 2.5 / 3；l5_disable_critical=是
B05	眩晕	控制类	BASIC_HIT_PROC	普攻有5%/6%/7%/8%/10%概率眩晕目标0.4/0.5/0.6/0.7/0.8秒；对同一目标内置CD 2秒。5级还眩晕周围3米敌人0.3秒。	chance=5 / 6 / 7 / 8 / 10；stun_s=0.4 / 0.5 / 0.6 / 0.7 / 0.8；internal_cd_s=2；internal_cd_scope=PER_TARGET；l5_aoe_radius_m=3；l5_aoe_stun_s=0.3
B06	暴击	伤害类	BASIC_HIT_PROC	普攻有8%/10%/13%/16%/20%概率暴击，暴击伤害为180%/190%/200%/210%/230%。5级暴击伤害的30%绕过护盾直接扣生命。	chance=8 / 10 / 13 / 16 / 20；critical_damage_percent=180 / 190 / 200 / 210 / 230；l5_ignore_shield_percent=30；damage_event_model=ONE_PARENT_WITH_SHIELD_CHILD_AND_HP_CHILD；proc_and_lifesteal_count=ONCE_PER_PARENT；l5_split_rounding=TOTAL_CRIT_FIRST_HP_CHILD_FLOOR_REMAINDER_TO_SHIELD_CHILD
B07	溅射	伤害类	BASIC_HIT_PROC	普攻有10%/13%/16%/20%/25%概率对目标周围3米造成主伤害40%/45%/50%/55%/60%的溅射。5级半径×1.5且主目标也承受一次溅射；溅射不能再次触发溅射。	chance=10 / 13 / 16 / 20 / 25；splash_damage_percent=40 / 45 / 50 / 55 / 60；base_radius_m=3；l5_radius_multiplier=1.5；l5_main_target_receives_splash=是；splash_cannot_splash=是
B08	燃灰	伤害类	BASIC_HIT_STACK	普攻给目标叠加燃灰；达到5/5/5/4/4层时造成其已损生命8%/10%/12%/12%/15%的伤害并清层。5级触发后给周围5米敌人各施加2层。	stacks_required=5 / 5 / 5 / 4 / 4；lost_hp_damage_percent=8 / 10 / 12 / 12 / 15；damage_form=PERCENT；l5_spread_stacks=2；spread_radius_m=5
B09	毒素	伤害类	BASIC_HIT_DOT	普攻给目标叠毒，每层每秒3/4/5/6/8伤害，最多3/4/4/5/5层，持续3/3/4/4/4秒并刷新。5级满层时毒伤×1.5。	damage_per_stack_s=3 / 4 / 5 / 6 / 8；max_stacks=3 / 4 / 4 / 5 / 5；duration_s=3 / 3 / 4 / 4 / 4；refresh_duration=是；l5_full_stack_damage_multiplier=1.5
B10	斩杀	伤害类	DIRECT_DAMAGE_CONDITIONAL	1级 生命低于20% 伤害+25% | 2级 22% +30% | 3级 25% +35% | 4级 28% +40% | 5级 30% +50%。质变：斩杀击杀时回复自身10%最大生命	hp_threshold_percent=20 / 22 / 25 / 28 / 30；damage_multiplier=1.25 / 1.3 / 1.35 / 1.4 / 1.5；l5_kill_heal_max_hp_percent=10
B11	连击	伤害类	BASIC_HIT_PROC	1级 8% 追加1次普攻 | 2级 10% 追加1次 | 3级 12% 最多2次 | 4级 15% 最多2次 | 5级 20% 最多3次。质变：连击最后一刀50%概率触发一个其他被动（从已装备其他3个被动中随机选一个，无视该被动原概率，无论只触发一次）。额外普攻不能再次触发连击；没有其他已拥有被动时，5级附加触发不发生	chance=8 / 10 / 12 / 15 / 20；max_extra_basics=1 / 1 / 2 / 2 / 3；extra_basic_may_trigger_other_passives=是；cannot_trigger_self=是；l5_last_hit_other_passive_chance=50；l5_other_passive_selection=UNIFORM_FROM_OTHER_THREE; TRIGGER_ONCE_IGNORE_PROC_CHANCE；extra_basic_cannot_trigger_B11=是；l5_candidate_pool=B11_CLOSED_POOL_INTERSECT_OWNED_OTHERS；no_candidate=NO_EXTRA_PASSIVE_TRIGGER
B12	狼灵	伤害类	BASIC_HIT_PROC	1级 6% 召唤狼灵15秒150血20攻 | 2级 8% 200/25 | 3级 10% 250/30 | 4级 12% 300/35 | 5级 15% 350/40。质变：最多同时2只	chance=6 / 8 / 10 / 12 / 15；summon_hp=150 / 200 / 250 / 300 / 350；summon_attack=20 / 25 / 30 / 35 / 40；duration_s=15；max_instances=1 / 1 / 1 / 1 / 2
B13	火灵	伤害类	BASIC_HIT_PROC	1级 6% 召唤火灵环绕8秒触碰60伤+点燃3秒（每秒6点） | 2级 8% 80伤 | 3级 10% 100伤 | 4级 12% 120伤 | 5级 15% 150伤。质变：最多2个火灵	chance=6 / 8 / 10 / 12 / 15；contact_damage=60 / 80 / 100 / 120 / 150；duration_s=8；contact_internal_cd_s=1；contact_internal_cd_scope=PER_TARGET；burn_duration_s=3；max_instances=1 / 1 / 1 / 1 / 2；burn_damage_per_s=6 / 8 / 10 / 12 / 15
B14	冷箭	伤害类	BASIC_HIT_PROC	1级 10% 自动射一箭60伤 | 2级 12% 80伤 | 3级 14% 100伤 | 4级 16% 120伤 | 5级 20% 150伤。质变：冷箭可暴击享受暴击加成	chance=10 / 12 / 14 / 16 / 20；damage=60 / 80 / 100 / 120 / 150；projectile_speed_mps=30；l5_can_crit=是
B15	闪避	生存类	INCOMING_BASIC_PRE_HIT_PROC	1级 10% 躲避普攻 | 2级 13% | 3级 16% | 4级 20% | 5级 25%。质变：成功闪避后2秒内移速+30%	chance=10 / 13 / 16 / 20 / 25；result=DODGE_ZERO_DAMAGE；l5_move_speed_percent=30；l5_duration_s=2
B16	铁皮	生存类	INCOMING_BASIC_FIXED_REDUCTION	1级 减6点普攻伤害 | 2级 减10 | 3级 减14 | 4级 减18 | 5级 减25。质变：10%概率完全格挡一次普攻	reduction=6 / 10 / 14 / 18 / 25；minimum_final_damage=1；l5_full_block_chance=10；l5_block_order=AFTER_B15_BEFORE_B17
B17	护盾	生存类	INCOMING_BASIC_PROC_PRE_DAMAGE	1级 8% 护盾吸60伤 | 2级 10% 80伤 | 3级 13% 100伤 | 4级 16% 130伤 | 5级 20% 160伤。质变：护盾被打破时对周围造成100点AOE伤害	chance=8 / 10 / 13 / 16 / 20；shield=60 / 80 / 100 / 130 / 160；duration_s=10；absorbs_triggering_hit=是；l5_break_aoe_damage=100；l5_break_aoe_radius_m=3
B18	嗜血	生存类	MISSING_HP_SCALING	1级 每损10%生命攻击+3% | 2级 +4% | 3级 +5% | 4级 +6% | 5级 +8%。质变：血量低于30%时额外获得10%吸血	attack_percent_per_missing_10pct_hp=3 / 4 / 5 / 6 / 8；step_rounding=FLOOR_MISSING_PERCENT/10；l5_below_hp_percent=30；l5_lifesteal_percent=10
B19	假死	生存类	LETHAL_PROC	1级 5% 致死免死回10%血 | 2级 6% 12% | 3级 7% 15% | 4级 8% 18% | 5级 10% 回20%血。质变：触发后自动向随机方向闪现	chance=5 / 6 / 7 / 8 / 10；heal_max_hp_percent=10 / 12 / 15 / 18 / 20；l5_random_blink=是；random_blink_distance_m=8；blink_rng_stream=COMBAT_PROC；blink_direction_draw=SINGLE_DRAW_EIGHT_DIRECTIONS；blink_destination=FARTHEST_LEGAL_POINT_ALONG_DIRECTION；all_points_illegal=NO_BLINK_NO_REDRAW；post_success_retrigger_lock_s=1
B20	复活	生存类	LETHAL_PROTECTION_ONCE_MATCH	1级 死亡原地复活回25%血（每局1次）| 2级 30% | 3级 35% | 4级 40% | 5级 50%。质变：复活后5秒内伤害+30%且免控。这次充能属于整局，顶掉、重新获得或换英雄都不会恢复	heal_max_hp_percent=25 / 30 / 35 / 40 / 50；charge=1；consume_life=否；l5_buff_s=5；l5_damage_multiplier=1.3；l5_control_immune=是；charge_ledger_key=MATCH_ID / PLAYER_ID / B20；removed_or_reacquired_does_not_restore=是；hero_swap_does_not_restore=是
B21	回复	生存类	OUT_OF_ANY_COMBAT_REGEN	1级 脱战5秒后每秒回4血 | 2级 6点 | 3级 8点脱战缩为4秒 | 4级 10点 | 5级 15点脱战缩为3秒。质变：脱战后第一次普攻伤害+30%	delay_s=5 / 5 / 4 / 4 / 3；hp_per_s=4 / 6 / 8 / 10 / 15；l5_first_basic_damage_multiplier=1.3；first_basic_consumes_bonus=是
