ID	名称	品质	属性	效果	买价	卖价	商店
W1	精铁棍	白	ATTACK_FLAT=15	type=NONE	600	240	是
W2	粗布战衣	白	MAX_HP_FLAT=220	type=NONE	600	240	是
W3	草鞋	白	MOVE_SPEED_FLAT=18	type=SHOE_ONLY	600	240	是
W4	铜护腕	白	ATTACK_FLAT=10；MAX_HP_FLAT=100	type=NONE	600	240	是
W5	轻甲背心	白	MAX_HP_FLAT=110；MOVE_SPEED_FLAT=10	type=NONE	600	240	是
W6	行者束带	白	ATTACK_FLAT=8；MOVE_SPEED_FLAT=10	type=NONE	600	240	是
B1	狼牙棒	蓝	ATTACK_FLAT=20	type=DAMAGE_MULTIPLIER；target_classes=ORDINARY_MONSTER / FLYING_MONSTER / PIG / LEADER / DRAGON / CORE_BOSS；multiplier=1.3	2000	800	是
B2	虎皮裙	蓝	MAX_HP_FLAT=280	type=FIXED_DAMAGE_REDUCTION；eligible_damage_forms=BASIC；amount=8；minimum_final_damage=1	2000	800	是
B3	避水珠	蓝	MAX_HP_FLAT=200	type=PERCENT_DAMAGE_REDUCTION；eligible_damage_forms=SKILL / DOT；remaining_multiplier=0.85	2000	800	是
B4	定风珠	蓝	MAX_HP_FLAT=200	type=FORCED_MOVEMENT_DISTANCE_MULTIPLIER；eligible=KNOCKBACK / PULL；multiplier=0.5	2000	800	是
B5	药葫芦	蓝	MAX_HP_FLAT=150	type=REGEN；out_of_any_combat_s=5；hp_per_s=8；tick_s=1	2000	800	是
B6	磨刀石	蓝	ATTACK_FLAT=12	type=CRIT_DAMAGE_BONUS；add_percentage_points=30	2000	800	是
B7	铜镜	蓝	MAX_HP_FLAT=200	type=CONDITIONAL_BONUS_DAMAGE_REDUCTION；bonus_sources=BACKSTAB_B26 / AMBUSH_B29；bonus_portion_multiplier=0.5	2000	800	是
B8	聚宝袋	蓝	MAX_HP_FLAT=120	type=ON_MONSTER_KILL_GOLD_CREATE；amount=30；eligible=ORDINARY_MONSTER / FLYING_MONSTER / PIG / LEADER / DRAGON / CORE_BOSS；summon_kill=否	2000	800	是
B9	夜巡灯	蓝	ATTACK_FLAT=10	type=DIRECT_VISION_RADIUS_MULTIPLIER；multiplier=1.2；does_not_ignore_walls_or_stealth=是	2000	800	是
B10	驭兽鞭	蓝	ATTACK_FLAT=12	type=SUMMON_ATTACK_MULTIPLIER；multiplier=1.3	2000	800	是
B11	避雷木牌	蓝	MAX_HP_FLAT=200	type=STORM_DAMAGE_REDUCTION；remaining_multiplier=0.7；applies=NORMAL_STORM / APOCALYPSE_STORM	2000	800	是
B12	千里靴	蓝	MOVE_SPEED_FLAT=26	type=SHOE_ONLY	2000	800	是
B13	登云履	蓝	MOVE_SPEED_FLAT=20	type=SLOW_MAGNITUDE_MULTIPLIER；multiplier=0.5；is_shoe=是	2000	800	是
B14	蛰伏靴	蓝	MOVE_SPEED_FLAT=20	type=OFFENSIVE_STEALTH_BREAK_MOVE_SPEED；is_shoe=是；eligible_transition=STEALTH_TO_VISIBLE；eligible_causes=OWNER_BASIC_RELEASE_AGAINST_HOSTILE / OWNER_HOSTILE_ACTIVE_CAST_COMMIT；excluded_causes=REVEALED_BY_ENEMY / ACTUAL_DAMAGE_TAKEN / VOLUNTARY_CANCEL / STEALTH_TIMEOUT；final_move_speed_multiplier=1.3；duration_s=2；internal_cooldown_s=8；once_per_stealth_episode=是；stacking=REFRESH_DURATION_NO_MAGNITUDE_STACK；eligible_hidden_sources=FUSHI_HIDDEN / ACTIVE_STEALTH / EQUIPMENT_STEALTH；excluded_hidden_sources=FOG_OF_WAR_ONLY / SMOKE_OCCLUSION_ONLY；hostile_active_definition=ACTIVE_COMMIT_THAT_TARGETS_HOSTILE_OR_CREATES_PLAYER_OWNED_DAMAGE_CONTROL_TRAP_OR_HOSTILE_SUMMON；clear_speed_buff_on=UNEQUIP_B14 / OWNER_TRUE_DEATH / ITEM_INSTANCE_DESTROYED；internal_cooldown_on_unequip_or_true_death=CLEAR_WITH_ITEM_EFFECT_STATE	2000	800	是
