ID	名称	层级	五行	HP	攻	攻速	移速	射程	发现	重生	前摇	后摇	弹速
MEL_OUTER	OUTER近战小妖	ORDINARY_MELEE	NONE	110	18	0.8	2.5	1.5	10	40	0.25	0.15	0
MEL_MIDDLE	MIDDLE近战小妖	ORDINARY_MELEE	NONE	300	35	0.8	2.5	1.5	10	40	0.25	0.15	0
MEL_INNER	INNER近战小妖	ORDINARY_MELEE	NONE	600	60	0.5	2.5	1.5	10	40	0.4	0.15	0
RNG_OUTER	OUTER远程小妖	ORDINARY_RANGED	NONE	88	22	0.8	2.5	12	12	40	0.35	0.2	22
RNG_MIDDLE	MIDDLE远程小妖	ORDINARY_RANGED	NONE	240	42	0.8	2.5	12	12	40	0.35	0.2	22
RNG_INNER	INNER远程小妖	ORDINARY_RANGED	NONE	480	72	0.5	2.5	12	12	40	0.35	0.2	22
FLY_OUTER	OUTER飞行小妖	FLYING	NONE	80	15	0.8	3	2	15	45	0.3	0.15	0
FLY_MIDDLE	MIDDLE飞行小妖	FLYING	NONE	200	30	0.8	3	2	15	45	0.3	0.15	0
FLY_INNER	INNER飞行小妖	FLYING	NONE	400	50	0.8	3	2	15	45	0.3	0.15	0
PIG_METAL	METAL肥猪	PIG	METAL	1200	0	0	2.6	1	8	120	NONE	NONE	0
PIG_WOOD	WOOD肥猪	PIG	WOOD	1200	0	0	2.6	1	8	120	NONE	NONE	0
PIG_WATER	WATER肥猪	PIG	WATER	1200	0	0	2.6	1	8	120	NONE	NONE	0
PIG_FIRE	FIRE肥猪	PIG	FIRE	1200	0	0	2.6	1	8	120	NONE	NONE	0
PIG_EARTH	EARTH肥猪	PIG	EARTH	1200	0	0	2.6	1	8	120	NONE	NONE	0
LEADER_TANK	肉盾首领	LEADER	NONE	7000	120	0.6	2.2	2	25	180	0.5	0.3	0
LEADER_DPS	输出首领	LEADER	NONE	4000	220	1	2.4	8	25	180	0.4	0.2	26
DRAGON_METAL	METAL龙王	DRAGON_MINIBOSS	METAL	14000	200	1	2.8	4	30	240	0.45	0.25	0
DRAGON_WOOD	WOOD龙王	DRAGON_MINIBOSS	WOOD	14000	200	1	2.8	4	30	240	0.45	0.25	0
DRAGON_WATER	WATER龙王	DRAGON_MINIBOSS	WATER	14000	200	1	2.8	4	30	240	0.45	0.25	0
DRAGON_FIRE	FIRE龙王	DRAGON_MINIBOSS	FIRE	14000	200	1	2.8	4	30	240	0.45	0.25	0
DRAGON_EARTH	EARTH龙王	DRAGON_MINIBOSS	EARTH	14000	200	1	2.8	4	30	240	0.45	0.25	0
CORE_COMMON	核心BOSS公共骨架	CORE_BOSS	NONE	22000	300	1	2	5	90	300	0.60	0.35	0
