ID	碰撞r	碰撞h	转向°/s	加速s	脱链边界	HP阶段倍率	攻击阶段倍率	伤害形态	五行规则	命中类	归属
MEL_OUTER	0.5	1.8	360	0.3	type=RADIUS；m=25	1 / 1.05 / 1.1 / 1.15	1 / 1 / 1 / 1	BASIC	NONE	DIRECT	MONSTER
MEL_MIDDLE	0.5	1.8	360	0.3	type=RADIUS；m=25	1 / 1.05 / 1.1 / 1.15	1 / 1 / 1 / 1	BASIC	NONE	DIRECT	MONSTER
MEL_INNER	0.5	1.8	360	0.3	type=RADIUS；m=25	1 / 1.05 / 1.1 / 1.15	1 / 1 / 1 / 1	BASIC	NONE	DIRECT	MONSTER
RNG_OUTER	0.5	1.8	360	0.3	type=RADIUS；m=25	1 / 1.05 / 1.1 / 1.15	1 / 1 / 1 / 1	BASIC	NONE	DIRECT	MONSTER
RNG_MIDDLE	0.5	1.8	360	0.3	type=RADIUS；m=25	1 / 1.05 / 1.1 / 1.15	1 / 1 / 1 / 1	BASIC	NONE	DIRECT	MONSTER
RNG_INNER	0.5	1.8	360	0.3	type=RADIUS；m=25	1 / 1.05 / 1.1 / 1.15	1 / 1 / 1 / 1	BASIC	NONE	DIRECT	MONSTER
FLY_OUTER	0.4	1.4	360	0.3	type=RADIUS；m=25	1 / 1.05 / 1.1 / 1.15	1 / 1 / 1 / 1	BASIC	NONE	DIRECT	MONSTER
FLY_MIDDLE	0.4	1.4	360	0.3	type=RADIUS；m=25	1 / 1.05 / 1.1 / 1.15	1 / 1 / 1 / 1	BASIC	NONE	DIRECT	MONSTER
FLY_INNER	0.4	1.4	360	0.3	type=RADIUS；m=25	1 / 1.05 / 1.1 / 1.15	1 / 1 / 1 / 1	BASIC	NONE	DIRECT	MONSTER
PIG_METAL	0.8	1.6	300	0.4	type=PIG_NEST_BAG	1 / 1 / 1 / 1	1 / 1 / 1 / 1	NONE	BIDIRECTIONAL_FIVE_ELEMENT	DIRECT	MONSTER
PIG_WOOD	0.8	1.6	300	0.4	type=PIG_NEST_BAG	1 / 1 / 1 / 1	1 / 1 / 1 / 1	NONE	BIDIRECTIONAL_FIVE_ELEMENT	DIRECT	MONSTER
PIG_WATER	0.8	1.6	300	0.4	type=PIG_NEST_BAG	1 / 1 / 1 / 1	1 / 1 / 1 / 1	NONE	BIDIRECTIONAL_FIVE_ELEMENT	DIRECT	MONSTER
PIG_FIRE	0.8	1.6	300	0.4	type=PIG_NEST_BAG	1 / 1 / 1 / 1	1 / 1 / 1 / 1	NONE	BIDIRECTIONAL_FIVE_ELEMENT	DIRECT	MONSTER
PIG_EARTH	0.8	1.6	300	0.4	type=PIG_NEST_BAG	1 / 1 / 1 / 1	1 / 1 / 1 / 1	NONE	BIDIRECTIONAL_FIVE_ELEMENT	DIRECT	MONSTER
LEADER_TANK	1.2	2.4	240	0.5	type=RESOURCE_FIELD_PLUS_ONE_CORRIDOR	1 / 1 / 1.1 / 1.2	1 / 1 / 1 / 1	BASIC	NONE	DIRECT	MONSTER
LEADER_DPS	1.2	2.4	240	0.5	type=RESOURCE_FIELD_PLUS_ONE_CORRIDOR	1 / 1 / 1.1 / 1.2	1 / 1 / 1 / 1	BASIC	NONE	DIRECT	MONSTER
DRAGON_METAL	1.5	2.8	200	0.5	type=DRAGON_ARENA	1 / 1 / 1.1 / 1.1	1 / 1 / 1.05 / 1.05	BASIC	BIDIRECTIONAL_FIVE_ELEMENT	DIRECT	MONSTER
DRAGON_WOOD	1.5	2.8	200	0.5	type=DRAGON_ARENA	1 / 1 / 1.1 / 1.1	1 / 1 / 1.05 / 1.05	BASIC	BIDIRECTIONAL_FIVE_ELEMENT	DIRECT	MONSTER
DRAGON_WATER	1.5	2.8	200	0.5	type=DRAGON_ARENA	1 / 1 / 1.1 / 1.1	1 / 1 / 1.05 / 1.05	BASIC	BIDIRECTIONAL_FIVE_ELEMENT	DIRECT	MONSTER
DRAGON_FIRE	1.5	2.8	200	0.5	type=DRAGON_ARENA	1 / 1 / 1.1 / 1.1	1 / 1 / 1.05 / 1.05	BASIC	BIDIRECTIONAL_FIVE_ELEMENT	DIRECT	MONSTER
DRAGON_EARTH	1.5	2.8	200	0.5	type=DRAGON_ARENA	1 / 1 / 1.1 / 1.1	1 / 1 / 1.05 / 1.05	BASIC	BIDIRECTIONAL_FIVE_ELEMENT	DIRECT	MONSTER
CORE_COMMON	2	3.6	160	1	type=WHOLE_COURT	1 / 1 / 1.1 / 1.2	1 / 1 / 1.05 / 1.1	BASIC	NONE	DIRECT	MONSTER
