来源	金币	经验	书	宝石	装备	通用主动	G10
ORDINARY_OUTER	90	28	10	30	无	0	0
ORDINARY_MIDDLE	140	40	10	30	无	0	0
ORDINARY_INNER	180	56	10	30	无	0	0
FLYING_OUTER	140	40	20	30	无	0	0
FLYING_MIDDLE	200	56	20	30	无	0	0
FLYING_INNER	260	78	20	30	无	0	0
PIG	700	80	55	60	chance_percent=25；quality_percent=WHITE=60；BLUE=30；PURPLE=10	0	0
LEADER	1400	200	1	2	chance_percent=75；quality_percent=WHITE=35；BLUE=40；PURPLE=25	10	0
DRAGON	2000	300	0	3	count=1；quality_percent=BLUE=55；PURPLE=35；GOLD=10；gold_pool=G1_G9	0	0
CORE_BOSS	3000	400	2	3	count=1；quality_percent=PURPLE=75；GOLD=25；gold_pool=G1_G9	1	5
