写端点	通用错误（HTTP 语义 retryable）	端点特有错误	幂等冲突结果
POST /v2/session/guest	400 INVALID_ARGUMENT(no) / 401 UNAUTHENTICATED(no) / 403 FORBIDDEN(no) / 429 RATE_LIMITED(yes,after_retry_after) / 500 INTERNAL(yes,idempotent_replay) / 503 UNAVAILABLE(yes,backoff)	409 SESSION_SLOT_TAKEN(no,list_sessions_first)	幂等键重放返回首次结果，不重复执行副作用
POST /v2/account/bind	400 INVALID_ARGUMENT(no) / 401 UNAUTHENTICATED(no) / 403 FORBIDDEN(no) / 429 RATE_LIMITED(yes,after_retry_after) / 500 INTERNAL(yes,idempotent_replay) / 503 UNAVAILABLE(yes,backoff)	409 ALREADY_BOUND(no) / 409 IDENTITY_IN_USE(no,merge_preview_first)	幂等键重放返回首次结果，不重复执行副作用
POST /v2/account/merge/preview	400 INVALID_ARGUMENT(no) / 401 UNAUTHENTICATED(no) / 403 FORBIDDEN(no) / 429 RATE_LIMITED(yes,after_retry_after) / 500 INTERNAL(yes,idempotent_replay) / 503 UNAVAILABLE(yes,backoff)	409 MERGE_CONFLICT(no,returns_conflict_report)	幂等键重放返回首次结果，不重复执行副作用
POST /v2/account/merge/commit	400 INVALID_ARGUMENT(no) / 401 UNAUTHENTICATED(no) / 403 FORBIDDEN(no) / 429 RATE_LIMITED(yes,after_retry_after) / 500 INTERNAL(yes,idempotent_replay) / 503 UNAVAILABLE(yes,backoff)	409 PREVIEW_STALE(no,re_preview) / 409 MERGE_IN_PROGRESS(no,poll_status)	幂等键重放返回首次结果，不重复执行副作用
POST /v2/account/delete/request	400 INVALID_ARGUMENT(no) / 401 UNAUTHENTICATED(no) / 403 FORBIDDEN(no) / 429 RATE_LIMITED(yes,after_retry_after) / 500 INTERNAL(yes,idempotent_replay) / 503 UNAVAILABLE(yes,backoff)	409 DELETE_ALREADY_PENDING(no)	幂等键重放返回首次结果，不重复执行副作用
POST /v2/account/delete/cancel	400 INVALID_ARGUMENT(no) / 401 UNAUTHENTICATED(no) / 403 FORBIDDEN(no) / 429 RATE_LIMITED(yes,after_retry_after) / 500 INTERNAL(yes,idempotent_replay) / 503 UNAVAILABLE(yes,backoff)	409 NO_PENDING_DELETE(no)	幂等键重放返回首次结果，不重复执行副作用
PATCH /v2/profile	400 INVALID_ARGUMENT(no) / 401 UNAUTHENTICATED(no) / 403 FORBIDDEN(no) / 429 RATE_LIMITED(yes,after_retry_after) / 500 INTERNAL(yes,idempotent_replay) / 503 UNAVAILABLE(yes,backoff)	409 NAME_TAKEN(no) / 422 NAME_POLICY_REJECTED(no)	幂等键重放返回首次结果，不重复执行副作用
PUT /v2/settings	400 INVALID_ARGUMENT(no) / 401 UNAUTHENTICATED(no) / 403 FORBIDDEN(no) / 429 RATE_LIMITED(yes,after_retry_after) / 500 INTERNAL(yes,idempotent_replay) / 503 UNAVAILABLE(yes,backoff)	409 IDEMPOTENCY_CONFLICT(no,server_returns_first_result)	幂等键重放返回首次结果，不重复执行副作用
POST /v2/like	400 INVALID_ARGUMENT(no) / 401 UNAUTHENTICATED(no) / 403 FORBIDDEN(no) / 429 RATE_LIMITED(yes,after_retry_after) / 500 INTERNAL(yes,idempotent_replay) / 503 UNAVAILABLE(yes,backoff)	409 IDEMPOTENCY_CONFLICT(no,server_returns_first_result)	幂等键重放返回首次结果，不重复执行副作用
POST /v2/matchmaking/enqueue	400 INVALID_ARGUMENT(no) / 401 UNAUTHENTICATED(no) / 403 FORBIDDEN(no) / 429 RATE_LIMITED(yes,after_retry_after) / 500 INTERNAL(yes,idempotent_replay) / 503 UNAVAILABLE(yes,backoff)	409 IDEMPOTENCY_CONFLICT(no,server_returns_first_result)	幂等键重放返回首次结果，不重复执行副作用
DELETE /v2/matchmaking/enqueue	400 INVALID_ARGUMENT(no) / 401 UNAUTHENTICATED(no) / 403 FORBIDDEN(no) / 429 RATE_LIMITED(yes,after_retry_after) / 500 INTERNAL(yes,idempotent_replay) / 503 UNAVAILABLE(yes,backoff)	409 IDEMPOTENCY_CONFLICT(no,server_returns_first_result)	幂等键重放返回首次结果，不重复执行副作用
POST /v2/match/reconnect	400 INVALID_ARGUMENT(no) / 401 UNAUTHENTICATED(no) / 403 FORBIDDEN(no) / 429 RATE_LIMITED(yes,after_retry_after) / 500 INTERNAL(yes,idempotent_replay) / 503 UNAVAILABLE(yes,backoff)	409 IDEMPOTENCY_CONFLICT(no,server_returns_first_result)	幂等键重放返回首次结果，不重复执行副作用
POST /v2/report	400 INVALID_ARGUMENT(no) / 401 UNAUTHENTICATED(no) / 403 FORBIDDEN(no) / 429 RATE_LIMITED(yes,after_retry_after) / 500 INTERNAL(yes,idempotent_replay) / 503 UNAVAILABLE(yes,backoff)	409 IDEMPOTENCY_CONFLICT(no,server_returns_first_result)	幂等键重放返回首次结果，不重复执行副作用
POST /v2/payment/create	400 INVALID_ARGUMENT(no) / 401 UNAUTHENTICATED(no) / 403 FORBIDDEN(no) / 429 RATE_LIMITED(yes,after_retry_after) / 500 INTERNAL(yes,idempotent_replay) / 503 UNAVAILABLE(yes,backoff)	409 IDEMPOTENCY_CONFLICT(no,server_returns_first_result)	幂等键重放返回首次结果，不重复执行副作用
POST /v2/payment/verify	400 INVALID_ARGUMENT(no) / 401 UNAUTHENTICATED(no) / 403 FORBIDDEN(no) / 429 RATE_LIMITED(yes,after_retry_after) / 500 INTERNAL(yes,idempotent_replay) / 503 UNAVAILABLE(yes,backoff)	409 IDEMPOTENCY_CONFLICT(no,server_returns_first_result)	幂等键重放返回首次结果，不重复执行副作用
POST /v2/payment/refund-webhook	400 INVALID_ARGUMENT(no) / 401 UNAUTHENTICATED(no) / 403 FORBIDDEN(no) / 429 RATE_LIMITED(yes,after_retry_after) / 500 INTERNAL(yes,idempotent_replay) / 503 UNAVAILABLE(yes,backoff)	409 IDEMPOTENCY_CONFLICT(no,server_returns_first_result)	幂等键重放返回首次结果，不重复执行副作用
