资产ID	游戏名	机械角色	战斗模板	五行	状态
MVS_001	巴山虎	ORDINARY_MELEE	MEL_BY_ZONE	NONE	锁定
MVS_002	苍狼精	ORDINARY_MELEE	MEL_BY_ZONE	NONE	锁定
MVS_003	刁钻古怪	ORDINARY_MELEE	MEL_BY_ZONE	NONE	锁定
MVS_004	古怪刁钻	ORDINARY_MELEE	MEL_BY_ZONE	NONE	锁定
MVS_005	虎精小妖	ORDINARY_MELEE	MEL_BY_ZONE	NONE	锁定
MVS_006	黄狮精	ORDINARY_MELEE	MEL_BY_ZONE	NONE	锁定
MVS_007	蛇精小妖	ORDINARY_MELEE	MEL_BY_ZONE	NONE	锁定
MVS_008	树鬼	ORDINARY_MELEE	MEL_BY_ZONE	NONE	锁定
MVS_009	蜘蛛仔	ORDINARY_MELEE	MEL_BY_ZONE	NONE	锁定
MVS_010	红鳞大蟒	ORDINARY_MELEE	MEL_BY_ZONE	NONE	锁定
MVS_011	玉面狐狸	ORDINARY_RANGED	RNG_BY_ZONE	NONE	锁定
MVS_012	如意真仙	ORDINARY_RANGED	RNG_BY_ZONE	NONE	锁定
MVS_013	火鸦精	ORDINARY_RANGED	RNG_BY_ZONE	NONE	锁定
MVS_014	倚海龙	ORDINARY_RANGED	RNG_BY_ZONE	NONE	锁定
MVS_015	碧水金睛兽	FLYING	FLY_BY_ZONE	NONE	锁定
MVS_016	晦月魔君	FLYING	FLY_BY_ZONE	NONE	锁定
MVS_017	混天大圣	FLYING	FLY_BY_ZONE	NONE	锁定
MVS_018	孔雀公主	FLYING	FLY_BY_ZONE	NONE	锁定
MVS_019	特处士	LEADER	LEADER_TANK	NONE	锁定
MVS_020	熊山君	LEADER	LEADER_TANK	NONE	锁定
MVS_021	南山大王	LEADER	LEADER_DPS	NONE	锁定
MVS_022	寅将军	LEADER	LEADER_DPS	NONE	锁定
MVS_023	金肥猪	PIG	PIG_METAL	METAL	锁定
MVS_024	木肥猪	PIG	PIG_WOOD	WOOD	锁定
MVS_025	水肥猪	PIG	PIG_WATER	WATER	锁定
MVS_026	火肥猪	PIG	PIG_FIRE	FIRE	锁定
MVS_027	土肥猪	PIG	PIG_EARTH	EARTH	锁定
MVS_028	金龙王	DRAGON_MINIBOSS	DRAGON_METAL	METAL	锁定
MVS_029	木龙王	DRAGON_MINIBOSS	DRAGON_WOOD	WOOD	锁定
MVS_030	水龙王	DRAGON_MINIBOSS	DRAGON_WATER	WATER	锁定
MVS_031	火龙王	DRAGON_MINIBOSS	DRAGON_FIRE	FIRE	锁定
MVS_032	土龙王	DRAGON_MINIBOSS	DRAGON_EARTH	EARTH	锁定
MVS_033	白鹿魔王	CORE_BOSS	CORE_V1_EARTHBREAK	NONE	锁定
MVS_034	辟暑大王	CORE_BOSS	CORE_V2_FIRELANE	NONE	锁定
MVS_035	地涌夫人	CORE_BOSS	CORE_V3_POISONPOOL	NONE	锁定
MVS_036	辟尘大王	CORE_BOSS	CORE_V4_WINDCHARGE	NONE	锁定
MVS_037	辟寒大王	CORE_BOSS	CORE_V5_THUNDERCHAIN	NONE	锁定
MVS_038	九灵元圣	CORE_BOSS	CORE_V6_MIRRORSHADOW	NONE	锁定
