资产ID	游戏名	概念源文件名	源文件SHA-256	版权状态	派生3D资产
MVS_001	巴山虎	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_001_BUNDLE
MVS_002	苍狼精	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_002_BUNDLE
MVS_003	刁钻古怪	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_003_BUNDLE
MVS_004	古怪刁钻	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_004_BUNDLE
MVS_005	虎精小妖	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_005_BUNDLE
MVS_006	黄狮精	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_006_BUNDLE
MVS_007	蛇精小妖	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_007_BUNDLE
MVS_008	树鬼	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_008_BUNDLE
MVS_009	蜘蛛仔	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_009_BUNDLE
MVS_010	红鳞大蟒	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_010_BUNDLE
MVS_011	玉面狐狸	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_011_BUNDLE
MVS_012	如意真仙	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_012_BUNDLE
MVS_013	火鸦精	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_013_BUNDLE
MVS_014	倚海龙	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_014_BUNDLE
MVS_015	碧水金睛兽	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_015_BUNDLE
MVS_016	晦月魔君	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_016_BUNDLE
MVS_017	混天大圣	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_017_BUNDLE
MVS_018	孔雀公主	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_018_BUNDLE
MVS_019	特处士	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_019_BUNDLE
MVS_020	熊山君	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_020_BUNDLE
MVS_021	南山大王	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_021_BUNDLE
MVS_022	寅将军	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_022_BUNDLE
MVS_023	金肥猪	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_023_BUNDLE
MVS_024	木肥猪	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_024_BUNDLE
MVS_025	水肥猪	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_025_BUNDLE
MVS_026	火肥猪	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_026_BUNDLE
MVS_027	土肥猪	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_027_BUNDLE
MVS_028	金龙王	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_028_BUNDLE
MVS_029	木龙王	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_029_BUNDLE
MVS_030	水龙王	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_030_BUNDLE
MVS_031	火龙王	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_031_BUNDLE
MVS_032	土龙王	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_032_BUNDLE
MVS_033	白鹿魔王	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_033_BUNDLE
MVS_034	辟暑大王	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_034_BUNDLE
MVS_035	地涌夫人	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_035_BUNDLE
MVS_036	辟尘大王	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_036_BUNDLE
MVS_037	辟寒大王	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_037_BUNDLE
MVS_038	九灵元圣	NOT_INGESTED	PENDING_INGEST	PENDING_RIGHTS_REVIEW	MON_MVS_038_BUNDLE
