audio_id	category	owner_id	trigger	spatial	max_distance_m	max_instances	priority	duck_db	min_variants	status
SFX_ACT_H001_BUNDLE	ACTIVE_SKILL	H001	CAST/IMPACT_OR_ACTIVATE/END	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H002_BUNDLE	ACTIVE_SKILL	H002	CAST/IMPACT_OR_ACTIVATE/END/LOOP	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H003_BUNDLE	ACTIVE_SKILL	H003	CAST/IMPACT_OR_ACTIVATE/END/LOOP	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H004_BUNDLE	ACTIVE_SKILL	H004	CAST/IMPACT_OR_ACTIVATE/END	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H005_BUNDLE	ACTIVE_SKILL	H005	CAST/IMPACT_OR_ACTIVATE/END	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H006_BUNDLE	ACTIVE_SKILL	H006	CAST/IMPACT_OR_ACTIVATE/END/LOOP	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H007_BUNDLE	ACTIVE_SKILL	H007	CAST/IMPACT_OR_ACTIVATE/END/LOOP	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H008_BUNDLE	ACTIVE_SKILL	H008	CAST/IMPACT_OR_ACTIVATE	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H009_BUNDLE	ACTIVE_SKILL	H009	CAST/END	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H010_BUNDLE	ACTIVE_SKILL	H010	CAST	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H011_BUNDLE	ACTIVE_SKILL	H011	CAST/IMPACT_OR_ACTIVATE	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H012_BUNDLE	ACTIVE_SKILL	H012	CAST/IMPACT_OR_ACTIVATE/END	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H013_BUNDLE	ACTIVE_SKILL	H013	CAST/IMPACT_OR_ACTIVATE	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H014_BUNDLE	ACTIVE_SKILL	H014	CAST/IMPACT_OR_ACTIVATE/END	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H015_BUNDLE	ACTIVE_SKILL	H015	CAST/IMPACT_OR_ACTIVATE/END	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H016_BUNDLE	ACTIVE_SKILL	H016	CAST/IMPACT_OR_ACTIVATE	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H017_BUNDLE	ACTIVE_SKILL	H017	CAST/IMPACT_OR_ACTIVATE	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H018_BUNDLE	ACTIVE_SKILL	H018	CAST/IMPACT_OR_ACTIVATE/END/LOOP	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H019_BUNDLE	ACTIVE_SKILL	H019	CAST/IMPACT_OR_ACTIVATE/END	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H020_BUNDLE	ACTIVE_SKILL	H020	CAST/IMPACT_OR_ACTIVATE/END	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
SFX_ACT_H021_BUNDLE	ACTIVE_SKILL	H021	CAST/IMPACT_OR_ACTIVATE	3D	35	2	HIGH	0	2	NOT_PRODUCED_EXTERNAL_AUDIO_GATE
