asset_id	category	owner_id	display_name	deliverable	lod0_tri	lod1_tri	lod2_tri	bones_max	materials_max	source_texture	priority	status
CHR_H001_BUNDLE	HERO_3D	H001	铁扇公主	FBX+LOD0-2+ANIM+COLLIDER	18000	9000	3500	70	2	1024x1024	P0	LOCKED_ID_EXTERNAL_PRODUCTION_REQUIRED
CHR_H002_BUNDLE	HERO_3D	H002	红孩儿	FBX+LOD0-2+ANIM+COLLIDER	18000	9000	3500	70	2	1024x1024	P0	LOCKED_ID_EXTERNAL_PRODUCTION_REQUIRED
CHR_H003_BUNDLE	HERO_3D	H003	蜘蛛精	FBX+LOD0-2+ANIM+COLLIDER	18000	9000	3500	70	2	1024x1024	P0	LOCKED_ID_EXTERNAL_PRODUCTION_REQUIRED
CHR_H004_BUNDLE	HERO_3D	H004	蝎子精	FBX+LOD0-2+ANIM+COLLIDER	18000	9000	3500	70	2	1024x1024	P0	LOCKED_ID_EXTERNAL_PRODUCTION_REQUIRED
CHR_H005_BUNDLE	HERO_3D	H005	多目怪	FBX+LOD0-2+ANIM+COLLIDER	18000	9000	3500	70	2	1024x1024	P0	LOCKED_ID_EXTERNAL_PRODUCTION_REQUIRED
CHR_H006_BUNDLE	HERO_3D	H006	九头虫	FBX+LOD0-2+ANIM+COLLIDER	18000	9000	3500	70	2	1024x1024	P0	LOCKED_ID_EXTERNAL_PRODUCTION_REQUIRED
CHR_H007_BUNDLE	HERO_3D	H007	黄风怪	FBX+LOD0-2+ANIM+COLLIDER	18000	9000	3500	70	2	1024x1024	P0	LOCKED_ID_EXTERNAL_PRODUCTION_REQUIRED
CHR_H008_BUNDLE	HERO_3D	H008	太上老君	FBX+LOD0-2+ANIM+COLLIDER	18000	9000	3500	70	2	1024x1024	P0	LOCKED_ID_EXTERNAL_PRODUCTION_REQUIRED
CHR_H009_BUNDLE	HERO_3D	H009	孙悟空	FBX+LOD0-2+ANIM+COLLIDER	18000	9000	3500	70	2	1024x1024	P0	LOCKED_ID_EXTERNAL_PRODUCTION_REQUIRED
CHR_H010_BUNDLE	HERO_3D	H010	二郎神	FBX+LOD0-2+ANIM+COLLIDER	18000	9000	3500	70	2	1024x1024	P0	LOCKED_ID_EXTERNAL_PRODUCTION_REQUIRED
