ID	英雄	模板	移动类	五行	专属	L1攻/血/速	L15攻/血/速	射程/攻速
H001	铁扇公主	连弩	GROUND	火	H001	41/575/2.76	110/1650/3.4	20.0m/1.6s⁻¹
H002	红孩儿	连弩	GROUND	火	H002	41/575/2.76	110/1650/3.4	20.0m/1.6s⁻¹
H003	蜘蛛精	连弩	GROUND	木	H003	41/575/2.76	110/1650/3.4	20.0m/1.6s⁻¹
H004	蝎子精	连弩	GROUND	土	H004	41/575/2.76	110/1650/3.4	20.0m/1.6s⁻¹
H005	多目怪	长弓	GROUND	木	H005	50/540/2.6	134/1550/3.2	30.0m/0.9s⁻¹
H006	九头虫	长弓·飞行	FLYING	水	H006	50/432/2.6	134/1240/3.2	30.0m/0.9s⁻¹
H007	黄风怪	连弩·飞行	FLYING	木	H007	41/460/2.76	110/1320/3.4	20.0m/1.6s⁻¹
H008	太上老君	长弓	GROUND	火	H008	50/540/2.6	134/1550/3.2	30.0m/0.9s⁻¹
H009	孙悟空	刺客	GROUND	金	H009	60/488/3.01	160/1400/3.7	5.0m/1.4s⁻¹
H010	二郎神	刺客	GROUND	金	H010	60/488/3.01	160/1400/3.7	5.0m/1.4s⁻¹
H011	哪吒	刺客	GROUND	火	H011	60/488/3.01	160/1400/3.7	5.0m/1.4s⁻¹
H012	六耳猕猴	刺客	GROUND	金	H012	60/488/3.01	160/1400/3.7	5.0m/1.4s⁻¹
H013	大鹏雕	刺客·飞行	FLYING	金	H013	60/390/3.01	160/1120/3.7	5.0m/1.4s⁻¹
H014	白骨精	刺客	GROUND	土	H014	60/488/3.01	160/1400/3.7	5.0m/1.4s⁻¹
H015	猪八戒	战士	GROUND	水	H015	52/627/2.76	140/1800/3.4	5.0m/1.1s⁻¹
H016	白龙马	战士	GROUND	水	H016	52/627/2.76	140/1800/3.4	5.0m/1.1s⁻¹
H017	青狮怪	战士	GROUND	土	H017	52/627/2.76	140/1800/3.4	5.0m/1.1s⁻¹
H018	牛魔王	战士	GROUND	火	H018	52/627/2.76	140/1800/3.4	5.0m/1.1s⁻¹
H019	独角兕大王	战士	GROUND	金	H019	52/627/2.76	140/1800/3.4	5.0m/1.1s⁻¹
H020	黄眉老祖	战士	GROUND	土	H020	52/627/2.76	140/1800/3.4	5.0m/1.1s⁻¹
H021	金角大王	战士	GROUND	金	H021	52/627/2.76	140/1800/3.4	5.0m/1.1s⁻¹
H022	银角大王	战士	GROUND	水	H022	52/627/2.76	140/1800/3.4	5.0m/1.1s⁻¹
H023	黄袍怪	战士	GROUND	木	H023	52/627/2.76	140/1800/3.4	5.0m/1.1s⁻¹
H024	虎力大仙	战士	GROUND	火	H024	52/627/2.76	140/1800/3.4	5.0m/1.1s⁻¹
H025	鹿力大仙	战士	GROUND	木	H025	52/627/2.76	140/1800/3.4	5.0m/1.1s⁻¹
H026	文殊菩萨	战士	GROUND	金	H026	52/627/2.76	140/1800/3.4	5.0m/1.1s⁻¹
H027	普贤菩萨	战士	GROUND	土	H027	52/627/2.76	140/1800/3.4	5.0m/1.1s⁻¹
H028	镇元大仙	战士	GROUND	木	H028	52/627/2.76	140/1800/3.4	5.0m/1.1s⁻¹
H029	如来佛祖	坦克	GROUND	土	H029	37/767/2.44	100/2200/3.0	5.0m/0.9s⁻¹
H030	观音菩萨	坦克	GROUND	木	H030	37/767/2.44	100/2200/3.0	5.0m/0.9s⁻¹
H031	托塔李天王	坦克	GROUND	土	H031	37/767/2.44	100/2200/3.0	5.0m/0.9s⁻¹
H032	唐僧	坦克	GROUND	金	H032	37/767/2.44	100/2200/3.0	5.0m/0.9s⁻¹
H033	沙和尚	坦克	GROUND	水	H033	37/767/2.44	100/2200/3.0	5.0m/0.9s⁻¹
H034	黑熊精	坦克	GROUND	木	H034	37/767/2.44	100/2200/3.0	5.0m/0.9s⁻¹
H035	白象精	坦克	GROUND	水	H035	37/767/2.44	100/2200/3.0	5.0m/0.9s⁻¹
H036	灵感大王	坦克	GROUND	水	H036	37/767/2.44	100/2200/3.0	5.0m/0.9s⁻¹
H037	羊力大仙	坦克	GROUND	木	H037	37/767/2.44	100/2200/3.0	5.0m/0.9s⁻¹
H038	赛太岁	坦克	GROUND	火	H038	37/767/2.44	100/2200/3.0	5.0m/0.9s⁻¹
