模板	等级	攻击	生命	移速	射程m	攻速次每秒	该级DPS
长弓	1	50	540	260	30	0.9	45.0
长弓	2	54	582	264	30	0.9	48.6
长弓	3	58	628	268	30	0.9	52.2
长弓	4	62	677	272	30	0.9	55.8
长弓	5	66	730	276	30	0.9	59.4
长弓	6	71	787	280	30	0.9	63.9
长弓	7	76	849	284	30	0.9	68.4
长弓	8	82	915	289	30	0.9	73.8
长弓	9	88	986	293	30	0.9	79.2
长弓	10	94	1064	297	30	0.9	84.6
长弓	11	101	1147	302	30	0.9	90.9
长弓	12	108	1237	306	30	0.9	97.2
长弓	13	116	1333	311	30	0.9	104.4
长弓	14	125	1438	315	30	0.9	112.5
长弓	15	134	1550	320	30	0.9	120.6
长弓·飞行	1	50	432	260	30	0.9	45.0
长弓·飞行	2	54	466	264	30	0.9	48.6
长弓·飞行	3	58	502	268	30	0.9	52.2
长弓·飞行	4	62	542	272	30	0.9	55.8
长弓·飞行	5	66	584	276	30	0.9	59.4
长弓·飞行	6	71	630	280	30	0.9	63.9
长弓·飞行	7	76	679	284	30	0.9	68.4
长弓·飞行	8	82	732	289	30	0.9	73.8
长弓·飞行	9	88	789	293	30	0.9	79.2
长弓·飞行	10	94	851	297	30	0.9	84.6
长弓·飞行	11	101	917	302	30	0.9	90.9
长弓·飞行	12	108	989	306	30	0.9	97.2
长弓·飞行	13	116	1067	311	30	0.9	104.4
长弓·飞行	14	125	1150	315	30	0.9	112.5
长弓·飞行	15	134	1240	320	30	0.9	120.6
连弩	1	41	575	276	20	1.6	65.6
连弩	2	44	620	281	20	1.6	70.4
连弩	3	47	668	285	20	1.6	75.2
连弩	4	51	721	289	20	1.6	81.6
连弩	5	54	777	293	20	1.6	86.4
连弩	6	58	838	298	20	1.6	92.8
连弩	7	63	903	302	20	1.6	100.8
连弩	8	67	974	307	20	1.6	107.2
连弩	9	72	1050	311	20	1.6	115.2
连弩	10	77	1132	316	20	1.6	123.2
连弩	11	83	1221	320	20	1.6	132.8
连弩	12	89	1316	325	20	1.6	142.4
连弩	13	96	1419	330	20	1.6	153.6
连弩	14	103	1530	335	20	1.6	164.8
连弩	15	110	1650	340	20	1.6	176.0
连弩·飞行	1	41	460	276	20	1.6	65.6
连弩·飞行	2	44	496	281	20	1.6	70.4
连弩·飞行	3	47	535	285	20	1.6	75.2
连弩·飞行	4	51	577	289	20	1.6	81.6
连弩·飞行	5	54	622	293	20	1.6	86.4
连弩·飞行	6	58	670	298	20	1.6	92.8
连弩·飞行	7	63	723	302	20	1.6	100.8
连弩·飞行	8	67	779	307	20	1.6	107.2
连弩·飞行	9	72	840	311	20	1.6	115.2
连弩·飞行	10	77	906	316	20	1.6	123.2
连弩·飞行	11	83	977	320	20	1.6	132.8
连弩·飞行	12	89	1053	325	20	1.6	142.4
连弩·飞行	13	96	1135	330	20	1.6	153.6
连弩·飞行	14	103	1224	335	20	1.6	164.8
连弩·飞行	15	110	1320	340	20	1.6	176.0
刺客	1	60	488	301	5	1.4	84.0
刺客	2	64	526	305	5	1.4	89.6
刺客	3	69	567	310	5	1.4	96.6
刺客	4	74	611	314	5	1.4	103.6
刺客	5	79	659	319	5	1.4	110.6
刺客	6	85	711	324	5	1.4	119.0
刺客	7	91	766	329	5	1.4	127.4
刺客	8	98	826	334	5	1.4	137.2
刺客	9	105	891	339	5	1.4	147.0
刺客	10	113	961	344	5	1.4	158.2
刺客	11	121	1036	349	5	1.4	169.4
刺客	12	130	1117	354	5	1.4	182.0
刺客	13	139	1204	359	5	1.4	194.6
刺客	14	149	1298	365	5	1.4	208.6
刺客	15	160	1400	370	5	1.4	224.0
刺客·飞行	1	60	390	301	5	1.4	84.0
刺客·飞行	2	64	421	305	5	1.4	89.6
刺客·飞行	3	69	454	310	5	1.4	96.6
刺客·飞行	4	74	489	314	5	1.4	103.6
刺客·飞行	5	79	527	319	5	1.4	110.6
刺客·飞行	6	85	569	324	5	1.4	119.0
刺客·飞行	7	91	613	329	5	1.4	127.4
刺客·飞行	8	98	661	334	5	1.4	137.2
刺客·飞行	9	105	713	339	5	1.4	147.0
刺客·飞行	10	113	769	344	5	1.4	158.2
