key	category	owner	skill_name	platform	text
equip_W1	EQUIPMENT	W1	精铁棍	ALL	攻击+15
equip_W2	EQUIPMENT	W2	粗布战衣	ALL	生命+220
equip_W3	EQUIPMENT	W3	草鞋	ALL	移速+18
equip_W4	EQUIPMENT	W4	铜护腕	ALL	攻击+10；生命+100
equip_W5	EQUIPMENT	W5	轻甲背心	ALL	生命+110；移速+10
equip_W6	EQUIPMENT	W6	行者束带	ALL	攻击+8；移速+10
equip_B1	EQUIPMENT	B1	狼牙棒	ALL	攻击+20；对野怪伤害+30%
equip_B2	EQUIPMENT	B2	虎皮裙	ALL	生命+280；受普攻伤害-8
equip_B3	EQUIPMENT	B3	避水珠	ALL	生命+200；受技能伤害-15%
equip_B4	EQUIPMENT	B4	定风珠	ALL	生命+200；被击退和拉扯距离减半
equip_B5	EQUIPMENT	B5	药葫芦	ALL	生命+150；脱战时每秒回复8点
equip_B6	EQUIPMENT	B6	磨刀石	ALL	攻击+12；暴击伤害+30%
equip_B7	EQUIPMENT	B7	铜镜	ALL	生命+200；受到的背刺/伏击加成伤害减半
equip_B8	EQUIPMENT	B8	聚宝袋	ALL	生命+120；击杀野怪+30金
equip_B9	EQUIPMENT	B9	夜巡灯	ALL	攻击+10；视野范围+20%
equip_B10	EQUIPMENT	B10	驭兽鞭	ALL	攻击+12；召唤物攻击+30%
equip_B11	EQUIPMENT	B11	避雷木牌	ALL	生命+200；天劫伤害-30%
equip_B12	EQUIPMENT	B12	千里靴	ALL	移速+26；纯速度蓝鞋
equip_B13	EQUIPMENT	B13	登云履	ALL	移速+20；受到的减速效果减半（鞋）
equip_B14	EQUIPMENT	B14	蛰伏靴	ALL	移速+20；主动破隐突袭后最终移速×1.30，持续2秒；8秒内部CD
equip_P1	EQUIPMENT	P1	七星剑	ALL	攻击+35；对生命低于30%的目标伤害+25%
equip_P2	EQUIPMENT	P2	火尖枪	ALL	攻击+28；普攻点燃2秒，每秒20
equip_P3	EQUIPMENT	P3	幌金绳	ALL	攻击+18；你的硬控持续+0.5秒
equip_P4	EQUIPMENT	P4	人参果	ALL	生命+400；击杀英雄回复30%最大生命
equip_P5	EQUIPMENT	P5	万年灵芝	ALL	生命+500；每秒回复8点
equip_P6	EQUIPMENT	P6	风袋	ALL	生命+200；主动技能CD-20%
equip_P7	EQUIPMENT	P7	招魂幡	ALL	攻击+18；召唤物生命与攻击+60%
equip_P8	EQUIPMENT	P8	布袋	ALL	无；手牌格+1
equip_P9	EQUIPMENT	P9	照妖珠	ALL	生命+250；20米内隐身单位对你现形
equip_P10	EQUIPMENT	P10	赌坊金牌	ALL	生命+150；黑山老妖大赢概率翻倍
equip_P11	EQUIPMENT	P11	判官笔	ALL	攻击+25；击杀英雄使主动技能READY。击杀发生在已提交施法期间时，当前施法继续，完成后主动READY。
equip_P12	EQUIPMENT	P12	荆棘甲	ALL	生命+400；反弹所受普攻伤害20%
equip_P13	EQUIPMENT	P13	夜行斗篷	ALL	移速+25；静止2秒后隐身。实际位移超过0.1米会破除，转身或移动镜头不会。
equip_P14	EQUIPMENT	P14	血玉葫芦	ALL	攻击+25；普攻吸血10%
equip_P15	EQUIPMENT	P15	疾风靴	ALL	移速+30；免疫减速（鞋）
equip_P16	EQUIPMENT	P16	连珠履	ALL	移速+24；普攻连续有效命中同一目标，每层攻速+4%，最多6层；3秒未续层或换目标清零
equip_P17	EQUIPMENT	P17	摘星靴	ALL	移速+22；穿戴者普攻判定距离+0.7米；仍需直接视野，不影响主动技能与召唤物
equip_P18	EQUIPMENT	P18	磐岩履	ALL	移速+24；所受强制位移距离与硬控时长各×0.30；同类抗性取最强，硬控最低0.30秒
equip_G1	EQUIPMENT	G1	九转金丹	ALL	无；致死链中原地满血复活并2秒无敌，随后装备消失
equip_G2	EQUIPMENT	G2	混元珠	ALL	攻击+25；五行克制加成由+50%提升为+100%
equip_G3	EQUIPMENT	G3	渡劫铃	ALL	生命+350；天劫伤害-70%
equip_G4	EQUIPMENT	G4	筋斗云	ALL	移速+40；脱战5秒升空。造成或受到实际伤害会落地，拾取、开箱、交易、赌博或换英雄前自动落地（鞋）。
equip_G5	EQUIPMENT	G5	聚宝盆	ALL	指定金币账本收入+50%；不作用于起始金、退款、回滚、击杀钱包奖励、黑山毛回报及自身加成。
equip_G6	EQUIPMENT	G6	降魔杵	ALL	攻击+60；对当前生命高于你的敌人伤害+25%
equip_G7	EQUIPMENT	G7	顺风耳	ALL	生命+300；敌人施放主动时显示精确施法位置1秒；高频时每0.25秒/10米格合并，最多显示最近8个标记。
equip_G8	EQUIPMENT	G8	雷公凿	ALL	攻击+20；攻速+40%
equip_G9	EQUIPMENT	G9	噬魂戒	ALL	无；每次击杀永久+2攻击；击杀英雄+10，无上限
equip_G10	EQUIPMENT	G10	金箍棒	ALL	攻击+80；普攻射程+3米；仅核心BOSS 5%独立掉落
active_hero_01_铁扇公主	HERO_ACTIVE	铁扇公主	芭蕉风墙	ALL	创造长12米风墙持续3秒，碰到的单位被弹飞5米。纯防御分割，无伤害。克制远程弹道和突进。风墙不是障碍物，单位可穿过但会被弹飞。（芭蕉扇一挥，八百里风）
active_hero_02_红孩儿	HERO_ACTIVE	红孩儿	三昧火墙	ALL	创造长15米火墙持续5秒，穿过伤害100+攻击×0.4，点燃3秒每秒30。地形封锁+伤害。不可破坏。
active_hero_03_蜘蛛精	HERO_ACTIVE	蜘蛛精	盘丝阵	ALL	目标区域8米半径蛛丝持续4秒，每秒40+攻击×0.2，区域内减速25%（蛛丝缠足）。与毒雾分家：原离场残留中毒删除（总伤下调约30%作为加减速的代价）——盘丝阵=控场网，毒雾=传染瘟疫，各归其位。（盘丝洞天罗地网）
active_hero_04_蝎子精	HERO_ACTIVE	蝎子精	倒马毒	ALL	对20米内可见敌人施毒：目标没有你施加的毒时叠3层；已有你的毒时消耗你施加的全部毒与毒层爆发。不会消耗其他玩家的毒。CD36秒。
active_hero_05_多目怪	HERO_ACTIVE	多目怪	金光	ALL	石化一个敌人1.5秒，期间无敌但不能动。双刃剑控制，可借机调整位置或等CD。（百眼魔君金光罩体）
active_hero_06_九头虫	HERO_ACTIVE	九头虫	毒雾	ALL	目标区域8米半径瘟疫8秒，每秒40+攻击×0.2，离开残留3秒，接触传染。持续DoT+传染，团战收益极高。
active_hero_07_黄风怪	HERO_ACTIVE	黄风怪	三昧神风	ALL	目标区域10米半径风沙持续4秒，每秒60+攻击×0.3，减速40%。大范围持续AOE+强减速，远程唯一持续范围控制。（吹瞎过悟空火眼金睛的正是此风）
active_hero_08_太上老君	HERO_ACTIVE	太上老君	八卦炉火	ALL	目标区域12米半径炉火砸落，1.5秒延迟后伤害400+攻击×1.2。最高单发AOE，有预警可躲，配合控制收益最大。
active_hero_09_孙悟空	HERO_ACTIVE	孙悟空	大闹天宫	ALL	5秒内攻速+80%，被动的临时战斗效果量按白名单翻倍，触发概率不变，受伤+20%。不翻倍控制时长、CD、次数、经济、永久成长、致死保护或天劫概率。
active_hero_10_二郎神	HERO_ACTIVE	二郎神	天眼	ALL	下一刀必暴击+目标已损失生命15%额外伤害，击杀重置CD。收割型，残血目标斩杀增伤，满血目标收益仅必暴击。
active_hero_11_哪吒	HERO_ACTIVE	哪吒	风火轮	ALL	直线冲刺25米，撞到第一个敌人停下并眩晕0.8秒，伤害100+攻击×0.5。位移+控制+伤害，冲刺可被打断。
active_hero_12_六耳猕猴	HERO_ACTIVE	六耳猕猴	六耳幻身	ALL	创造2个分身持续8秒，继承30%属性，无伤害但无法分辨。迷惑型，30人乱斗中混淆视听。（连如来座下都难辨真假）
active_hero_13_大鹏雕	HERO_ACTIVE	大鹏雕	金翅俯击	ALL	瞬移到40米内目标背后，下次攻击必暴击。突进+必暴击，需锁定目标不能空放。飞行+瞬移=任意地形贴脸。
active_hero_14_白骨精	HERO_ACTIVE	白骨精	借尸还魂	ALL	瞬移15米，原地留假身1秒后爆炸造成120+攻击×0.5伤害。位移+伤害，核心价值在位移。（三打白骨精，三次留下的都是假尸——魂走了，尸还在骗你）
active_hero_15_猪八戒	HERO_ACTIVE	猪八戒	九齿钉耙	ALL	前方扇形60度AOE伤害160+攻击×0.7，减速30%持续2秒。扇形AOE+开团信号。
active_hero_16_白龙马	HERO_ACTIVE	白龙马	龙马奔腾	ALL	直线贯穿冲刺25米，不因碰撞停止，沿途所有敌人受100+攻击×0.5伤害并被击退2米（无眩晕）。与风火轮彻底分家：风火轮=单体撞停+眩晕，龙马奔腾=贯穿多段伤害+切入逃生两用。（八部天龙，一骑贯阵）
active_hero_17_青狮怪	HERO_ACTIVE	青狮怪	狮吼	ALL	砸地，周围12米敌人击退到范围边缘并眩晕1秒，伤害150+攻击×0.7。群体击退+眩晕，背后是墙推不动但仍眩晕。
active_hero_18_牛魔王	HERO_ACTIVE	牛魔王	旋风	ALL	原地旋转3秒，每秒对周围8米伤害100+攻击×0.5，可移动但移速减半。持续AOE，配合溅射被动效果翻倍。
active_hero_19_独角兕大王	HERO_ACTIVE	独角兕大王	金刚琢	ALL	抛出金刚琢罩向目标区域，半径10米内敌人沉默3秒（无法使用主动技能）。（金刚琢专收兵器法宝——罩住你的法宝，让你放不出招）
active_hero_20_黄眉老祖	HERO_ACTIVE	黄眉老祖	石罗汉	ALL	召唤石罗汉作战20秒，500生命30攻击。主要价值是扛伤和探路，不是输出。（小雷音寺的假罗汉）
active_hero_21_金角大王	HERO_ACTIVE	金角大王	紫金葫芦	ALL	1秒蓄力后把周围15米敌人吸到身边，伤害120+攻击×0.6。群体拉取，有预警可跑，吸过来接自己的AOE。（叫你名字，你敢答应吗）
active_hero_22_银角大王	HERO_ACTIVE	银角大王	砸钱	ALL	锁定20米内一个敌人，消耗当前金币20%（最低500、最高5000），造成消耗金币10%的真实伤害（50-500）。真伤无视比例和固定减伤、不吃五行，但可被护盾吸收。
active_hero_23_黄袍怪	HERO_ACTIVE	黄袍怪	缠身	ALL	小鬼附身目标8秒，每2秒40伤害+暴露视野。战争迷雾里极其致命，配合猎杀被动追杀。
active_hero_24_虎力大仙	HERO_ACTIVE	虎力大仙	虎箭	ALL	全图直线箭矢，基础150+攻击×1.0，飞行每10米+5%伤害，上限+50%（满伤225+攻击×1.5）。全图狙击，满伤需100米距离，可被风墙冰墙阻挡。
active_hero_25_鹿力大仙	HERO_ACTIVE	鹿力大仙	鹿血	ALL	6秒普攻吸血+50%，期间对周围5米敌人每秒30伤害并吸等量生命。站撸神技。
active_hero_26_文殊菩萨	HERO_ACTIVE	文殊菩萨	定慧诀	ALL	对20米内可见敌人造成60+攻击×0.3伤害并眩晕2秒；眩晕正常受韧性、免控和控制减免影响。CD30秒。
active_hero_27_普贤菩萨	HERO_ACTIVE	普贤菩萨	行愿	ALL	为自己或50米内任意可见英雄瞬间回复220生命，不分敌我。没有合法目标时点按会治疗自己。
active_hero_28_镇元大仙	HERO_ACTIVE	镇元大仙	袖里乾坤	ALL	标记30米内可见敌人8秒，你对其伤害+30%；目标被你击杀后，转移到20米内最近可见敌人并刷新8秒，等距按实体ID裁决。
active_hero_29_如来佛祖	HERO_ACTIVE	如来佛祖	五行山	ALL	镇压目标区域——1.2秒延迟后巨山砸落，半径8米，伤害300+攻击×1.0，命中减速40%持续2秒。坦克最强团战核弹，有预警可躲，配合控制/地形收益最大。（压了悟空五百年的那座山）
active_hero_30_观音菩萨	HERO_ACTIVE	观音菩萨	甘露	ALL	在30米内放置半径8米的甘露区域，持续4秒；区域内所有英雄不分敌我每秒回复40生命。
active_hero_31_托塔李天王	HERO_ACTIVE	托塔李天王	宝塔	ALL	创造半径10米环形石墙持续5秒，内外无法进出。最强地形控制，可困敌可保命。克制：带闪现/借尸还魂在墙形成前跑出。
active_hero_32_唐僧	HERO_ACTIVE	唐僧	袈裟	ALL	无敌3秒且可移动、普攻和施放主动；期间不能拾取、开箱、交易、赌博或换英雄。
active_hero_33_沙和尚	HERO_ACTIVE	沙和尚	流沙	ALL	目标区域半径8米流沙持续4秒，每秒50+攻击×0.25，减速60%，且区域内敌人无法使用位移技能（闪现/冲刺/瞬移全部失效——陷进流沙，拔不出腿）。全游戏唯一反位移领域（强制软控），克制闪现/借尸还魂/风火轮/金翅俯击。（流沙河，鹅毛飘不起）
active_hero_34_黑熊精	HERO_ACTIVE	黑熊精	黑风罩	ALL	获得80%减伤并提高15%移速，持续4秒。真实伤害不受该减伤影响，但仍可被护盾吸收。
active_hero_35_白象精	HERO_ACTIVE	白象精	象鼻缚	ALL	长鼻卷住60米内一个目标（弹道可躲），定住2秒——不可移动但可攻击可施法。（黄牙老象一鼻子卷人——挣得动手脚，挣不脱身位）
active_hero_36_灵感大王	HERO_ACTIVE	灵感大王	冻河	ALL	在15米内指定方向创造长10米冰墙，持续40秒，拥有300生命并可被攻击摧毁。每个施法者同时最多1面，放新墙时旧墙碎裂。
active_hero_37_羊力大仙	HERO_ACTIVE	羊力大仙	羊灵之光	ALL	双模式——对敌：石化目标1.5秒（无敌但不能动）；对己：护体1.5秒（无敌但不能动，微型冰棺救急）。与金光的差异：金光只能石化敌人，羊灵之光可敌可己——保命与控制二选一的抉择技。（下油锅时护住周身的那道灵光）
