被动ID	CORE	ELITE_DPS	ELITE_TANK	FLY	MEL	PIG	RNG
B01	1	3	1	1	1	1	6
B02	1	3	1	1	1	1	3
B03	1	3	1	3	1	1	1
B04	1	3	1	1	1	1	6
B05	1	3	1	1	1	1	3
B06	1	6	1	1	3	1	3
B07	1	3	1	1	1	1	3
B08	1	3	1	1	1	1	1
B09	1	3	1	1	3	1	1
B10	1	6	1	1	1	1	1
B11	1	6	1	1	6	1	1
B12	1	3	1	1	1	1	1
B13	1	3	1	3	1	1	1
B14	1	3	1	3	1	1	6
B15	1	1	3	1	1	1	1
B16	1	1	3	1	6	1	1
B17	1	1	6	1	1	1	1
B18	1	1	3	1	6	1	1
B19	1	1	3	1	1	1	1
B20	1	1	6	1	1	1	1
B21	1	1	3	1	1	1	1
B22	1	1	3	1	3	1	1
B23	1	1	1	1	3	1	1
B24	1	1	6	1	1	1	1
B25	1	1	3	1	1	1	1
B26	1	3	1	3	1	1	1
B27	1	1	1	6	3	1	1
B28	1	1	1	6	1	3	3
B29	1	3	1	1	1	3	3
B30	1	1	1	3	1	1	1
B31	1	1	1	1	1	6	1
B32	1	1	1	1	1	6	1
B33	1	1	1	1	1	6	1
B34	1	1	1	1	1	3	1
B35	1	1	1	1	1	6	1
B36	1	1	1	6	1	1	1
B37	1	1	1	1	1	1	1
B38	1	1	3	1	1	1	1
B39	1	1	3	1	1	1	1
B40	1	1	1	1	3	3	1
B41	1	1	1	1	1	3	1
B42	1	1	1	1	1	3	1
B43	1	1	1	1	1	1	1
B44	1	1	1	1	1	1	1
