装备ID	CORE	DRAGON_EARTH	DRAGON_FIRE	DRAGON_METAL	DRAGON_WATER	DRAGON_WOOD	ELITE_DPS	ELITE_TANK	PIG
W1	1	1	1	1	1	1	3	1	1
W2	1	1	1	1	1	1	1	3	1
W3	1	1	1	1	1	1	1	1	1
W4	1	1	1	1	1	1	3	3	1
W5	1	1	1	1	1	1	1	3	1
W6	1	1	1	1	1	1	3	1	1
B1	1	1	6	3	1	1	6	1	1
B2	1	6	1	1	1	1	1	6	1
B3	1	3	1	1	3	1	1	6	1
B4	1	3	1	1	6	1	1	3	1
B5	1	1	1	1	1	6	1	3	3
B6	1	1	3	6	1	1	6	1	1
B7	1	3	1	1	1	1	1	3	1
B8	1	1	1	1	1	3	1	1	6
B9	1	1	3	3	1	1	3	1	3
B10	1	1	1	3	1	3	3	1	1
B11	1	3	1	1	1	1	1	3	3
B12	1	1	1	1	1	1	1	1	1
B13	1	1	1	1	3	1	1	1	1
B14	1	1	3	1	3	2	3	1	3
P1	1	1	3	3	1	1	6	1	1
P2	1	1	6	1	1	1	3	1	1
P3	1	1	1	3	3	1	3	1	1
P4	1	3	1	1	1	3	1	3	1
P5	1	3	1	1	1	6	1	3	1
P6	1	1	1	1	6	1	3	1	1
P7	1	1	1	1	1	3	1	1	1
P8	1	1	1	1	1	1	1	1	6
P9	1	3	1	1	3	1	1	3	3
P10	1	1	1	1	1	1	1	1	6
P11	1	1	3	6	1	1	3	1	1
P12	1	6	1	1	1	1	1	6	1
P13	1	1	1	1	3	1	1	3	3
P14	1	1	3	3	1	3	3	1	3
P15	1	1	3	1	3	1	3	1	1
P16	1	1	6	3	1	3	6	1	1
P17	1	1	2	2	2	1	3	1	1
P18	1	6	1	3	3	2	1	6	1
G1	1	3	1	1	1	1	1	1	1
G2	1	1	1	6	1	1	1	1	1
G3	1	6	1	1	1	1	1	1	1
G4	1	1	1	1	6	1	1	1	1
G5	1	1	1	1	1	6	1	1	1
G6	1	1	3	3	1	1	1	1	1
G7	1	1	1	1	3	3	1	1	1
G8	1	1	6	3	1	1	1	1	1
G9	1	1	1	1	1	3	1	1	1
G10	0	0	0	0	0	0	0	0	0
