节点	X	Y	Z	属性
N000	-350.7	207.9	0	region_id=REGION_SPIDER_GORGE
N001	-254.8	207.9	0	region_id=REGION_SPIDER_GORGE
N002	-212.1	159.9	0	region_id=REGION_SPIDER_GORGE
N003	-110.9	159.9	0	region_id=REGION_BROKEN_GOLD
N004	-62.9	101.3	0	region_id=REGION_BROKEN_GOLD
N005	49	101.3	0	region_id=REGION_DRAGON_RIDGE
N006	97	154.6	0	region_id=REGION_DRAGON_RIDGE
N007	187.6	154.6	0	region_id=REGION_DRAGON_RIDGE
N008	246.2	199.9	0	region_id=REGION_DRAGON_RIDGE
N009	336.9	202.5	0	region_id=REGION_DRAGON_RIDGE
N010	-361.4	-29.3	0	region_id=REGION_SPIDER_GORGE
N011	-281.4	-29.3	0	region_id=REGION_SPIDER_GORGE
N012	-230.8	24	0	region_id=REGION_SPIDER_GORGE
N013	-153.5	24	0	region_id=REGION_SPIDER_GORGE
N014	-100.2	-21.3	0	region_id=REGION_SPIDER_GORGE
N015	-9.6	-21.3	0	region_id=REGION_LOST_SOUL_FIELD
N016	33	26.7	0	region_id=REGION_DRAGON_RIDGE
N017	134.3	26.7	0	region_id=REGION_BURNING_WATER
N018	187.6	-21.3	0	region_id=REGION_BURNING_WATER
N019	283.6	-21.3	0	region_id=REGION_BURNING_WATER
N020	339.5	26.7	0	region_id=REGION_BURNING_WATER
N021	-332.1	-181.2	0	region_id=REGION_LOST_SOUL_FIELD
N022	-241.4	-181.2	0	region_id=REGION_LOST_SOUL_FIELD
N023	-188.1	-127.9	0	region_id=REGION_LOST_SOUL_FIELD
N024	-105.5	-127.9	0	region_id=REGION_LOST_SOUL_FIELD
N025	-49.6	-186.6	0	region_id=REGION_LOST_SOUL_FIELD
N026	65	-186.6	0	region_id=REGION_CENTIPEDE_CITY
N027	118.3	-138.6	0	region_id=REGION_CENTIPEDE_CITY
N028	203.6	-138.6	0	region_id=REGION_CENTIPEDE_CITY
N029	267.6	-191.9	0	region_id=REGION_CENTIPEDE_CITY
N030	339.5	-191.9	0	region_id=REGION_BURNING_WATER
N031	-281.4	111.9	0	region_id=REGION_SPIDER_GORGE
N032	-158.8	226.5	0	region_id=REGION_BROKEN_GOLD
N033	-44.2	231.9	0	region_id=REGION_BROKEN_GOLD
N034	49	191.9	0	region_id=REGION_DRAGON_RIDGE
N035	-70.9	58.6	0	region_id=REGION_BROKEN_GOLD
N036	-49.6	-80	0	region_id=REGION_LOST_SOUL_FIELD
N037	211.6	72	0	region_id=REGION_BURNING_WATER
N038	-316.1	58.6	0	region_id=REGION_SPIDER_GORGE
N039	-180.2	111.9	0	region_id=REGION_SPIDER_GORGE
N040	-254.8	-69.3	0	region_id=REGION_SPIDER_GORGE
N041	-110.9	245.2	0	region_id=REGION_BROKEN_GOLD
N042	272.9	106.6	0	region_id=REGION_DRAGON_RIDGE
N043	320.9	-85.3	0	region_id=REGION_BURNING_WATER
N044	-150.8	-234.5	0	region_id=REGION_LOST_SOUL_FIELD
N045	-110.9	-314.5	0	region_id=REGION_LOST_SOUL_FIELD
N046	65	-274.5	0	region_id=REGION_CENTIPEDE_CITY
N047	115.7	-303.8	0	region_id=REGION_CENTIPEDE_CITY
N048	-217.5	74.6	0	region_id=REGION_SPIDER_GORGE
N049	75.7	-21.3	0	region_id=REGION_BURNING_WATER
N050	235.6	-74.6	0	region_id=REGION_BURNING_WATER
N051	-137.5	-69.3	0	region_id=REGION_SPIDER_GORGE
N052	22.4	109.3	0	region_id=REGION_DRAGON_RIDGE
N053	-16.1	105.6	0	region_id=REGION_BROKEN_GOLD
N054	54.3	128.7	0	region_id=REGION_DRAGON_RIDGE
N055	26.5	77.4	0	region_id=REGION_DRAGON_RIDGE
N056	-12.3	-58.6	0	region_id=REGION_LOST_SOUL_FIELD
N057	-43.3	-45.5	0	region_id=REGION_LOST_SOUL_FIELD
N058	26.7	-42.1	0	region_id=REGION_CENTIPEDE_CITY
N059	-46.2	-78	0	region_id=REGION_LOST_SOUL_FIELD
N060	150.3	-58.6	0	region_id=REGION_BURNING_WATER
N061	120.8	-43.9	0	region_id=REGION_BURNING_WATER
N062	189.4	-66	0	region_id=REGION_BURNING_WATER
N063	136.8	-92.3	0	region_id=REGION_CENTIPEDE_CITY
N064	-305.4	194.5	0	region_id=REGION_SPIDER_GORGE
N065	-188.1	48	0	region_id=REGION_SPIDER_GORGE
N066	-49.6	207.9	0	region_id=REGION_BROKEN_GOLD
N067	248.9	143.9	0	region_id=REGION_DRAGON_RIDGE
N068	320.9	-37.3	0	region_id=REGION_BURNING_WATER
N069	-302.7	-194.5	0	region_id=REGION_LOST_SOUL_FIELD
N070	-145.5	-266.5	0	region_id=REGION_LOST_SOUL_FIELD
N071	126.3	-255.8	0	region_id=REGION_CENTIPEDE_CITY
N072	302.2	-207.9	0	region_id=REGION_CENTIPEDE_CITY
N073	-353.4	58.6	0	region_id=REGION_SPIDER_GORGE
N074	368.8	69.3	0	region_id=REGION_BURNING_WATER
N075	51.7	-311.8	0	region_id=REGION_CENTIPEDE_CITY
N076	153	229.2	0	region_id=REGION_DRAGON_RIDGE
N077	288.9	106.6	0	region_id=REGION_DRAGON_RIDGE
N078	-228.1	-74.6	0	region_id=REGION_SPIDER_GORGE
N079	-100.2	-165.2	0	region_id=REGION_LOST_SOUL_FIELD
N080	200.9	-154.6	0	region_id=REGION_CENTIPEDE_CITY
N081	-158.8	111.9	0	region_id=REGION_SPIDER_GORGE
N082	-49.6	-119.9	0	region_id=REGION_LOST_SOUL_FIELD
N083	-251	212.7	0	region_id=REGION_BROKEN_GOLD
N084	-120.5	177.5	0	region_id=REGION_BROKEN_GOLD
N085	95.4	202	0	region_id=REGION_DRAGON_RIDGE
N086	345.9	140.2	0	region_id=REGION_DRAGON_RIDGE
N087	-275	6.9	0	region_id=REGION_SPIDER_GORGE
N088	-123.1	-57	0	region_id=REGION_SPIDER_GORGE
N089	231.3	-57	0	region_id=REGION_BURNING_WATER
N090	313.9	-110.3	0	region_id=REGION_BURNING_WATER
N091	-245.7	-153	0	region_id=REGION_LOST_SOUL_FIELD
N092	-59.2	-121	0	region_id=REGION_LOST_SOUL_FIELD
N093	76.8	-153	0	region_id=REGION_CENTIPEDE_CITY
N094	252.6	-183.9	0	region_id=REGION_CENTIPEDE_CITY
N095	-324.1	143.9	0	region_id=REGION_SPIDER_GORGE
N096	75.7	34.6	0	region_id=REGION_DRAGON_RIDGE
N097	363.5	26.7	0	region_id=REGION_BURNING_WATER
N098	-14.9	-165.2	0	region_id=REGION_LOST_SOUL_FIELD
N099	333.1	166.3	0	region_id=REGION_DRAGON_RIDGE
N100	315.5	141.2	0	region_id=REGION_DRAGON_RIDGE
N101	299.5	114.6	0	region_id=REGION_DRAGON_RIDGE
N102	360.8	181.2	0	region_id=REGION_DRAGON_RIDGE
N103	374.2	202.5	0	region_id=REGION_DRAGON_RIDGE
N104	325.7	36.2	0	region_id=REGION_BURNING_WATER
N105	299.5	32	0	region_id=REGION_BURNING_WATER
N106	283.6	10.7	0	region_id=REGION_BURNING_WATER
N107	350.2	48	0	region_id=REGION_BURNING_WATER
N108	368.8	64	0	region_id=REGION_BURNING_WATER
N109	-2.7	254.2	0	region_id=REGION_BROKEN_GOLD
N110	-1.6	231.9	0	region_id=REGION_BROKEN_GOLD
N111	-9.6	207.9	0	region_id=REGION_BROKEN_GOLD
N112	19.7	261.2	0	region_id=REGION_BROKEN_GOLD
N113	43.7	271.8	0	region_id=REGION_DRAGON_RIDGE
N114	-302.7	207.9	0	region_id=REGION_SPIDER_GORGE
N115	-233.5	183.9	0	region_id=REGION_SPIDER_GORGE
N116	-161.5	159.9	0	region_id=REGION_BROKEN_GOLD
N117	-86.9	130.6	0	region_id=REGION_BROKEN_GOLD
N118	-6.9	101.3	0	region_id=REGION_BROKEN_GOLD
N119	73	127.9	0	region_id=REGION_DRAGON_RIDGE
N120	142.3	154.6	0	region_id=REGION_DRAGON_RIDGE
N121	216.9	177.2	0	region_id=REGION_DRAGON_RIDGE
N122	291.6	201.2	0	region_id=REGION_DRAGON_RIDGE
N123	-321.4	-29.3	0	region_id=REGION_SPIDER_GORGE
N124	-256.1	-2.7	0	region_id=REGION_SPIDER_GORGE
N125	-192.1	24	0	region_id=REGION_SPIDER_GORGE
N126	-126.9	1.3	0	region_id=REGION_SPIDER_GORGE
N127	-54.9	-21.3	0	region_id=REGION_SPIDER_GORGE
N128	11.7	2.7	0	region_id=REGION_BURNING_WATER
N129	83.7	26.7	0	region_id=REGION_DRAGON_RIDGE
N130	161	2.7	0	region_id=REGION_BURNING_WATER
N131	235.6	-21.3	0	region_id=REGION_BURNING_WATER
N132	311.5	2.7	0	region_id=REGION_BURNING_WATER
N133	-286.8	-181.2	0	region_id=REGION_LOST_SOUL_FIELD
N134	-214.8	-154.6	0	region_id=REGION_LOST_SOUL_FIELD
N135	-146.8	-127.9	0	region_id=REGION_LOST_SOUL_FIELD
N136	-77.6	-157.2	0	region_id=REGION_LOST_SOUL_FIELD
N137	7.7	-186.6	0	region_id=REGION_CENTIPEDE_CITY
N138	91.7	-162.6	0	region_id=REGION_CENTIPEDE_CITY
N139	161	-138.6	0	region_id=REGION_CENTIPEDE_CITY
N140	235.6	-165.2	0	region_id=REGION_CENTIPEDE_CITY
N141	303.5	-191.9	0	region_id=REGION_CENTIPEDE_CITY
N142	-268.1	159.9	0	region_id=REGION_SPIDER_GORGE
N143	-256.1	68	0	region_id=REGION_SPIDER_GORGE
N144	-81.5	40	0	region_id=REGION_SPIDER_GORGE
N145	-102.9	-74.6	0	region_id=REGION_LOST_SOUL_FIELD
N146	115.7	90.6	0	region_id=REGION_DRAGON_RIDGE
N147	126.3	-56	0	region_id=REGION_BURNING_WATER
N148	264.9	89.3	0	region_id=REGION_BURNING_WATER
N149	275.6	-106.6	0	region_id=REGION_BURNING_WATER
N150	-185.5	193.2	0	region_id=REGION_BROKEN_GOLD
N151	-101.5	229.2	0	region_id=REGION_BROKEN_GOLD
N152	2.4	211.9	0	region_id=REGION_BROKEN_GOLD
N153	118.3	173.2	0	region_id=REGION_DRAGON_RIDGE
N154	-112.2	41.3	0	region_id=REGION_SPIDER_GORGE
N155	-18.9	42.6	0	region_id=REGION_BROKEN_GOLD
N156	-29.6	-50.6	0	region_id=REGION_LOST_SOUL_FIELD
N157	-49.6	-133.2	0	region_id=REGION_LOST_SOUL_FIELD
N158	173	49.3	0	region_id=REGION_BURNING_WATER
N159	247.6	25.3	0	region_id=REGION_BURNING_WATER
N160	-338.7	14.7	0	region_id=REGION_SPIDER_GORGE
N161	-298.7	85.3	0	region_id=REGION_SPIDER_GORGE
N162	-230.8	111.9	0	region_id=REGION_SPIDER_GORGE
N163	-166.8	68	0	region_id=REGION_SPIDER_GORGE
N164	-242.8	-22.7	0	region_id=REGION_SPIDER_GORGE
N165	-221.5	-98.6	0	region_id=REGION_SPIDER_GORGE
N166	-110.9	202.5	0	region_id=REGION_BROKEN_GOLD
N167	-77.6	238.5	0	region_id=REGION_BROKEN_GOLD
N168	49	146.6	0	region_id=REGION_DRAGON_RIDGE
N169	73	173.2	0	region_id=REGION_DRAGON_RIDGE
N170	199.6	113.3	0	region_id=REGION_DRAGON_RIDGE
N171	242.2	89.3	0	region_id=REGION_DRAGON_RIDGE
N172	304.9	154.6	0	region_id=REGION_DRAGON_RIDGE
N173	302.2	-53.3	0	region_id=REGION_BURNING_WATER
N174	330.2	-138.6	0	region_id=REGION_BURNING_WATER
N175	-128.2	-181.2	0	region_id=REGION_LOST_SOUL_FIELD
