边ID	A	B	类型	宽m	长m	Nav	方向
MAP_EDGE_0001	N046	N047	SIDE	7	58.5	是	BIDIRECTIONAL
MAP_EDGE_0002	N038	N048	RISK	4.5	99.9	是	BIDIRECTIONAL
MAP_EDGE_0003	N048	N003	RISK	4.5	136.5	是	BIDIRECTIONAL
MAP_EDGE_0004	N016	N049	RISK	4.5	64.2	是	BIDIRECTIONAL
MAP_EDGE_0005	N049	N027	RISK	4.5	124.8	是	BIDIRECTIONAL
MAP_EDGE_0006	N018	N050	RISK	4.5	71.7	是	BIDIRECTIONAL
MAP_EDGE_0007	N050	N043	RISK	4.5	85.9	是	BIDIRECTIONAL
MAP_EDGE_0008	N023	N051	RISK	4.5	77.5	是	BIDIRECTIONAL
MAP_EDGE_0009	N051	N036	RISK	4.5	88.6	是	BIDIRECTIONAL
MAP_EDGE_0010	N052	N053	COURT	8	38.6	是	BIDIRECTIONAL
MAP_EDGE_0011	N053	N004	COURT	8	47	是	BIDIRECTIONAL
MAP_EDGE_0012	N052	N054	COURT	8	37.4	是	BIDIRECTIONAL
MAP_EDGE_0013	N054	N006	COURT	8	49.9	是	BIDIRECTIONAL
MAP_EDGE_0014	N052	N055	COURT	8	32.1	是	BIDIRECTIONAL
MAP_EDGE_0015	N055	N016	COURT	8	51.2	是	BIDIRECTIONAL
MAP_EDGE_0016	N056	N057	COURT	8	33.7	是	BIDIRECTIONAL
MAP_EDGE_0017	N057	N014	COURT	8	61.8	是	BIDIRECTIONAL
MAP_EDGE_0018	N056	N058	COURT	8	42.3	是	BIDIRECTIONAL
MAP_EDGE_0019	N058	N049	COURT	8	53.2	是	BIDIRECTIONAL
MAP_EDGE_0020	N056	N059	COURT	8	39.1	是	BIDIRECTIONAL
MAP_EDGE_0021	N059	N036	COURT	8	3.9	是	BIDIRECTIONAL
MAP_EDGE_0022	N060	N061	COURT	8	33	是	BIDIRECTIONAL
MAP_EDGE_0023	N061	N049	COURT	8	50.4	是	BIDIRECTIONAL
MAP_EDGE_0024	N060	N062	COURT	8	39.8	是	BIDIRECTIONAL
MAP_EDGE_0025	N062	N050	COURT	8	47	是	BIDIRECTIONAL
MAP_EDGE_0026	N060	N063	COURT	8	36.3	是	BIDIRECTIONAL
MAP_EDGE_0027	N063	N027	COURT	8	49.8	是	BIDIRECTIONAL
