墙ID	类别	Z0	高m	顶点数	碰撞
MAP_WALL_001	BOUND	0	6	5	实体挤出多边形
MAP_WALL_002	VAULT	0	2.5	5	实体挤出多边形
MAP_WALL_003	VAULT	0	2.5	3	实体挤出多边形
MAP_WALL_004	VAULT	0	2.5	4	实体挤出多边形
MAP_WALL_005	VAULT	0	2.5	4	实体挤出多边形
MAP_WALL_006	VAULT	0	2.5	4	实体挤出多边形
MAP_WALL_007	VAULT	0	2.5	5	实体挤出多边形
MAP_WALL_008	VAULT	0	2.5	6	实体挤出多边形
MAP_WALL_009	VAULT	0	2.5	5	实体挤出多边形
MAP_WALL_010	VAULT	0	2.5	5	实体挤出多边形
MAP_WALL_011	VAULT	0	2.5	5	实体挤出多边形
MAP_WALL_012	VAULT	0	2.5	3	实体挤出多边形
MAP_WALL_013	VAULT	0	2.5	5	实体挤出多边形
MAP_WALL_014	VAULT	0	2.5	3	实体挤出多边形
MAP_WALL_015	BOUND	0	6	5	实体挤出多边形
MAP_WALL_016	BOUND	0	6	7	实体挤出多边形
MAP_WALL_017	BOUND	0	6	3	实体挤出多边形
MAP_WALL_018	VAULT	0	2.5	3	实体挤出多边形
MAP_WALL_019	VAULT	0	2.5	7	实体挤出多边形
MAP_WALL_020	VAULT	0	2.5	6	实体挤出多边形
MAP_WALL_021	VAULT	0	2.5	3	实体挤出多边形
MAP_WALL_022	VAULT	0	2.5	7	实体挤出多边形
MAP_WALL_023	VAULT	0	2.5	7	实体挤出多边形
MAP_WALL_024	VAULT	0	2.5	4	实体挤出多边形
MAP_WALL_025	VAULT	0	2.5	3	实体挤出多边形
MAP_WALL_026	VAULT	0	2.5	3	实体挤出多边形
MAP_WALL_027	VAULT	0	2.5	5	实体挤出多边形
MAP_WALL_028	VAULT	0	2.5	5	实体挤出多边形
MAP_WALL_029	VAULT	0	2.5	4	实体挤出多边形
MAP_WALL_030	VAULT	0	2.5	6	实体挤出多边形
MAP_WALL_031	BOUND	0	6	5	实体挤出多边形
MAP_WALL_032	BOUND	0	6	5	实体挤出多边形
MAP_WALL_033	BOUND	0	6	4	实体挤出多边形
MAP_WALL_034	BOUND	0	6	5	实体挤出多边形
MAP_WALL_035	BOUND	0	6	3	实体挤出多边形
MAP_WALL_036	BOUND	0	6	3	实体挤出多边形
MAP_WALL_037	BOUND	0	6	3	实体挤出多边形
MAP_WALL_038	VAULT	0	2.5	5	实体挤出多边形
MAP_WALL_039	VAULT	0	2.5	3	实体挤出多边形
MAP_WALL_040	VAULT	0	2.5	5	实体挤出多边形
MAP_WALL_041	VAULT	0	2.5	5	实体挤出多边形
MAP_WALL_042	VAULT	0	2.5	5	实体挤出多边形
MAP_WALL_043	VAULT	0	2.5	5	实体挤出多边形
MAP_WALL_044	VAULT	0	2.5	4	实体挤出多边形
MAP_WALL_045	BOUND	0	6	5	实体挤出多边形
MAP_WALL_046	BOUND	0	6	4	实体挤出多边形
MAP_WALL_047	BOUND	0	6	5	实体挤出多边形
