墙ID	顶点序号	有序顶点(x,y)m
MAP_WALL_001	1–5	V1=-348.00 / 269.20；V2=-252.10 / 285.20；V3=-225.50 / 247.80；V4=-260.10 / 226.50；V5=-340.10 / 234.50
MAP_WALL_002	1–5	V1=-214.80 / 285.20；V2=-150.80 / 295.80；V3=-129.50 / 261.20；V4=-164.20 / 237.20；V5=-217.50 / 250.50
MAP_WALL_003	1–7	V1=-288.30 / 110.40；V2=-288.20 / 110.40；V3=-288.20 / 110.00；V4=-288.10 / 109.90；V5=-293.90 / 101.10；V6=-340.10 / 106.60；V7=-337.40 / 149.20
MAP_WALL_003	1–6	V1=-288.30 / 110.70；V2=-288.40 / 111.00；V3=-288.40 / 111.10；V4=-288.40 / 111.40；V5=-288.40 / 111.70；V6=-288.40 / 111.80
MAP_WALL_003	1–5	V1=-326.80 / 141.00；V2=-326.50 / 140.80；V3=-326.50 / 140.70；V4=-288.40 / 112.20；V5=-288.40 / 112.10
MAP_WALL_003	1–4	V1=-327.30 / 141.60；V2=-327.30 / 141.50；V3=-327.20 / 141.50；V4=-326.90 / 141.10
MAP_WALL_003	1–7	V1=-327.40 / 141.70；V2=-327.40 / 141.80；V3=-327.50 / 141.90；V4=-327.60 / 142.00；V5=-327.60 / 142.10；V6=-327.70 / 142.20；V7=-327.70 / 142.30
MAP_WALL_003	1–3	V1=-337.40 / 149.20；V2=-331.20 / 150.70；V3=-327.80 / 142.40
MAP_WALL_004	1–4	V1=-274.10 / 164.40；V2=-286.30 / 120.60；V3=-320.80 / 146.50；V4=-323.40 / 152.60
MAP_WALL_005	1–4	V1=-259.70 / 116.40；V2=-272.90 / 116.40；V3=-262.40 / 154.10；V4=-246.80 / 133.20
MAP_WALL_006	1–4	V1=-195.30 / 127.40；V2=-188.00 / 116.40；V3=-228.30 / 116.40；V4=-228.10 / 119.90
MAP_WALL_007	1–5	V1=-160.60 / 124.30；V2=-169.80 / 116.90；V3=-178.70 / 116.90；V4=-186.90 / 129.30；V5=-169.50 / 133.20
MAP_WALL_008	1–4	V1=-157.40 / 107.10；V2=-155.30 / 108.40；V3=-150.00 / 113.70；V4=-137.50 / 101.30
MAP_WALL_008	1–6	V1=-137.50 / 101.30；V2=-163.10 / 71.10；V3=-173.50 / 105.60；V4=-171.90 / 106.90；V5=-158.80 / 106.90；V6=-157.90 / 107.00
MAP_WALL_009	1–5	V1=-211.70 / 74.10；V2=-212.00 / 74.40；V3=-210.00 / 76.40；V4=-181.10 / 99.50；V5=-171.40 / 67.40
MAP_WALL_010	1–5	V1=-228.90 / 107.40；V2=-190.30 / 107.40；V3=-220.30 / 77.50；V4=-226.10 / 76.50；V5=-230.80 / 77.30
MAP_WALL_011	1–5	V1=-100.20 / 301.10；V2=-36.20 / 311.80；V3=-1.60 / 277.20；V4=-22.90 / 245.20；V5=-89.50 / 250.50
MAP_WALL_012	1–8	V1=42.60 / 275.20；V2=42.30 / 275.00；V3=33.50 / 271.10；V4=30.40 / 287.80；V5=91.70 / 309.10；V6=131.70 / 266.50；V7=99.70 / 231.90；V8=38.40 / 245.20
MAP_WALL_012	1–8	V1=42.90 / 275.20；V2=43.30 / 275.30；V3=43.60 / 275.30；V4=44.00 / 275.30；V5=44.30 / 275.30；V6=44.60 / 275.20；V7=45.00 / 275.10；V8=45.30 / 275.00
MAP_WALL_012	1–3	V1=45.60 / 274.80；V2=46.90 / 273.30；V3=47.00 / 272.90
MAP_WALL_012	1–4	V1=47.10 / 272.60；V2=47.20 / 272.30；V3=47.20 / 271.20；V4=46.80 / 270.30
MAP_WALL_012	1–3	V1=46.70 / 270.00；V2=45.10 / 268.60；V3=34.80 / 264.10
MAP_WALL_012	41–41	V41=38.4 / 245.2
MAP_WALL_013	1–5	V1=244.90 / 220.90；V2=161.80 / 233.00；V3=166.30 / 285.20；V4=235.60 / 277.20；V5=262.20 / 234.50
MAP_WALL_014	1–3	V1=167.00 / 222.10；V2=234.10 / 212.40；V3=224.90 / 205.20
MAP_WALL_015	1–5	V1=338.70 / 209.30；V2=325.70 / 209.20；V3=283.30 / 215.40；V4=288.90 / 245.20；V5=347.50 / 229.20
MAP_WALL_015	1–5	V1=339.30 / 209.10；V2=340.60 / 208.50；V3=341.70 / 207.60；V4=342.60 / 206.60；V5=342.90 / 206.00
MAP_WALL_015	1–6	V1=343.20 / 205.40；V2=343.50 / 204.80；V3=343.90 / 202.70；V4=343.80 / 202.10；V5=343.80 / 201.40；V6=343.60 / 200.70
MAP_WALL_015	1–5	V1=356.40 / 182.80；V2=344.80 / 176.60；V3=341.70 / 197.50；V4=342.80 / 198.80；V5=343.40 / 200.10
MAP_WALL_015	33–33	V33=347.5 / 229.2
MAP_WALL_016	1–3	V1=330.60 / 168.80；V2=330.30 / 168.30；V3=328.90 / 166.30
MAP_WALL_016	1–6	V1=330.70 / 168.80；V2=330.80 / 168.90；V3=330.90 / 169.00；V4=331.00 / 169.10；V5=331.10 / 169.10；V6=331.20 / 169.20
MAP_WALL_016	1–7	V1=328.90 / 166.30；V2=316.10 / 163.30；V3=333.10 / 188.70；V4=333.30 / 170.40；V5=331.40 / 169.30；V6=331.20 / 169.30；V7=331.20 / 169.20
MAP_WALL_017	1–3	V1=287.70 / 194.10；V2=326.60 / 195.20；V3=308.50 / 168.10
MAP_WALL_018	1–3	V1=-333.00 / 35.60；V2=-352.90 / -3.10；V3=-350.70 / 34.60
MAP_WALL_019	1–7	V1=-311.70 / 36.70；V2=-290.50 / -17.10；V3=-295.70 / -22.30；V4=-304.40 / -22.30；V5=-322.60 / -18.00；V6=-334.70 / 12.60；V7=-322.60 / 36.10
MAP_WALL_020	1–6	V1=-278.90 / 7.70；V2=-279.00 / 7.60；V3=-281.80 / -8.40；V4=-284.40 / -10.90；V5=-303.30 / 37.10；V6=-300.10 / 37.30
MAP_WALL_021	1–3	V1=-347.40 / -12.10；V2=-338.40 / 5.50；V3=-329.80 / -16.30
MAP_WALL_022	1–7	V1=-127.50 / -39.30；V2=-127.40 / -40.50；V3=-154.50 / -65.30；V4=-175.50 / -66.50；V5=-222.80 / -58.60；V6=-220.10 / -16.00；V7=-158.80 / -5.30
MAP_WALL_023	1–7	V1=-41.50 / 42.30；V2=-21.00 / 35.90；V3=-0.90 / 29.80；V4=11.70 / 16.00；V5=-14.90 / -10.70；V6=-76.20 / -2.70；V7=-73.60 / 34.60
MAP_WALL_024	1–4	V1=54.70 / -2.60；V2=69.00 / -18.70；V3=53.00 / -25.50；V4=54.40 / -2.70
MAP_WALL_025	1–3	V1=71.70 / -0.90；V2=71.70 / -11.90；V3=62.70 / -1.80
MAP_WALL_026	1–3	V1=97.40 / 1.60；V2=80.50 / -12.20；V3=82.60 / 0.20
MAP_WALL_027	1–5	V1=123.30 / -14.20；V2=121.80 / -30.40；V3=119.40 / -37.60；V4=83.80 / -19.80；V5=109.20 / 1.00
MAP_WALL_028	1–5	V1=93.70 / -61.20；V2=82.40 / -30.30；V3=120.00 / -49.00；V4=119.80 / -51.20；V5=102.30 / -64.00
MAP_WALL_029	1–4	V1=52.40 / -36.60；V2=74.40 / -27.30；V3=85.80 / -58.80；V4=51.70 / -48.00
MAP_WALL_030	1–6	V1=228.60 / 38.40；V2=261.70 / -4.40；V3=253.40 / -14.30；V4=190.30 / -14.30；V5=180.80 / -5.70；V6=177.00 / 26.70
MAP_WALL_030	9–9	V9=177 / 26.7
MAP_WALL_031	1–5	V1=334.70 / 82.60；V2=335.20 / 44.70；V3=334.30 / 44.30；V4=309.80 / 82.90；V5=310.20 / 85.30
MAP_WALL_032	1–5	V1=351.30 / 80.70；V2=354.90 / 56.60；V3=348.30 / 50.90；V4=343.20 / 48.50；V5=342.70 / 81.70
MAP_WALL_033	1–4	V1=366.70 / 32.00；V2=363.30 / 54.60；V3=366.60 / 57.40；V4=374.20 / 37.30
MAP_WALL_034	1–5	V1=333.80 / 12.50；V2=344.10 / 21.30；V3=345.30 / 22.60；V4=353.60 / 22.60；V5=336.90 / 10.70
MAP_WALL_035	1–5	V1=326.90 / 33.00；V2=328.40 / 33.70；V3=331.30 / 30.20；V4=331.90 / 29.30；V5=321.30 / 20.20
MAP_WALL_035	1–3	V1=326.90 / 33.00；V2=326.40 / 32.80；V3=306.20 / 29.50
MAP_WALL_035	17–17	V17=321.3 / 20.2
MAP_WALL_036	1–3	V1=306.40 / 60.10；V2=323.60 / 39.50；V3=302.80 / 36.10
MAP_WALL_037	1–3	V1=346.50 / 30.70；V2=356.60 / 45.40；V3=358.90 / 30.70
MAP_WALL_038	1–5	V1=-334.60 / -146.80；V2=-344.00 / -98.10；V3=-284.10 / -90.60；V4=-254.80 / -125.30；V5=-286.80 / -157.20
MAP_WALL_039	1–3	V1=-348.00 / -119.50；V2=-343.10 / -145.00；V3=-348.00 / -143.90
MAP_WALL_040	1–5	V1=-220.00 / -198.50；V2=-159.80 / -233.90；V3=-177.50 / -253.20；V4=-236.10 / -239.90；V5=-233.50 / -202.50
MAP_WALL_041	1–5	V1=-149.50 / -219.80；V2=-151.70 / -225.00；V3=-154.30 / -227.90；V4=-209.50 / -195.40；V5=-180.20 / -186.60
MAP_WALL_042	1–5	V1=-94.90 / -223.90；V2=-36.20 / -210.50；V3=-4.30 / -247.80；V4=-36.20 / -279.80；V5=-94.90 / -263.80
MAP_WALL_043	1–5	V1=56.60 / -228.20；V2=60.50 / -231.20；V3=60.50 / -271.40；V4=51.50 / -273.50；V5=49.00 / -229.20
MAP_WALL_044	1–7	V1=122.90 / -255.10；V2=116.40 / -284.40；V3=113.00 / -287.80；V4=90.20 / -283.80；V5=69.50 / -271.90；V6=69.50 / -226.40；V7=107.70 / -221.20
MAP_WALL_044	1–3	V1=123.00 / -254.70；V2=123.90 / -253.30；V3=124.40 / -252.90
MAP_WALL_044	1–6	V1=124.70 / -252.70；V2=125.70 / -252.40；V3=126.10 / -252.40；V4=126.40 / -252.30；V5=126.70 / -252.40；V6=127.10 / -252.40
MAP_WALL_044	1–3	V1=127.40 / -252.50；V2=128.90 / -253.40；V3=129.30 / -254.00
MAP_WALL_044	1–4	V1=129.40 / -254.30；V2=129.80 / -255.20；V3=129.80 / -256.30；V4=129.70 / -256.60
