庭ID	设施类型	设施ID	坐标m	半径m
MAP_COURT_01	终局商位	MAP_FINAL_SHOP_C1_1	49.3 / 111.2	不适用
MAP_COURT_01	终局商位	MAP_FINAL_SHOP_C1_2	22 / 82.3	不适用
MAP_COURT_01	复活位	MAP_REVIVE_C1_1	56.6 / 92.7	不适用
MAP_COURT_01	复活位	MAP_REVIVE_C1_2	25.1 / 71.4	不适用
MAP_COURT_01	复活位	MAP_REVIVE_C1_3	-9.1 / 88	不适用
MAP_COURT_01	复活位	MAP_REVIVE_C1_4	-11.8 / 125.9	不适用
MAP_COURT_01	复活位	MAP_REVIVE_C1_5	19.7 / 147.2	不适用
MAP_COURT_01	复活位	MAP_REVIVE_C1_6	53.9 / 130.6	不适用
MAP_COURT_01	伏石	MAP_FUSHI_COURT_C1_1	-6.7 / 102	2
MAP_COURT_01	伏石	MAP_FUSHI_COURT_C1_2	15.1 / 138.4	2
MAP_COURT_01	宝箱备点	MAP_FINAL_CHEST_C1_1	34.4 / 109.3	不适用
MAP_COURT_01	宝箱备点	MAP_FINAL_CHEST_C1_2	10.4 / 109.3	不适用
MAP_COURT_01	宝箱备点	MAP_FINAL_CHEST_C1_3	22.4 / 97.3	不适用
MAP_COURT_01	宝箱备点	MAP_FINAL_CHEST_C1_4	22.4 / 121.3	不适用
MAP_COURT_02	终局商位	MAP_FINAL_SHOP_C2_1	12.7 / -68.8	不适用
MAP_COURT_02	终局商位	MAP_FINAL_SHOP_C2_2	-24.6 / -82.6	不适用
MAP_COURT_02	复活位	MAP_REVIVE_C2_1	11 / -88.7	不适用
MAP_COURT_02	复活位	MAP_REVIVE_C2_2	-26.6 / -93.8	不适用
MAP_COURT_02	复活位	MAP_REVIVE_C2_3	-49.9 / -63.8	不适用
MAP_COURT_02	复活位	MAP_REVIVE_C2_4	-35.6 / -28.6	不适用
MAP_COURT_02	复活位	MAP_REVIVE_C2_5	2.1 / -23.4	不适用
MAP_COURT_02	复活位	MAP_REVIVE_C2_6	25.4 / -53.5	不适用
MAP_COURT_02	伏石	MAP_FUSHI_COURT_C2_1	-41.6 / -52.3	2
MAP_COURT_02	伏石	MAP_FUSHI_COURT_C2_2	-5.9 / -29.3	2
MAP_COURT_02	宝箱备点	MAP_FINAL_CHEST_C2_1	-0.3 / -58.6	不适用
MAP_COURT_02	宝箱备点	MAP_FINAL_CHEST_C2_2	-24.3 / -58.6	不适用
MAP_COURT_02	宝箱备点	MAP_FINAL_CHEST_C2_3	-12.3 / -70.6	不适用
MAP_COURT_02	宝箱备点	MAP_FINAL_CHEST_C2_4	-12.3 / -46.6	不适用
MAP_COURT_03	终局商位	MAP_FINAL_SHOP_C3_1	130.8 / -77.3	不适用
MAP_COURT_03	终局商位	MAP_FINAL_SHOP_C3_2	133.4 / -37.5	不适用
MAP_COURT_03	复活位	MAP_REVIVE_C3_1	113.4 / -67.6	不适用
MAP_COURT_03	复活位	MAP_REVIVE_C3_2	124.1 / -31.1	不适用
MAP_COURT_03	复活位	MAP_REVIVE_C3_3	161 / -22.2	不适用
MAP_COURT_03	复活位	MAP_REVIVE_C3_4	187.2 / -49.7	不适用
MAP_COURT_03	复活位	MAP_REVIVE_C3_5	176.5 / -86.1	不适用
MAP_COURT_03	复活位	MAP_REVIVE_C3_6	139.6 / -95.1	不适用
MAP_COURT_03	伏石	MAP_FUSHI_COURT_C3_1	168.1 / -34.5	2
MAP_COURT_03	伏石	MAP_FUSHI_COURT_C3_2	174.5 / -76.4	2
MAP_COURT_03	宝箱备点	MAP_FINAL_CHEST_C3_1	162.3 / -58.6	不适用
MAP_COURT_03	宝箱备点	MAP_FINAL_CHEST_C3_2	138.3 / -58.6	不适用
MAP_COURT_03	宝箱备点	MAP_FINAL_CHEST_C3_3	150.3 / -70.6	不适用
MAP_COURT_03	宝箱备点	MAP_FINAL_CHEST_C3_4	150.3 / -46.6	不适用
