宏区ID	标签	微位ID
MAP_SPAWN_MACRO_01	R01	MAP_SPAWN_POINT:MAP_SPAWN_POINT_01；MAP_SPAWN_POINT:MAP_SPAWN_POINT_02
MAP_SPAWN_MACRO_02	R02	MAP_SPAWN_POINT:MAP_SPAWN_POINT_03；MAP_SPAWN_POINT:MAP_SPAWN_POINT_04
MAP_SPAWN_MACRO_03	R03	MAP_SPAWN_POINT:MAP_SPAWN_POINT_05；MAP_SPAWN_POINT:MAP_SPAWN_POINT_06
MAP_SPAWN_MACRO_04	R04	MAP_SPAWN_POINT:MAP_SPAWN_POINT_07；MAP_SPAWN_POINT:MAP_SPAWN_POINT_08
MAP_SPAWN_MACRO_05	R05	MAP_SPAWN_POINT:MAP_SPAWN_POINT_09；MAP_SPAWN_POINT:MAP_SPAWN_POINT_10
MAP_SPAWN_MACRO_06	R06	MAP_SPAWN_POINT:MAP_SPAWN_POINT_11；MAP_SPAWN_POINT:MAP_SPAWN_POINT_12
MAP_SPAWN_MACRO_07	R07	MAP_SPAWN_POINT:MAP_SPAWN_POINT_13；MAP_SPAWN_POINT:MAP_SPAWN_POINT_14
MAP_SPAWN_MACRO_08	R08	MAP_SPAWN_POINT:MAP_SPAWN_POINT_15；MAP_SPAWN_POINT:MAP_SPAWN_POINT_16
MAP_SPAWN_MACRO_09	R09	MAP_SPAWN_POINT:MAP_SPAWN_POINT_17；MAP_SPAWN_POINT:MAP_SPAWN_POINT_18
MAP_SPAWN_MACRO_10	R10	MAP_SPAWN_POINT:MAP_SPAWN_POINT_19；MAP_SPAWN_POINT:MAP_SPAWN_POINT_20
MAP_SPAWN_MACRO_11	R11	MAP_SPAWN_POINT:MAP_SPAWN_POINT_21；MAP_SPAWN_POINT:MAP_SPAWN_POINT_22
MAP_SPAWN_MACRO_12	R12	MAP_SPAWN_POINT:MAP_SPAWN_POINT_23；MAP_SPAWN_POINT:MAP_SPAWN_POINT_24
MAP_SPAWN_MACRO_13	R13	MAP_SPAWN_POINT:MAP_SPAWN_POINT_25；MAP_SPAWN_POINT:MAP_SPAWN_POINT_26
MAP_SPAWN_MACRO_14	R14	MAP_SPAWN_POINT:MAP_SPAWN_POINT_27；MAP_SPAWN_POINT:MAP_SPAWN_POINT_28
MAP_SPAWN_MACRO_15	R15	MAP_SPAWN_POINT:MAP_SPAWN_POINT_29；MAP_SPAWN_POINT:MAP_SPAWN_POINT_30
MAP_SPAWN_MACRO_16	R16	MAP_SPAWN_POINT:MAP_SPAWN_POINT_31；MAP_SPAWN_POINT:MAP_SPAWN_POINT_32
MAP_SPAWN_MACRO_17	R17	MAP_SPAWN_POINT:MAP_SPAWN_POINT_33；MAP_SPAWN_POINT:MAP_SPAWN_POINT_34
