微位ID	标签	坐标m	朝向°	宏区	出口节点	region_id
MAP_SPAWN_POINT_01	R01_1	-322.7 / 210.9	-2.5	MAP_SPAWN_MACRO_01	N001	REGION_SPIDER_GORGE
MAP_SPAWN_POINT_02	R01_2	-355 / 180	-91.8	MAP_SPAWN_MACRO_01	N010	REGION_SPIDER_GORGE
MAP_SPAWN_POINT_03	R02_1	311.5 / -194.9	176.1	MAP_SPAWN_MACRO_02	N029	REGION_CENTIPEDE_CITY
MAP_SPAWN_POINT_04	R02_2	337.6 / -163.8	102.1	MAP_SPAWN_MACRO_02	N043	REGION_BURNING_WATER
MAP_SPAWN_POINT_05	R03_1	-135.6 / -258.2	-66.2	MAP_SPAWN_MACRO_03	N045	REGION_LOST_SOUL_FIELD
MAP_SPAWN_POINT_06	R03_2	-173.5 / -217.7	151.8	MAP_SPAWN_MACRO_03	N022	REGION_LOST_SOUL_FIELD
MAP_SPAWN_POINT_07	R04_1	75.1 / 137.8	-156.4	MAP_SPAWN_MACRO_04	N054	REGION_DRAGON_RIDGE
MAP_SPAWN_POINT_08	R04_2	125 / 151.6	2.7	MAP_SPAWN_MACRO_04	N007	REGION_DRAGON_RIDGE
MAP_SPAWN_POINT_09	R05_1	-130.2 / 8.1	-44.5	MAP_SPAWN_MACRO_05	N014	REGION_SPIDER_GORGE
MAP_SPAWN_POINT_10	R05_2	-181.5 / 27	-176.5	MAP_SPAWN_MACRO_05	N012	REGION_SPIDER_GORGE
MAP_SPAWN_POINT_11	R06_1	89.9 / -292.4	144.3	MAP_SPAWN_MACRO_06	N046	REGION_CENTIPEDE_CITY
MAP_SPAWN_POINT_12	R06_2	131.5 / -280.5	63.1	MAP_SPAWN_MACRO_06	N028	REGION_CENTIPEDE_CITY
MAP_SPAWN_POINT_13	R07_1	309 / 198.7	178.9	MAP_SPAWN_MACRO_07	N008	REGION_DRAGON_RIDGE
MAP_SPAWN_POINT_14	R07_2	334.3 / 174.5	-88	MAP_SPAWN_MACRO_07	N020	REGION_DRAGON_RIDGE
MAP_SPAWN_POINT_15	R08_1	-135.9 / 232.2	-166	MAP_SPAWN_MACRO_08	N032	REGION_BROKEN_GOLD
MAP_SPAWN_POINT_16	R08_2	-84 / 236.7	-7	MAP_SPAWN_MACRO_08	N033	REGION_BROKEN_GOLD
MAP_SPAWN_POINT_17	R09_1	132.7 / -53.2	142	MAP_SPAWN_MACRO_09	N061	REGION_BURNING_WATER
MAP_SPAWN_POINT_18	R09_2	140.1 / -76	-101.4	MAP_SPAWN_MACRO_09	N063	REGION_CENTIPEDE_CITY
MAP_SPAWN_POINT_19	R10_1	-363.1 / -1.2	86.6	MAP_SPAWN_MACRO_10	N000	REGION_SPIDER_GORGE
MAP_SPAWN_POINT_20	R10_2	-333.4 / -32.3	3.3	MAP_SPAWN_MACRO_10	N011	REGION_SPIDER_GORGE
MAP_SPAWN_POINT_21	R11_1	336.1 / 54.6	89.7	MAP_SPAWN_MACRO_11	N009	REGION_BURNING_WATER
MAP_SPAWN_POINT_22	R11_2	316.3 / 10.7	-135.6	MAP_SPAWN_MACRO_11	N019	REGION_BURNING_WATER
MAP_SPAWN_POINT_23	R12_1	-30.5 / -54.2	145.9	MAP_SPAWN_MACRO_12	N057	REGION_LOST_SOUL_FIELD
MAP_SPAWN_POINT_24	R12_2	10.3 / -52.3	31.9	MAP_SPAWN_MACRO_12	N058	REGION_CENTIPEDE_CITY
MAP_SPAWN_POINT_25	R13_1	-304.1 / -178.2	-2.7	MAP_SPAWN_MACRO_13	N022	REGION_LOST_SOUL_FIELD
MAP_SPAWN_POINT_26	R13_2	-334.4 / -153.2	102.3	MAP_SPAWN_MACRO_13	N010	REGION_LOST_SOUL_FIELD
