宏区ID	标签	微点ID
MAP_SHOP_MACRO_01	S01	MAP_SHOP_POINT:MAP_SHOP_POINT_01；MAP_SHOP_POINT:MAP_SHOP_POINT_02；MAP_SHOP_POINT:MAP_SHOP_POINT_03
MAP_SHOP_MACRO_02	S02	MAP_SHOP_POINT:MAP_SHOP_POINT_04；MAP_SHOP_POINT:MAP_SHOP_POINT_05；MAP_SHOP_POINT:MAP_SHOP_POINT_06
MAP_SHOP_MACRO_03	S03	MAP_SHOP_POINT:MAP_SHOP_POINT_07；MAP_SHOP_POINT:MAP_SHOP_POINT_08；MAP_SHOP_POINT:MAP_SHOP_POINT_09
MAP_SHOP_MACRO_04	S04	MAP_SHOP_POINT:MAP_SHOP_POINT_10；MAP_SHOP_POINT:MAP_SHOP_POINT_11；MAP_SHOP_POINT:MAP_SHOP_POINT_12
MAP_SHOP_MACRO_05	S05	MAP_SHOP_POINT:MAP_SHOP_POINT_13；MAP_SHOP_POINT:MAP_SHOP_POINT_14；MAP_SHOP_POINT:MAP_SHOP_POINT_15
MAP_SHOP_MACRO_06	S06	MAP_SHOP_POINT:MAP_SHOP_POINT_16；MAP_SHOP_POINT:MAP_SHOP_POINT_17；MAP_SHOP_POINT:MAP_SHOP_POINT_18
MAP_SHOP_MACRO_07	S07	MAP_SHOP_POINT:MAP_SHOP_POINT_19；MAP_SHOP_POINT:MAP_SHOP_POINT_20；MAP_SHOP_POINT:MAP_SHOP_POINT_21
MAP_SHOP_MACRO_08	S08	MAP_SHOP_POINT:MAP_SHOP_POINT_22；MAP_SHOP_POINT:MAP_SHOP_POINT_23；MAP_SHOP_POINT:MAP_SHOP_POINT_24
MAP_SHOP_MACRO_09	S09	MAP_SHOP_POINT:MAP_SHOP_POINT_25；MAP_SHOP_POINT:MAP_SHOP_POINT_26；MAP_SHOP_POINT:MAP_SHOP_POINT_27
MAP_SHOP_MACRO_10	S10	MAP_SHOP_POINT:MAP_SHOP_POINT_28；MAP_SHOP_POINT:MAP_SHOP_POINT_29；MAP_SHOP_POINT:MAP_SHOP_POINT_30
MAP_SHOP_MACRO_11	S11	MAP_SHOP_POINT:MAP_SHOP_POINT_31；MAP_SHOP_POINT:MAP_SHOP_POINT_32；MAP_SHOP_POINT:MAP_SHOP_POINT_33
MAP_SHOP_MACRO_12	S12	MAP_SHOP_POINT:MAP_SHOP_POINT_34；MAP_SHOP_POINT:MAP_SHOP_POINT_35；MAP_SHOP_POINT:MAP_SHOP_POINT_36
MAP_SHOP_MACRO_13	S13	MAP_SHOP_POINT:MAP_SHOP_POINT_37；MAP_SHOP_POINT:MAP_SHOP_POINT_38；MAP_SHOP_POINT:MAP_SHOP_POINT_39
MAP_SHOP_MACRO_14	S14	MAP_SHOP_POINT:MAP_SHOP_POINT_40；MAP_SHOP_POINT:MAP_SHOP_POINT_41；MAP_SHOP_POINT:MAP_SHOP_POINT_42
MAP_SHOP_MACRO_15	S15	MAP_SHOP_POINT:MAP_SHOP_POINT_43；MAP_SHOP_POINT:MAP_SHOP_POINT_44；MAP_SHOP_POINT:MAP_SHOP_POINT_45
MAP_SHOP_MACRO_16	S16	MAP_SHOP_POINT:MAP_SHOP_POINT_46；MAP_SHOP_POINT:MAP_SHOP_POINT_47；MAP_SHOP_POINT:MAP_SHOP_POINT_48
