微点ID	标签	坐标m	宏区	region_id
MAP_SHOP_POINT_01	S01_1	-251 / 212.7	MAP_SHOP_MACRO_01	REGION_BROKEN_GOLD
MAP_SHOP_POINT_02	S01_2	-255.2 / 203.6	MAP_SHOP_MACRO_01	REGION_SPIDER_GORGE
MAP_SHOP_POINT_03	S01_3	-255.9 / 221.4	MAP_SHOP_MACRO_01	REGION_BROKEN_GOLD
MAP_SHOP_POINT_04	S02_1	-120.5 / 177.5	MAP_SHOP_MACRO_02	REGION_BROKEN_GOLD
MAP_SHOP_POINT_05	S02_2	-124.6 / 168.4	MAP_SHOP_MACRO_02	REGION_BROKEN_GOLD
MAP_SHOP_POINT_06	S02_3	-125.4 / 186.2	MAP_SHOP_MACRO_02	REGION_BROKEN_GOLD
MAP_SHOP_POINT_07	S03_1	95.4 / 202	MAP_SHOP_MACRO_03	REGION_DRAGON_RIDGE
MAP_SHOP_POINT_08	S03_2	91.2 / 192.9	MAP_SHOP_MACRO_03	REGION_DRAGON_RIDGE
MAP_SHOP_POINT_09	S03_3	90.5 / 210.7	MAP_SHOP_MACRO_03	REGION_DRAGON_RIDGE
MAP_SHOP_POINT_10	S04_1	345.9 / 140.2	MAP_SHOP_MACRO_04	REGION_DRAGON_RIDGE
MAP_SHOP_POINT_11	S04_2	341.8 / 131.1	MAP_SHOP_MACRO_04	REGION_DRAGON_RIDGE
MAP_SHOP_POINT_12	S04_3	341 / 148.9	MAP_SHOP_MACRO_04	REGION_DRAGON_RIDGE
MAP_SHOP_POINT_13	S05_1	-275 / 6.9	MAP_SHOP_MACRO_05	REGION_SPIDER_GORGE
MAP_SHOP_POINT_14	S05_2	-279.2 / -2.2	MAP_SHOP_MACRO_05	REGION_SPIDER_GORGE
MAP_SHOP_POINT_15	S05_3	-279.9 / 15.6	MAP_SHOP_MACRO_05	REGION_SPIDER_GORGE
MAP_SHOP_POINT_16	S06_1	-123.1 / -57	MAP_SHOP_MACRO_06	REGION_SPIDER_GORGE
MAP_SHOP_POINT_17	S06_2	-127.3 / -66.1	MAP_SHOP_MACRO_06	REGION_SPIDER_GORGE
MAP_SHOP_POINT_18	S06_3	-128 / -48.3	MAP_SHOP_MACRO_06	REGION_SPIDER_GORGE
MAP_SHOP_POINT_19	S07_1	231.3 / -57	MAP_SHOP_MACRO_07	REGION_BURNING_WATER
MAP_SHOP_POINT_20	S07_2	227.2 / -66.1	MAP_SHOP_MACRO_07	REGION_BURNING_WATER
MAP_SHOP_POINT_21	S07_3	226.4 / -48.3	MAP_SHOP_MACRO_07	REGION_BURNING_WATER
MAP_SHOP_POINT_22	S08_1	313.9 / -110.3	MAP_SHOP_MACRO_08	REGION_BURNING_WATER
