槽ID	源标签	类型	圈层	巢穴	主坐标	3迁移位	region_id
MAP_MONSTER_SLOT_001	MEL000	MEL	OUTER	MAP_NEST_032	-350.7 / 207.9	-322.6 / 192.5；-386.7 / 186.2；-351.4 / 259.9	REGION_SPIDER_GORGE
MAP_MONSTER_SLOT_002	MEL001	MEL	OUTER	MAP_NEST_033	339.5 / -191.9	367.6 / -207.2；303.5 / -213.5；338.9 / -139.9	REGION_BURNING_WATER
MAP_MONSTER_SLOT_003	MEL002	MEL	OUTER	MAP_NEST_034	-150.8 / -234.5	-122.7 / -249.9；-186.8 / -256.2；-151.5 / -182.5	REGION_LOST_SOUL_FIELD
MAP_MONSTER_SLOT_004	MEL003	MEL	MIDDLE	MAP_NEST_035	97 / 154.6	125.1 / 139.2；61 / 132.9；96.4 / 206.6	REGION_DRAGON_RIDGE
MAP_MONSTER_SLOT_005	MEL004	MEL	MIDDLE	MAP_NEST_036	-153.5 / 24	-125.4 / 8.6；-189.5 / 2.3；-154.1 / 76	REGION_SPIDER_GORGE
MAP_MONSTER_SLOT_006	MEL005	MEL	OUTER	MAP_NEST_037	115.7 / -303.8	143.8 / -319.2；79.7 / -325.4；115 / -251.8	REGION_CENTIPEDE_CITY
MAP_MONSTER_SLOT_007	MEL006	MEL	OUTER	MAP_NEST_038	336.9 / 202.5	364.9 / 187.2；300.9 / 180.9；336.2 / 254.6	REGION_DRAGON_RIDGE
MAP_MONSTER_SLOT_008	MEL007	MEL	OUTER	MAP_NEST_039	-110.9 / 245.2	-82.8 / 229.8；-146.8 / 223.5；-111.5 / 297.2	REGION_BROKEN_GOLD
MAP_MONSTER_SLOT_009	MEL008	MEL	MIDDLE	MAP_NEST_040	150.3 / -58.6	178.4 / -74；114.3 / -80.3；149.7 / -6.6	REGION_BURNING_WATER
MAP_MONSTER_SLOT_010	MEL009	MEL	OUTER	MAP_NEST_041	-361.4 / -29.3	-333.3 / -44.7；-397.4 / -51；-362 / 22.7	REGION_SPIDER_GORGE
MAP_MONSTER_SLOT_011	MEL010	MEL	OUTER	MAP_NEST_042	339.5 / 26.7	367.6 / 11.3；303.5 / 5；338.9 / 78.7	REGION_BURNING_WATER
MAP_MONSTER_SLOT_012	MEL011	MEL	INNER	MAP_NEST_043	-12.3 / -58.6	15.8 / -74；-48.2 / -80.3；-12.9 / -6.6	REGION_LOST_SOUL_FIELD
MAP_MONSTER_SLOT_013	MEL012	MEL	OUTER	MAP_NEST_044	-332.1 / -181.2	-304 / -196.6；-368 / -202.9；-332.7 / -129.2	REGION_LOST_SOUL_FIELD
MAP_MONSTER_SLOT_014	MEL013	MEL	MIDDLE	MAP_NEST_045	211.6 / 72	239.7 / 56.6；175.6 / 50.3；211 / 124	REGION_BURNING_WATER
MAP_MONSTER_SLOT_015	MEL014	MEL	OUTER	MAP_NEST_046	-212.1 / 159.9	-184 / 144.5；-248.1 / 138.3；-212.8 / 211.9	REGION_SPIDER_GORGE
MAP_MONSTER_SLOT_016	MEL015	MEL	MIDDLE	MAP_NEST_047	65 / -186.6	93.1 / -201.9；29 / -208.2；64.4 / -134.5	REGION_CENTIPEDE_CITY
MAP_MONSTER_SLOT_017	MEL016	MEL	INNER	MAP_NEST_048	-16.1 / 105.6	12 / 90.3；-52.1 / 84；-16.7 / 157.7	REGION_BROKEN_GOLD
MAP_MONSTER_SLOT_018	MEL017	MEL	MIDDLE	MAP_NEST_049	-105.5 / -127.9	-77.4 / -143.3；-141.5 / -149.6；-106.2 / -75.9	REGION_LOST_SOUL_FIELD
MAP_MONSTER_SLOT_019	MEL018	MEL	OUTER	MAP_NEST_050	-254.8 / -69.3	-226.7 / -84.6；-290.8 / -90.9；-255.4 / -17.3	REGION_SPIDER_GORGE
MAP_MONSTER_SLOT_020	MEL019	MEL	OUTER	MAP_NEST_051	320.9 / -85.3	349 / -100.6；284.9 / -106.9；320.2 / -33.3	REGION_BURNING_WATER
MAP_MONSTER_SLOT_021	MEL020	MEL	OUTER	MAP_NEST_052	-316.1 / 58.6	-288 / 43.3；-352 / 37；-316.7 / 110.7	REGION_SPIDER_GORGE
MAP_MONSTER_SLOT_022	MEL021	MEL	MIDDLE	MAP_NEST_053	203.6 / -138.6	231.7 / -153.9；167.6 / -160.2；203 / -86.6	REGION_CENTIPEDE_CITY
MAP_MONSTER_SLOT_023	MEL022	MEL	INNER	MAP_NEST_054	33 / 26.7	61.1 / 11.3；-2.9 / 5；32.4 / 78.7	REGION_DRAGON_RIDGE
MAP_MONSTER_SLOT_024	MEL023	MEL	OUTER	MAP_NEST_055	246.2 / 199.9	274.3 / 184.5；210.3 / 178.2；245.6 / 251.9	REGION_DRAGON_RIDGE
MAP_MONSTER_SLOT_025	MEL024	MEL	OUTER	MAP_NEST_056	-241.4 / -181.2	-213.4 / -196.6；-277.4 / -202.9；-242.1 / -129.2	REGION_LOST_SOUL_FIELD
MAP_MONSTER_SLOT_026	MEL025	MEL	OUTER	MAP_NEST_057	-110.9 / -314.5	-82.8 / -329.8；-146.8 / -336.1；-111.5 / -262.4	REGION_LOST_SOUL_FIELD
MAP_MONSTER_SLOT_027	MEL026	MEL	MIDDLE	MAP_NEST_058	134.3 / 26.7	162.4 / 11.3；98.3 / 5；133.7 / 78.7	REGION_BURNING_WATER
MAP_MONSTER_SLOT_028	MEL027	MEL	MIDDLE	MAP_NEST_059	-110.9 / 159.9	-82.8 / 144.5；-146.8 / 138.3；-111.5 / 211.9	REGION_BROKEN_GOLD
MAP_MONSTER_SLOT_029	MEL028	MEL	MIDDLE	MAP_NEST_060	-217.5 / 74.6	-189.4 / 59.3；-253.4 / 53；-218.1 / 126.6	REGION_SPIDER_GORGE
