巢穴ID	标签	类型	圈层	坐标	槽	起步区
MAP_NEST_001	MEL_中_017	MEL	中	-123.1 / -57	MEL040	否
MAP_NEST_002	MEL_中_018	MEL	中	-158.8 / 111.9	MEL041 / MEL042 / MEL043	否
MAP_NEST_003	MEL_中_019	MEL	中	-230.8 / 111.9	MEL044 / MEL045 / MEL046	否
MAP_NEST_004	MEL_中_020	MEL	中	-230.8 / 24	MEL047	否
MAP_NEST_005	MEL_内_021	MEL	内	-54.9 / -21.3	MEL048 / MEL049	否
MAP_NEST_006	MEL_内_022	MEL	内	75.7 / -21.3	MEL050 / MEL051 / MEL052	否
MAP_NEST_007	MEL_内_023	MEL	内	-18.9 / 42.6	MEL053 / MEL054	否
MAP_NEST_008	MEL_内_024	MEL	内	75.7 / 34.6	MEL055 / MEL056 / MEL057	否
MAP_NEST_009	RNG_外_025	RNG	外	304.9 / 154.6	RNG000 / RNG001	否
MAP_NEST_010	RNG_外_026	RNG	外	216.9 / 177.2	RNG002 / RNG003 / RNG004	否
MAP_NEST_011	RNG_外_027	RNG	外	235.6 / -165.2	RNG005 / RNG006 / RNG007	否
MAP_NEST_012	RNG_外_028	RNG	外	274.2 / 34	RNG008 / RNG009 / RNG010	否
MAP_NEST_013	RNG_外_029	RNG	外	-256.1 / 68	RNG011 / RNG012 / RNG013	否
MAP_NEST_014	RNG_外_030	RNG	外	345.9 / 140.2	RNG014 / RNG015	否
MAP_NEST_015	RNG_外_031	RNG	外	255.6 / 144.5	RNG016 / RNG017	否
MAP_NEST_016	RNG_外_032	RNG	外	248.9 / 143.9	RNG018 / RNG019	否
MAP_NEST_017	RNG_中_033	RNG	中	-77.6 / -157.2	RNG020 / RNG021 / RNG022	否
MAP_NEST_018	RNG_中_034	RNG	中	-100.2 / -165.2	RNG023 / RNG024 / RNG025	否
MAP_NEST_019	RNG_中_035	RNG	中	130.3 / -14.7	RNG026 / RNG027 / RNG028	否
MAP_NEST_020	RNG_中_036	RNG	中	235.6 / -21.3	RNG029 / RNG030 / RNG031	否
MAP_NEST_021	RNG_内_037	RNG	内	-49.6 / -119.9	RNG032 / RNG033 / RNG034	否
MAP_NEST_022	RNG_内_038	RNG	内	75.7 / 34.6	RNG035 / RNG036 / RNG037	否
MAP_NEST_023	FLY_中_039	FLY	中	2.4 / 211.9	FLY000	否
MAP_NEST_024	FLY_中_040	FLY	中	-161.5 / 159.9	FLY001	否
MAP_NEST_025	FLY_中_041	FLY	中	-123.1 / -57	FLY002 / FLY003	否
MAP_NEST_026	FLY_中_042	FLY	中	122.3 / -97.3	FLY004 / FLY005	否
MAP_NEST_027	FLY_中_043	FLY	中	-110.9 / 202.5	FLY006	否
MAP_NEST_028	FLY_中_044	FLY	中	-49.6 / -133.2	FLY007	否
MAP_NEST_029	FLY_外_045	FLY	外	-281.4 / -29.3	FLY008	否
MAP_NEST_030	FLY_外_046	FLY	外	302.2 / -53.3	FLY009 / FLY010	否
MAP_NEST_031	FLY_外_047	FLY	外	-275 / 6.9	FLY011	否
MAP_NEST_032	START_R01	MEL	外	-350.7 / 207.9	MEL000	R01
MAP_NEST_033	START_R02	MEL	外	339.5 / -191.9	MEL001	R02
MAP_NEST_034	START_R03	MEL	外	-150.8 / -234.5	MEL002	R03
MAP_NEST_035	START_R04	MEL	中	97 / 154.6	MEL003	R04
MAP_NEST_036	START_R05	MEL	中	-153.5 / 24	MEL004	R05
MAP_NEST_037	START_R06	MEL	外	115.7 / -303.8	MEL005	R06
MAP_NEST_038	START_R07	MEL	外	336.9 / 202.5	MEL006	R07
MAP_NEST_039	START_R08	MEL	外	-110.9 / 245.2	MEL007	R08
MAP_NEST_040	START_R09	MEL	中	150.3 / -58.6	MEL008	R09
MAP_NEST_041	START_R10	MEL	外	-361.4 / -29.3	MEL009	R10
MAP_NEST_042	START_R11	MEL	外	339.5 / 26.7	MEL010	R11
MAP_NEST_043	START_R12	MEL	内	-12.3 / -58.6	MEL011	R12
MAP_NEST_044	START_R13	MEL	外	-332.1 / -181.2	MEL012	R13
MAP_NEST_045	START_R14	MEL	中	211.6 / 72	MEL013	R14
MAP_NEST_046	START_R15	MEL	外	-212.1 / 159.9	MEL014	R15
MAP_NEST_047	START_R16	MEL	中	65 / -186.6	MEL015	R16
MAP_NEST_048	START_R17	MEL	内	-16.1 / 105.6	MEL016	R17
MAP_NEST_049	START_R18	MEL	中	-105.5 / -127.9	MEL017	R18
MAP_NEST_050	START_R19	MEL	外	-254.8 / -69.3	MEL018	R19
MAP_NEST_051	START_R20	MEL	外	320.9 / -85.3	MEL019	R20
MAP_NEST_052	START_R21	MEL	外	-316.1 / 58.6	MEL020	R21
MAP_NEST_053	START_R22	MEL	中	203.6 / -138.6	MEL021	R22
MAP_NEST_054	START_R23	MEL	内	33 / 26.7	MEL022	R23
MAP_NEST_055	START_R24	MEL	外	246.2 / 199.9	MEL023	R24
MAP_NEST_056	START_R25	MEL	外	-241.4 / -181.2	MEL024	R25
MAP_NEST_057	START_R26	MEL	外	-110.9 / -314.5	MEL025	R26
MAP_NEST_058	START_R27	MEL	中	134.3 / 26.7	MEL026	R27
MAP_NEST_059	START_R28	MEL	中	-110.9 / 159.9	MEL027	R28
MAP_NEST_060	START_R29	MEL	中	-217.5 / 74.6	MEL028	R29
MAP_NEST_061	START_R30	MEL	中	-49.6 / -186.6	MEL029	R30
MAP_NEST_062	START_R31	MEL	中	-188.1 / -127.9	MEL030	R31
MAP_NEST_063	START_R32	MEL	中	187.6 / 154.6	MEL031	R32
MAP_NEST_064	START_R33	MEL	外	283.6 / -21.3	MEL032	R33
MAP_NEST_065	START_R34	MEL	内	-70.9 / 58.6	MEL033	R34
MAP_NEST_066	START_R35	MEL	外	267.6 / -191.9	MEL034	R35
MAP_NEST_067	START_R36	MEL	中	118.3 / -138.6	MEL035	R36
MAP_NEST_068	START_R37	MEL	中	235.6 / -74.6	MEL036	R37
MAP_NEST_069	START_R38	MEL	外	272.9 / 106.6	MEL037	R38
MAP_NEST_070	START_R39	MEL	内	-100.2 / -21.3	MEL038	R39
MAP_NEST_071	START_R40	MEL	中	-44.2 / 231.9	MEL039	R40
