猪窝ID	入口	初始	袋底	宽	长	逃跑路径	region_id
MAP_PIG_DEN_01	-350.7 / 207.9	-334.9 / 203.2	-305.4 / 194.5	5	47.2	MAP_NODE:N000；MAP_NODE:N064	REGION_SPIDER_GORGE
MAP_PIG_DEN_02	-217.5 / 74.6	-207.2 / 65.3	-188.1 / 48	5	39.6	MAP_NODE:N048；MAP_NODE:N065	REGION_SPIDER_GORGE
MAP_PIG_DEN_03	-44.2 / 231.9	-46.1 / 223.5	-49.6 / 207.9	5	24.6	MAP_NODE:N033；MAP_NODE:N066	REGION_BROKEN_GOLD
MAP_PIG_DEN_04	272.9 / 106.6	264.5 / 119.7	248.9 / 143.9	5	44.4	MAP_NODE:N042；MAP_NODE:N067	REGION_DRAGON_RIDGE
MAP_PIG_DEN_05	283.6 / -21.3	296.6 / -26.9	320.9 / -37.3	5	40.6	MAP_NODE:N019；MAP_NODE:N068	REGION_BURNING_WATER
MAP_PIG_DEN_06	-332.1 / -181.2	-321.8 / -185.9	-302.7 / -194.5	5	32.2	MAP_NODE:N021；MAP_NODE:N069	REGION_LOST_SOUL_FIELD
MAP_PIG_DEN_07	-150.8 / -234.5	-149 / -245.7	-145.5 / -266.5	5	32.4	MAP_NODE:N044；MAP_NODE:N070	REGION_LOST_SOUL_FIELD
MAP_PIG_DEN_08	115.7 / -303.8	119.4 / -287	126.3 / -255.8	5	49.1	MAP_NODE:N047；MAP_NODE:N071	REGION_CENTIPEDE_CITY
MAP_PIG_DEN_09	267.6 / -191.9	279.7 / -197.5	302.2 / -207.9	5	38.2	MAP_NODE:N029；MAP_NODE:N072	REGION_CENTIPEDE_CITY
MAP_PIG_DEN_10	-316.1 / 58.6	-329.1 / 58.6	-353.4 / 58.6	5	37.3	MAP_NODE:N038；MAP_NODE:N073	REGION_SPIDER_GORGE
MAP_PIG_DEN_11	339.5 / 26.7	349.8 / 41.6	368.8 / 69.3	5	51.7	MAP_NODE:N020；MAP_NODE:N074	REGION_BURNING_WATER
MAP_PIG_DEN_12	65 / -274.5	60.4 / -287.6	51.7 / -311.8	5	39.6	MAP_NODE:N046；MAP_NODE:N075	REGION_CENTIPEDE_CITY
