伏石ID	标签	坐标	半径	region_id
MAP_FUSHI_CANDIDATE_01	H01	-286.8 / 194.5	2	REGION_SPIDER_GORGE
MAP_FUSHI_CANDIDATE_02	H02	-169.5 / 48	2	REGION_SPIDER_GORGE
MAP_FUSHI_CANDIDATE_03	H03	-30.9 / 207.9	2	REGION_BROKEN_GOLD
MAP_FUSHI_CANDIDATE_04	H04	267.6 / 143.9	2	REGION_DRAGON_RIDGE
MAP_FUSHI_CANDIDATE_05	H05	302.2 / -37.3	2	REGION_BURNING_WATER
MAP_FUSHI_CANDIDATE_06	H06	-284.1 / -194.5	2	REGION_LOST_SOUL_FIELD
MAP_FUSHI_CANDIDATE_07	H07	-126.9 / -261.2	2	REGION_LOST_SOUL_FIELD
MAP_FUSHI_CANDIDATE_08	H08	145 / -255.8	2	REGION_CENTIPEDE_CITY
MAP_FUSHI_CANDIDATE_09	H09	283.6 / -207.9	2	REGION_CENTIPEDE_CITY
MAP_FUSHI_CANDIDATE_10	H10	-334.7 / 58.6	2	REGION_SPIDER_GORGE
MAP_FUSHI_CANDIDATE_11	H11	350.2 / 69.3	2	REGION_BURNING_WATER
MAP_FUSHI_CANDIDATE_12	H12	51.7 / -293.2	2	REGION_CENTIPEDE_CITY
MAP_FUSHI_CANDIDATE_13	H13	-44.2 / 111.9	2	REGION_BROKEN_GOLD
MAP_FUSHI_CANDIDATE_14	H14	142.3 / 143.9	2	REGION_DRAGON_RIDGE
MAP_FUSHI_CANDIDATE_15	H15	42.6 / -29.8	2	REGION_CENTIPEDE_CITY
MAP_FUSHI_CANDIDATE_16	H16	178 / -147.1	2	REGION_CENTIPEDE_CITY
MAP_FUSHI_CANDIDATE_17	H17	-234.5 / 181.2	2	REGION_SPIDER_GORGE
MAP_FUSHI_CANDIDATE_18	H18	-146.6 / 143.9	2	REGION_BROKEN_GOLD
MAP_FUSHI_CANDIDATE_19	H19	74.6 / 64	2	REGION_DRAGON_RIDGE
MAP_FUSHI_CANDIDATE_20	H20	274.5 / 58.6	2	REGION_BURNING_WATER
MAP_FUSHI_CANDIDATE_21	H21	-224.4 / -53.3	2	REGION_SPIDER_GORGE
MAP_FUSHI_CANDIDATE_22	H22	-133.2 / -80	2	REGION_LOST_SOUL_FIELD
MAP_FUSHI_CANDIDATE_23	H23	93.3 / -85.3	2	REGION_CENTIPEDE_CITY
MAP_FUSHI_CANDIDATE_24	H24	231.3 / -114.6	2	REGION_CENTIPEDE_CITY
