宝箱点ID	坐标	region_id
MAP_CHEST_POINT_001	-375 / 298.8	REGION_SPIDER_GORGE
MAP_CHEST_POINT_002	-375 / 253.8	REGION_SPIDER_GORGE
MAP_CHEST_POINT_003	-375 / 208.8	REGION_SPIDER_GORGE
MAP_CHEST_POINT_004	-375 / 163.8	REGION_SPIDER_GORGE
MAP_CHEST_POINT_005	-375 / 118.8	REGION_SPIDER_GORGE
MAP_CHEST_POINT_006	-375 / 73.8	REGION_SPIDER_GORGE
MAP_CHEST_POINT_007	-375 / 28.8	REGION_SPIDER_GORGE
MAP_CHEST_POINT_008	-375 / -16.2	REGION_SPIDER_GORGE
MAP_CHEST_POINT_009	-375 / -61.2	REGION_SPIDER_GORGE
MAP_CHEST_POINT_010	-375 / -106.2	REGION_SPIDER_GORGE
MAP_CHEST_POINT_011	-375 / -151.2	REGION_SPIDER_GORGE
MAP_CHEST_POINT_012	-375 / -196.2	REGION_LOST_SOUL_FIELD
MAP_CHEST_POINT_013	-330 / 298.8	REGION_SPIDER_GORGE
MAP_CHEST_POINT_014	-330 / 208.8	REGION_SPIDER_GORGE
MAP_CHEST_POINT_015	-330 / 73.8	REGION_SPIDER_GORGE
MAP_CHEST_POINT_016	-330 / 28.8	REGION_SPIDER_GORGE
MAP_CHEST_POINT_017	-330 / -61.2	REGION_SPIDER_GORGE
MAP_CHEST_POINT_018	-330 / -151.2	REGION_LOST_SOUL_FIELD
MAP_CHEST_POINT_019	-330 / -196.2	REGION_LOST_SOUL_FIELD
MAP_CHEST_POINT_020	-330 / -241.2	REGION_LOST_SOUL_FIELD
MAP_CHEST_POINT_021	-285 / 298.8	REGION_BROKEN_GOLD
MAP_CHEST_POINT_022	-285 / 208.8	REGION_SPIDER_GORGE
MAP_CHEST_POINT_023	-285 / 163.8	REGION_SPIDER_GORGE
MAP_CHEST_POINT_024	-285 / 118.8	REGION_SPIDER_GORGE
MAP_CHEST_POINT_025	-285 / 73.8	REGION_SPIDER_GORGE
MAP_CHEST_POINT_026	-285 / -61.2	REGION_SPIDER_GORGE
MAP_CHEST_POINT_027	-285 / -241.2	REGION_LOST_SOUL_FIELD
MAP_CHEST_POINT_028	-285 / -286.2	REGION_LOST_SOUL_FIELD
MAP_CHEST_POINT_029	-240 / 298.8	REGION_BROKEN_GOLD
MAP_CHEST_POINT_030	-240 / 163.8	REGION_SPIDER_GORGE
MAP_CHEST_POINT_031	-240 / 118.8	REGION_SPIDER_GORGE
MAP_CHEST_POINT_032	-240 / 73.8	REGION_SPIDER_GORGE
MAP_CHEST_POINT_033	-240 / 28.8	REGION_SPIDER_GORGE
MAP_CHEST_POINT_034	-240 / -16.2	REGION_SPIDER_GORGE
MAP_CHEST_POINT_035	-240 / -61.2	REGION_SPIDER_GORGE
MAP_CHEST_POINT_036	-240 / -106.2	REGION_SPIDER_GORGE
MAP_CHEST_POINT_037	-240 / -196.2	REGION_LOST_SOUL_FIELD
MAP_CHEST_POINT_038	-240 / -241.2	REGION_LOST_SOUL_FIELD
MAP_CHEST_POINT_039	-240 / -286.2	REGION_LOST_SOUL_FIELD
MAP_CHEST_POINT_040	-240 / -331.2	REGION_LOST_SOUL_FIELD
MAP_CHEST_POINT_041	-195 / 298.8	REGION_BROKEN_GOLD
MAP_CHEST_POINT_042	-195 / 208.8	REGION_BROKEN_GOLD
MAP_CHEST_POINT_043	-195 / 163.8	REGION_BROKEN_GOLD
MAP_CHEST_POINT_044	-195 / 28.8	REGION_SPIDER_GORGE
MAP_CHEST_POINT_045	-195 / -106.2	REGION_LOST_SOUL_FIELD
MAP_CHEST_POINT_046	-195 / -151.2	REGION_LOST_SOUL_FIELD
MAP_CHEST_POINT_047	-195 / -286.2	REGION_LOST_SOUL_FIELD
MAP_CHEST_POINT_048	-195 / -331.2	REGION_LOST_SOUL_FIELD
MAP_CHEST_POINT_049	-150 / 298.8	REGION_BROKEN_GOLD
MAP_CHEST_POINT_050	-150 / 208.8	REGION_BROKEN_GOLD
MAP_CHEST_POINT_051	-150 / 163.8	REGION_BROKEN_GOLD
MAP_CHEST_POINT_052	-150 / 118.8	REGION_BROKEN_GOLD
MAP_CHEST_POINT_053	-150 / 73.8	REGION_SPIDER_GORGE
MAP_CHEST_POINT_054	-150 / 28.8	REGION_SPIDER_GORGE
MAP_CHEST_POINT_055	-150 / -106.2	REGION_LOST_SOUL_FIELD
