active_id	runtime_payload_json
H001	"{""effect_type"":{""type"":""ENUM"",""value"":""WIND_WALL""},""targeting"":{""type"":""ENUM"",""value"":""DIRECTION""},""cast_type"":{""type"":""ENUM"",""value"":""INSTANT""},""range_m"":{""type"":""INT64"",""value"":15,""unit"":""m""},""shape"":{""type"":""ENUM"",""value"":""LINE_WALL""},""radius_m"":{""type"":""INT64"",""value"":0,""unit"":""m""},""width_m"":{""type"":""INT64"",""value"":12,""unit"":""m""},""duration_s"":{""type"":""INT64"",""value"":3,""unit"":""s""},""length_m"":{""type"":""INT64"",""value"":12,""unit"":""m""},""knockback_m"":{""type"":""INT64"",""value"":5,""unit"":""m""},""solid"":{""type"":""BOOL"",""value"":false},""blocks_projectile_tag"":{""type"":""ENUM"",""value"":""BLOCKABLE_BY_WIND_WALL""},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""018287f28dd6d30f5c433bd53a332248dfb30354ddafcd1917884afda4c64436""}}"
H002	"{""effect_type"":{""type"":""ENUM"",""value"":""FIRE_WALL""},""targeting"":{""type"":""ENUM"",""value"":""DIRECTION""},""cast_type"":{""type"":""ENUM"",""value"":""INSTANT""},""range_m"":{""type"":""INT64"",""value"":15,""unit"":""m""},""shape"":{""type"":""ENUM"",""value"":""LINE_WALL""},""radius_m"":{""type"":""INT64"",""value"":0,""unit"":""m""},""width_m"":{""type"":""INT64"",""value"":15,""unit"":""m""},""duration_s"":{""type"":""INT64"",""value"":5,""unit"":""s""},""length_m"":{""type"":""INT64"",""value"":15,""unit"":""m""},""thickness_m"":{""type"":""INT64"",""value"":1,""unit"":""m""},""source_faction"":{""type"":""ENUM"",""value"":""PLAYER_OWNED""},""element_rule"":{""type"":""ENUM"",""value"":""OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT""},""owner_credit"":{""type"":""ENUM"",""value"":""CASTER""},""damage_events"":{""type"":""ARRAY"",""element"":""DamageEventSpec"",""ordered"":true,""value"":[{""event_id"":{""type"":""ENUM"",""value"":""CROSS""},""damage"":{""type"":""FORMULA"",""src"":""fixed=100"",""ast"":{""q4"":1000000}},""attack_coef"":{""type"":""Q4"",""value_scaled_1e4"":4000,""human"":""0.4"",""unit"":""ratio""},""damage_form"":{""type"":""ENUM"",""value"":""SKILL""},""hit_kind"":{""type"":""ENUM"",""value"":""ABILITY""},""element_rule"":{""type"":""ENUM"",""value"":""OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT""},""source_faction"":{""type"":""ENUM"",""value"":""PLAYER_OWNED""},""owner_credit"":{""type"":""ENUM"",""value"":""CASTER""},""trigger"":{""type"":""ENUM"",""value"":""FULL_OUTSIDE_TO_INSIDE_OR_INSIDE_TO_OUTSIDE""},""reentry_lock_per_target_s"":{""type"":""Q4"",""value_scaled_1e4"":5000,""human"":""0.5"",""unit"":""s""},""standing_overlap_does_not_retrigger"":{""type"":""BOOL"",""value"":true}},{""event_id"":{""type"":""ENUM"",""value"":""BURN""},""damage_per_s"":{""type"":""INT64"",""value"":30,""unit"":""hp/s""},""duration_s"":{""type"":""INT64"",""value"":3,""unit"":""s""},""refresh"":{""type"":""BOOL"",""value"":true},""damage_form"":{""type"":""ENUM"",""value"":""DOT""},""hit_kind"":{""type"":""ENUM"",""value"":""PERIODIC""},""element_rule"":{""type"":""ENUM"",""value"":""OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT""},""source_faction"":{""type"":""ENUM"",""value"":""PLAYER_OWNED""},""owner_credit"":{""type"":""ENUM"",""value"":""CASTER""},""trigger"":{""type"":""ENUM"",""value"":""APPLIED_ON_CROSS_COMMIT""}}]},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""b17b462c6a11cc5f17580ad7147bb6ca4bf310a4cf7473220e8a5360aa949c9b""}}"
H003	"{""effect_type"":{""type"":""ENUM"",""value"":""DAMAGE_SLOW_ZONE""},""targeting"":{""type"":""ENUM"",""value"":""GROUND_POINT""},""cast_type"":{""type"":""ENUM"",""value"":""INSTANT""},""range_m"":{""type"":""INT64"",""value"":30,""unit"":""m""},""shape"":{""type"":""ENUM"",""value"":""CIRCLE""},""radius_m"":{""type"":""INT64"",""value"":8,""unit"":""m""},""width_m"":{""type"":""INT64"",""value"":0,""unit"":""m""},""duration_s"":{""type"":""INT64"",""value"":4,""unit"":""s""},""tick_s"":{""type"":""INT64"",""value"":1,""unit"":""s""},""damage"":{""type"":""FORMULA"",""src"":""fixed=40"",""ast"":{""q4"":400000}},""attack_coef"":{""type"":""Q4"",""value_scaled_1e4"":2000,""human"":""0.2"",""unit"":""ratio""},""slow_percent"":{""type"":""INT64"",""value"":25,""unit"":""pct""},""damage_form"":{""type"":""ENUM"",""value"":""SKILL""},""source_faction"":{""type"":""ENUM"",""value"":""PLAYER_OWNED""},""element_rule"":{""type"":""ENUM"",""value"":""OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT""},""hit_kind"":{""type"":""ENUM"",""value"":""PERIODIC""},""owner_credit"":{""type"":""ENUM"",""value"":""CASTER""},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""4299cb8041ab1a1fe32dbc31cddf8fce1ffb463192a4761130b8b293f56675df""}}"
H004	"{""effect_type"":{""type"":""ENUM"",""value"":""CONDITIONAL_POISON_DETONATE""},""targeting"":{""type"":""ENUM"",""value"":""VISIBLE_ENEMY""},""cast_type"":{""type"":""ENUM"",""value"":""INSTANT""},""range_m"":{""type"":""INT64"",""value"":20,""unit"":""m""},""shape"":{""type"":""ENUM"",""value"":""NONE""},""radius_m"":{""type"":""INT64"",""value"":0,""unit"":""m""},""width_m"":{""type"":""INT64"",""value"":0,""unit"":""m""},""duration_s"":{""type"":""INT64"",""value"":4,""unit"":""s""},""max_count"":{""type"":""INT64"",""value"":10,""unit"":""scalar""},""stack_scope"":{""type"":""ENUM"",""value"":""CASTER_OWNED_DOT_AND_TOXIN_ONLY""},""when_no_owned_dot_add_stacks"":{""type"":""INT64"",""value"":3,""unit"":""scalar""},""when_owned_dot_consume_all_owned_dot_and_toxin_stacks"":{""type"":""BOOL"",""value"":true},""other_owner_stacks_unchanged"":{""type"":""BOOL"",""value"":true},""damage_events"":{""type"":""ARRAY"",""element"":""DamageEventSpec"",""ordered"":true,""value"":[{""event_id"":{""type"":""ENUM"",""value"":""STACK_DOT""},""damage_per_stack_per_s"":{""type"":""INT64"",""value"":5,""unit"":""hp/s""},""duration_s"":{""type"":""INT64"",""value"":4,""unit"":""s""},""damage_form"":{""type"":""ENUM"",""value"":""DOT""},""hit_kind"":{""type"":""ENUM"",""value"":""PERIODIC""},""element_rule"":{""type"":""ENUM"",""value"":""OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT""},""source_faction"":{""type"":""ENUM"",""value"":""PLAYER_OWNED""},""owner_credit"":{""type"":""ENUM"",""value"":""CASTER""},""trigger"":{""type"":""ENUM"",""value"":""WHEN_NO_OWNED_DOT_STACKS_APPLIED""}},{""event_id"":{""type"":""ENUM"",""value"":""DETONATION""},""damage_target_max_hp_percent_per_stack"":{""type"":""INT64"",""value"":3,""unit"":""hp""},""damage_form"":{""type"":""ENUM"",""value"":""PERCENT""},""hit_kind"":{""type"":""ENUM"",""value"":""ABILITY""},""element_rule"":{""type"":""ENUM"",""value"":""OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT""},""source_faction"":{""type"":""ENUM"",""value"":""PLAYER_OWNED""},""owner_credit"":{""type"":""ENUM"",""value"":""CASTER""},""trigger"":{""type"":""ENUM"",""value"":""WHEN_OWNED_DOT_CONSUME_ALL_STACKS""}}]},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""4c0ffbc7b787854156cd4c4a37901eec1888d6374984e660d1eac8547b30a06f""}}"
H005	"{""effect_type"":{""type"":""ENUM"",""value"":""PETRIFY_TARGET""},""targeting"":{""type"":""ENUM"",""value"":""VISIBLE_ENEMY""},""cast_type"":{""type"":""ENUM"",""value"":""INSTANT""},""range_m"":{""type"":""INT64"",""value"":20,""unit"":""m""},""shape"":{""type"":""ENUM"",""value"":""NONE""},""radius_m"":{""type"":""INT64"",""value"":0,""unit"":""m""},""width_m"":{""type"":""INT64"",""value"":0,""unit"":""m""},""duration_s"":{""type"":""Q4"",""value_scaled_1e4"":15000,""human"":""1.5"",""unit"":""s""},""target_invulnerable"":{""type"":""BOOL"",""value"":true},""target_cannot_act"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""90700a6db2699b4caf735b59bbb82319f1c2cd742351917f325d254c8d7187b2""}}"
H006	"{""effect_type"":{""type"":""ENUM"",""value"":""CONTAGIOUS_DAMAGE_ZONE""},""targeting"":{""type"":""ENUM"",""value"":""GROUND_POINT""},""cast_type"":{""type"":""ENUM"",""value"":""INSTANT""},""range_m"":{""type"":""INT64"",""value"":30,""unit"":""m""},""shape"":{""type"":""ENUM"",""value"":""CIRCLE""},""radius_m"":{""type"":""INT64"",""value"":8,""unit"":""m""},""width_m"":{""type"":""INT64"",""value"":0,""unit"":""m""},""duration_s"":{""type"":""INT64"",""value"":8,""unit"":""s""},""tick_s"":{""type"":""INT64"",""value"":1,""unit"":""s""},""damage"":{""type"":""FORMULA"",""src"":""fixed=40"",""ast"":{""q4"":400000}},""attack_coef"":{""type"":""Q4"",""value_scaled_1e4"":2000,""human"":""0.2"",""unit"":""ratio""},""outside_residual_s"":{""type"":""INT64"",""value"":3,""unit"":""s""},""infection_radius_m"":{""type"":""INT64"",""value"":2,""unit"":""m""},""check_interval_s"":{""type"":""Q4"",""value_scaled_1e4"":5000,""human"":""0.5"",""unit"":""s""},""max_generation"":{""type"":""INT64"",""value"":2,""unit"":""scalar""},""stack"":{""type"":""BOOL"",""value"":false},""refresh"":{""type"":""BOOL"",""value"":true},""damage_form"":{""type"":""ENUM"",""value"":""SKILL""},""source_faction"":{""type"":""ENUM"",""value"":""PLAYER_OWNED""},""element_rule"":{""type"":""ENUM"",""value"":""OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT""},""hit_kind"":{""type"":""ENUM"",""value"":""PERIODIC""},""owner_credit"":{""type"":""ENUM"",""value"":""CASTER""},""infection_instance_scope"":{""type"":""ENUM"",""value"":""PER_CASTER_PER_ROOT_EFFECT""},""generation_origin"":{""type"":""ENUM"",""value"":""ROOT_EFFECT_INSTANCE_ID""},""same_caster_reinfection"":{""type"":""ENUM"",""value"":""REFRESH_DURATION_NO_STACK""},""different_caster_infection"":{""type"":""ENUM"",""value"":""INDEPENDENT""},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""99808230cc9c9eee2f369c073edea417116b667735fdbb83ac8404156edfebb0""}}"
H007	"{""effect_type"":{""type"":""ENUM"",""value"":""DAMAGE_SLOW_ZONE""},""targeting"":{""type"":""ENUM"",""value"":""GROUND_POINT""},""cast_type"":{""type"":""ENUM"",""value"":""INSTANT""},""range_m"":{""type"":""INT64"",""value"":30,""unit"":""m""},""shape"":{""type"":""ENUM"",""value"":""CIRCLE""},""radius_m"":{""type"":""INT64"",""value"":10,""unit"":""m""},""width_m"":{""type"":""INT64"",""value"":0,""unit"":""m""},""duration_s"":{""type"":""INT64"",""value"":4,""unit"":""s""},""tick_s"":{""type"":""INT64"",""value"":1,""unit"":""s""},""damage"":{""type"":""FORMULA"",""src"":""fixed=60"",""ast"":{""q4"":600000}},""attack_coef"":{""type"":""Q4"",""value_scaled_1e4"":3000,""human"":""0.3"",""unit"":""ratio""},""slow_percent"":{""type"":""INT64"",""value"":40,""unit"":""pct""},""damage_form"":{""type"":""ENUM"",""value"":""SKILL""},""source_faction"":{""type"":""ENUM"",""value"":""PLAYER_OWNED""},""element_rule"":{""type"":""ENUM"",""value"":""OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT""},""hit_kind"":{""type"":""ENUM"",""value"":""PERIODIC""},""owner_credit"":{""type"":""ENUM"",""value"":""CASTER""},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""70b4018c0e10e8ae29dd652af0484830cb90f98914802b59ccc69638e7530b5f""}}"
H008	"{""effect_type"":{""type"":""ENUM"",""value"":""DELAYED_AREA_DAMAGE""},""targeting"":{""type"":""ENUM"",""value"":""GROUND_POINT""},""cast_type"":{""type"":""ENUM"",""value"":""INSTANT""},""range_m"":{""type"":""INT64"",""value"":30,""unit"":""m""},""shape"":{""type"":""ENUM"",""value"":""CIRCLE""},""radius_m"":{""type"":""INT64"",""value"":12,""unit"":""m""},""width_m"":{""type"":""INT64"",""value"":0,""unit"":""m""},""duration_s"":{""type"":""INT64"",""value"":0,""unit"":""s""},""telegraph_s"":{""type"":""Q4"",""value_scaled_1e4"":15000,""human"":""1.5"",""unit"":""s""},""damage"":{""type"":""FORMULA"",""src"":""fixed=400"",""ast"":{""q4"":4000000}},""attack_coef"":{""type"":""Q4"",""value_scaled_1e4"":12000,""human"":""1.2"",""unit"":""ratio""},""damage_form"":{""type"":""ENUM"",""value"":""SKILL""},""source_faction"":{""type"":""ENUM"",""value"":""PLAYER_OWNED""},""element_rule"":{""type"":""ENUM"",""value"":""OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT""},""hit_kind"":{""type"":""ENUM"",""value"":""ABILITY""},""owner_credit"":{""type"":""ENUM"",""value"":""CASTER""},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""23b5370ed295b9a36a74751917e41257c11cbd04bee511380aaa07b97afa49d3""}}"
H009	"{""effect_type"":{""type"":""ENUM"",""value"":""SELF_COMBAT_BUFF""},""targeting"":{""type"":""ENUM"",""value"":""SELF""},""cast_type"":{""type"":""ENUM"",""value"":""INSTANT""},""range_m"":{""type"":""INT64"",""value"":0,""unit"":""m""},""shape"":{""type"":""ENUM"",""value"":""NONE""},""radius_m"":{""type"":""INT64"",""value"":0,""unit"":""m""},""width_m"":{""type"":""INT64"",""value"":0,""unit"":""m""},""duration_s"":{""type"":""INT64"",""value"":5,""unit"":""s""},""attack_speed_add_percent"":{""type"":""INT64"",""value"":80,""unit"":""pct""},""passive_effect_magnitude_multiplier"":{""type"":""INT64"",""value"":2,""unit"":""ratio""},""passive_proc_probability_multiplier"":{""type"":""INT64"",""value"":1,""unit"":""ratio""},""incoming_damage_multiplier"":{""type"":""Q4"",""value_scaled_1e4"":12000,""human"":""1.2"",""unit"":""ratio""},""passive_magnitude_authority"":{""type"":""ENUM"",""value"":""H009_EXACT_FIELD_WHITELIST""},""excluded_field_classes"":{""type"":""SET"",""element"":""ENUM"",""unique"":true,""ordered"":false,""value"":[""COOLDOWN"",""COUNT"",""DURATION"",""ECONOMY"",""LETHAL_PROTECTION"",""PERMANENT_GROWTH"",""PROC_CHANCE"",""STORM_PROBABILITY""]},""transform_additive"":{""type"":""FORMULA"",""src"":""VALUE*2"",""ast"":{""op"":""MUL"",""args"":[{""var"":""VALUE""},{""q4"":20000}]}},""transform_delta_from_one"":{""type"":""FORMULA"",""src"":""1+(VALUE-1)*2"",""ast"":{""op"":""ADD"",""args"":[{""q4"":10000},{""op"":""MUL"",""args"":[{""op"":""SUB"",""args"":[{""var"":""VALUE""},{""q4"":10000}]},{""q4"":20000}]}]}},""transform_remaining_from_one"":{""type"":""FORMULA"",""src"":""MAX(0,1-(1-VALUE)*2)"",""ast"":{""op"":""MAX"",""args"":[{""q4"":0},{""op"":""SUB"",""args"":[{""q4"":10000},{""op"":""MUL"",""args"":[{""op"":""SUB"",""args"":[{""q4"":10000},{""var"":""VALUE""}]},{""q4"":20000}]}]}]}},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""7f94e7c35b0e797775b19bb9d6be7dd6b4294a390a5ef852201c670e252e5674""}}"
H010	"{""effect_type"":{""type"":""ENUM"",""value"":""ARM_NEXT_BASIC""},""targeting"":{""type"":""ENUM"",""value"":""SELF""},""cast_type"":{""type"":""ENUM"",""value"":""INSTANT""},""range_m"":{""type"":""INT64"",""value"":0,""unit"":""m""},""shape"":{""type"":""ENUM"",""value"":""NONE""},""radius_m"":{""type"":""INT64"",""value"":0,""unit"":""m""},""width_m"":{""type"":""INT64"",""value"":0,""unit"":""m""},""duration_s"":{""type"":""INT64"",""value"":0,""unit"":""s""},""consume_on"":{""type"":""ENUM"",""value"":""VALID_BASIC_HIT_RESOLUTION""},""guaranteed_crit"":{""type"":""BOOL"",""value"":true},""extra_target_missing_hp_percent"":{""type"":""INT64"",""value"":15,""unit"":""pct""},""kill_resets_active_cd"":{""type"":""BOOL"",""value"":true},""consume_if_damage_zero_due_to_dodge_or_immunity"":{""type"":""BOOL"",""value"":true},""do_not_consume_if_no_hit_entity"":{""type"":""BOOL"",""value"":true},""kill_reset_timing"":{""type"":""ENUM"",""value"":""AFTER_LETHAL_COMMIT""},""arm_persistence"":{""type"":""ENUM"",""value"":""UNTIL_NEXT_LEGAL_BASIC_NO_TIMEOUT""},""cleared_on"":{""type"":""SET"",""element"":""ENUM"",""unique"":true,""ordered"":false,""value"":[""ACTIVE_REPLACED"",""HERO_SWAP"",""TRUE_DEATH""]},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""5d446207f556b804518450f466cce01a84537e9ca9093f6e9f3566200fc5f76c""}}"
