effect_type	闭合字段集（除schema_version/payload_sha256外）
AERIAL_DELAYED_AREA_DAMAGE	attack_coef / cast_type / damage / damage_form / duration_s / effect_type / element_rule / hit_kind / owner_credit / radius_m / range_m / shape / source_faction / targeting / telegraph_s / width_m / wind_wall_blocked
ANY_HERO_HEAL_ZONE	cast_type / duration_s / effect_type / faction_filter / heal_per_tick / radius_m / range_m / shape / targeting / tick_s / width_m
ARM_NEXT_BASIC	arm_persistence / cast_type / cleared_on / consume_if_damage_zero_due_to_dodge_or_immunity / consume_on / do_not_consume_if_no_hit_entity / duration_s / effect_type / extra_target_missing_hp_percent / guaranteed_crit / kill_reset_timing / kill_resets_active_cd / radius_m / range_m / shape / targeting / width_m
ATOMIC_SWAP_TWO_VISIBLE_UNITS	cancel_or_timeout / cast_type / duration_s / effect_type / either_destination_illegal / immune_types / legal_types / radius_m / range_m / second_invalid / second_target_same_as_first / second_target_timeout_s / selection_state / shape / targeting / width_m
BASIC_LIFESTEAL_AND_DAMAGE_AURA	aura_heal_equals_actual_hp_damage / basic_lifesteal_add_percent / cast_type / damage_form / damage_per_tick / duration_s / effect_type / element_rule / hit_kind / owner_credit / radius_m / range_m / shape / shield_damage_does_not_heal / source_faction / targeting / tick_s / width_m
BLINK_LEAVE_DELAYED_DECOY	attack_coef / blink_uses_capsule_sweep / cast_type / damage / damage_form / delay_s / distance_m / duration_s / effect_type / element_rule / hit_kind / owner_credit / radius_m / range_m / shape / source_faction / targeting / width_m
CAPSULE_SWEEP_BLINK	cast_type / distance_m / duration_s / effect_type / illegal_endpoint / max_continuous_solid_chord_m / post_cast_lock_s / radius_m / range_m / shape / targeting / width_m
CHAIN_DAMAGE	attack_coef / cast_type / chain_range_m / damage / damage_form / duration_s / each_jump_multiplier / effect_type / element_rule / hit_kind / initial_range_m / max_targets / next_target / owner_credit / radius_m / range_m / shape / source_faction / target_repeat / targeting / width_m
CHARGED_RADIAL_PULL	attack_coef / cast_type / charge_s / damage / damage_form / duration_s / effect_type / element_rule / hit_kind / immune_tiers / landing_ring_m / landing_slot_layout / landing_slot_order / max_target_selection_order / max_targets / occupied_slot / owner_credit / radius_m / range_m / shape / source_faction / targeting / wall_blocks / width_m
CONDITIONAL_POISON_DETONATE	cast_type / damage_events / duration_s / effect_type / max_count / other_owner_stacks_unchanged / radius_m / range_m / shape / stack_scope / targeting / when_no_owned_dot_add_stacks / when_owned_dot_consume_all_owned_dot_and_toxin_stacks / width_m
CONE_DAMAGE_SLOW	angle_deg / attack_coef / cast_type / damage / damage_form / duration_s / effect_type / element_rule / hit_kind / owner_credit / radius_m / range_m / shape / slow_percent / slow_s / source_faction / targeting / width_m
CONTAGIOUS_DAMAGE_ZONE	attack_coef / cast_type / check_interval_s / damage / damage_form / different_caster_infection / duration_s / effect_type / element_rule / generation_origin / hit_kind / infection_instance_scope / infection_radius_m / max_generation / outside_residual_s / owner_credit / radius_m / range_m / refresh / same_caster_reinfection / shape / source_faction / stack / targeting / tick_s / width_m
CREATE_GOLD	amount / cast_type / duration_s / economy_sim_source / effect_type / ledger / radius_m / range_m / shape / targeting / true_death_ready_rule / uses_per_life_not_capped / uses_per_match / width_m
