passive_id	runtime_payload_json
B01	"{""passive_id"":{""type"":""ENUM"",""value"":""B01""},""category"":{""type"":""ENUM"",""value"":""控制类""},""trigger"":{""type"":""ENUM"",""value"":""BASIC_HIT_PROC""},""chance"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""pct"",""per_level"":true,""value"":[10,13,16,20,25]},""slow_percent"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""pct"",""per_level"":true,""value"":[30,40,50,60,80]},""duration_s"":{""type"":""ARRAY"",""element"":""Q4"",""unit"":""s"",""per_level"":true,""value_scaled_1e4"":[20000,20000,25000,25000,30000],""human"":[""2"",""2"",""2.5"",""2.5"",""3""]},""l5_aoe_radius_m"":{""type"":""INT64"",""value"":5,""unit"":""m""},""l5_aoe_slow_percent"":{""type"":""INT64"",""value"":35,""unit"":""pct""},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""875802916ce7996ca0393652e012a4d02bf57bd03309805463d6f6660f45d08c""}}"
B02	"{""passive_id"":{""type"":""ENUM"",""value"":""B02""},""category"":{""type"":""ENUM"",""value"":""控制类""},""trigger"":{""type"":""ENUM"",""value"":""BASIC_HIT_PROC""},""chance"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""pct"",""per_level"":true,""value"":[8,10,12,15,18]},""silence_s"":{""type"":""ARRAY"",""element"":""Q4"",""unit"":""s"",""per_level"":true,""value_scaled_1e4"":[8000,10000,12000,14000,15000],""human"":[""0.8"",""1"",""1.2"",""1.4"",""1.5""]},""l5_on_end_active_cd_add_s"":{""type"":""INT64"",""value"":3,""unit"":""s""},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""6b9b481b1f59a23a947add30be748ddbc5557827ab5838549e092abaff049655""}}"
B03	"{""passive_id"":{""type"":""ENUM"",""value"":""B03""},""category"":{""type"":""ENUM"",""value"":""控制类""},""trigger"":{""type"":""ENUM"",""value"":""BASIC_HIT_PROC""},""chance"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""pct"",""per_level"":true,""value"":[20,23,26,30,35]},""knockback_m"":{""type"":""ARRAY"",""element"":""Q4"",""unit"":""m"",""per_level"":true,""value_scaled_1e4"":[30000,35000,40000,45000,50000],""human"":[""3"",""3.5"",""4"",""4.5"",""5""]},""l5_on_critical_aoe_radius_m"":{""type"":""INT64"",""value"":5,""unit"":""m""},""l5_aoe_knockback_m"":{""type"":""INT64"",""value"":3,""unit"":""m""},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""5b89032fb1e24d6531552f4e9a76fc10755d0440cd8a904bf77567adc2211cd8""}}"
B04	"{""passive_id"":{""type"":""ENUM"",""value"":""B04""},""category"":{""type"":""ENUM"",""value"":""控制类""},""trigger"":{""type"":""ENUM"",""value"":""BASIC_HIT_PROC""},""chance"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""pct"",""per_level"":true,""value"":[10,12,14,17,20]},""basic_miss_percent"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""pct"",""per_level"":true,""value"":[50,60,70,80,80]},""duration_s"":{""type"":""ARRAY"",""element"":""Q4"",""unit"":""s"",""per_level"":true,""value_scaled_1e4"":[20000,20000,25000,25000,30000],""human"":[""2"",""2"",""2.5"",""2.5"",""3""]},""l5_disable_critical"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""be6dadf1a20a4bb7e98363876f99d35ede51a21a1bf357dd10b90faf78ef7441""}}"
B05	"{""passive_id"":{""type"":""ENUM"",""value"":""B05""},""category"":{""type"":""ENUM"",""value"":""控制类""},""trigger"":{""type"":""ENUM"",""value"":""BASIC_HIT_PROC""},""chance"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""pct"",""per_level"":true,""value"":[5,6,7,8,10]},""stun_s"":{""type"":""ARRAY"",""element"":""Q4"",""unit"":""s"",""per_level"":true,""value_scaled_1e4"":[4000,5000,6000,7000,8000],""human"":[""0.4"",""0.5"",""0.6"",""0.7"",""0.8""]},""internal_cd_s"":{""type"":""INT64"",""value"":2,""unit"":""s""},""internal_cd_scope"":{""type"":""ENUM"",""value"":""PER_TARGET""},""l5_aoe_radius_m"":{""type"":""INT64"",""value"":3,""unit"":""m""},""l5_aoe_stun_s"":{""type"":""Q4"",""value_scaled_1e4"":3000,""human"":""0.3"",""unit"":""s""},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""bf9f346fec70592cdbd895075ae9c7775facfb60c179dbe7fe6fdf6225944b21""}}"
B06	"{""passive_id"":{""type"":""ENUM"",""value"":""B06""},""category"":{""type"":""ENUM"",""value"":""伤害类""},""trigger"":{""type"":""ENUM"",""value"":""BASIC_HIT_PROC""},""chance"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""pct"",""per_level"":true,""value"":[8,10,13,16,20]},""critical_damage_percent"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""pct"",""per_level"":true,""value"":[180,190,200,210,230]},""l5_ignore_shield_percent"":{""type"":""INT64"",""value"":30,""unit"":""pct""},""damage_event_model"":{""type"":""ENUM"",""value"":""ONE_PARENT_WITH_SHIELD_CHILD_AND_HP_CHILD""},""proc_and_lifesteal_count"":{""type"":""ENUM"",""value"":""ONCE_PER_PARENT""},""l5_split_rounding"":{""type"":""ENUM"",""value"":""TOTAL_CRIT_FIRST_HP_CHILD_FLOOR_REMAINDER_TO_SHIELD_CHILD""},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""435e219f28afab542d4761de7d049893522b0d70635bdcd865466c8a89fadc0a""}}"
B07	"{""passive_id"":{""type"":""ENUM"",""value"":""B07""},""category"":{""type"":""ENUM"",""value"":""伤害类""},""trigger"":{""type"":""ENUM"",""value"":""BASIC_HIT_PROC""},""chance"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""pct"",""per_level"":true,""value"":[10,13,16,20,25]},""splash_damage_percent"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""pct"",""per_level"":true,""value"":[40,45,50,55,60]},""base_radius_m"":{""type"":""INT64"",""value"":3,""unit"":""m""},""l5_radius_multiplier"":{""type"":""Q4"",""value_scaled_1e4"":15000,""human"":""1.5"",""unit"":""ratio""},""l5_main_target_receives_splash"":{""type"":""BOOL"",""value"":true},""splash_cannot_splash"":{""type"":""BOOL"",""value"":true},""damage_events"":{""type"":""ARRAY"",""element"":""DamageEventSpec"",""ordered"":true,""value"":[{""event_id"":{""type"":""ENUM"",""value"":""SPLASH""},""magnitude_field"":{""type"":""ENUM"",""value"":""splash_damage_percent""},""damage_form"":{""type"":""ENUM"",""value"":""SKILL""},""hit_kind"":{""type"":""ENUM"",""value"":""ABILITY""},""element_rule"":{""type"":""ENUM"",""value"":""OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT""},""source_faction"":{""type"":""ENUM"",""value"":""PLAYER_OWNED""},""owner_credit"":{""type"":""ENUM"",""value"":""OWNER""},""trigger"":{""type"":""ENUM"",""value"":""ON_PROC_COMMIT""}}]},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""bff9ab0b66c7452480bb991c3f5f75b0f551f54f97147befe429244564e5f00e""}}"
B08	"{""passive_id"":{""type"":""ENUM"",""value"":""B08""},""category"":{""type"":""ENUM"",""value"":""伤害类""},""trigger"":{""type"":""ENUM"",""value"":""BASIC_HIT_STACK""},""stacks_required"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""scalar"",""per_level"":true,""value"":[5,5,5,4,4]},""lost_hp_damage_percent"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""pct"",""per_level"":true,""value"":[8,10,12,12,15]},""damage_form"":{""type"":""ENUM"",""value"":""PERCENT""},""l5_spread_stacks"":{""type"":""INT64"",""value"":2,""unit"":""scalar""},""spread_radius_m"":{""type"":""INT64"",""value"":5,""unit"":""m""},""damage_events"":{""type"":""ARRAY"",""element"":""DamageEventSpec"",""ordered"":true,""value"":[{""event_id"":{""type"":""ENUM"",""value"":""DETONATION""},""magnitude_field"":{""type"":""ENUM"",""value"":""lost_hp_damage_percent""},""damage_form"":{""type"":""ENUM"",""value"":""PERCENT""},""hit_kind"":{""type"":""ENUM"",""value"":""ABILITY""},""element_rule"":{""type"":""ENUM"",""value"":""OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT""},""source_faction"":{""type"":""ENUM"",""value"":""PLAYER_OWNED""},""owner_credit"":{""type"":""ENUM"",""value"":""OWNER""},""trigger"":{""type"":""ENUM"",""value"":""ON_STACKS_REACHED""}}]},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""e339b79c2317730e3c5c761543fca573438f636b8e30352471965acda4d859de""}}"
B09	"{""passive_id"":{""type"":""ENUM"",""value"":""B09""},""category"":{""type"":""ENUM"",""value"":""伤害类""},""trigger"":{""type"":""ENUM"",""value"":""BASIC_HIT_DOT""},""damage_per_stack_s"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""hp/s"",""per_level"":true,""value"":[3,4,5,6,8]},""max_stacks"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""scalar"",""per_level"":true,""value"":[3,4,4,5,5]},""duration_s"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""s"",""per_level"":true,""value"":[3,3,4,4,4]},""refresh_duration"":{""type"":""BOOL"",""value"":true},""l5_full_stack_damage_multiplier"":{""type"":""Q4"",""value_scaled_1e4"":15000,""human"":""1.5"",""unit"":""ratio""},""damage_events"":{""type"":""ARRAY"",""element"":""DamageEventSpec"",""ordered"":true,""value"":[{""event_id"":{""type"":""ENUM"",""value"":""POISON_DOT""},""magnitude_field"":{""type"":""ENUM"",""value"":""damage_per_stack_s""},""damage_form"":{""type"":""ENUM"",""value"":""DOT""},""hit_kind"":{""type"":""ENUM"",""value"":""PERIODIC""},""element_rule"":{""type"":""ENUM"",""value"":""OWNER_ELEMENT_IF_TARGET_HAS_ELEMENT""},""source_faction"":{""type"":""ENUM"",""value"":""PLAYER_OWNED""},""owner_credit"":{""type"":""ENUM"",""value"":""OWNER""},""trigger"":{""type"":""ENUM"",""value"":""PER_STACK_PER_SECOND""}}]},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""5177e3c979d9d547caca8478800b105d86c1c85f7dc2a8ef217ba300fb4fba44""}}"
B10	"{""passive_id"":{""type"":""ENUM"",""value"":""B10""},""category"":{""type"":""ENUM"",""value"":""伤害类""},""trigger"":{""type"":""ENUM"",""value"":""DIRECT_DAMAGE_CONDITIONAL""},""hp_threshold_percent"":{""type"":""ARRAY"",""element"":""INT64"",""unit"":""pct"",""per_level"":true,""value"":[20,22,25,28,30]},""damage_multiplier"":{""type"":""ARRAY"",""element"":""Q4"",""unit"":""ratio"",""per_level"":true,""value_scaled_1e4"":[12500,13000,13500,14000,15000],""human"":[""1.25"",""1.3"",""1.35"",""1.4"",""1.5""]},""l5_kill_heal_max_hp_percent"":{""type"":""INT64"",""value"":10,""unit"":""pct""},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""aa2566caff9679490f418c952d835a25740b3653c17b5dd6d13b083cca3d39d9""}}"
