monster_skill_id	runtime_payload_json
PIG_CHARGE	"{""monster_skill_id"":{""type"":""ENUM"",""value"":""PIG_CHARGE""},""user_archetype"":{""type"":""ENUM"",""value"":""五行肥猪""},""cooldown_s"":{""type"":""INT64"",""value"":6,""unit"":""s""},""windup_s"":{""type"":""Q4"",""value_scaled_1e4"":6000,""human"":""0.6"",""unit"":""s""},""shape"":{""type"":""ENUM"",""value"":""LINE""},""length_m"":{""type"":""INT64"",""value"":3,""unit"":""m""},""width_m"":{""type"":""Q4"",""value_scaled_1e4"":16000,""human"":""1.6"",""unit"":""m""},""damage_events"":{""type"":""ARRAY"",""element"":""DamageEventSpec"",""ordered"":true,""value"":[{""event_id"":{""type"":""ENUM"",""value"":""MAIN""},""damage"":{""type"":""INT64"",""value"":80,""unit"":""hp""},""damage_form"":{""type"":""ENUM"",""value"":""SKILL""},""element_rule"":{""type"":""ENUM"",""value"":""BIDIRECTIONAL_FIVE_ELEMENT""},""hit_kind"":{""type"":""ENUM"",""value"":""ABILITY""},""source_faction"":{""type"":""ENUM"",""value"":""MONSTER""},""owner_credit"":{""type"":""ENUM"",""value"":""MONSTER""},""fixed_damage_phase_scaling"":{""type"":""BOOL"",""value"":true}}]},""knockback_m"":{""type"":""INT64"",""value"":2,""unit"":""m""},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""f049570bf125a1c02fd4fbaf214c26606f6324e6e436bb93c5ff875748d6981e""}}"
LEADER_SMASH	"{""monster_skill_id"":{""type"":""ENUM"",""value"":""LEADER_SMASH""},""user_archetype"":{""type"":""ENUM"",""value"":""肉盾首领""},""cooldown_s"":{""type"":""INT64"",""value"":8,""unit"":""s""},""windup_s"":{""type"":""INT64"",""value"":1,""unit"":""s""},""shape"":{""type"":""ENUM"",""value"":""CIRCLE""},""radius_m"":{""type"":""INT64"",""value"":5,""unit"":""m""},""damage_events"":{""type"":""ARRAY"",""element"":""DamageEventSpec"",""ordered"":true,""value"":[{""event_id"":{""type"":""ENUM"",""value"":""MAIN""},""damage"":{""type"":""INT64"",""value"":150,""unit"":""hp""},""damage_form"":{""type"":""ENUM"",""value"":""SKILL""},""element_rule"":{""type"":""ENUM"",""value"":""NONE""},""hit_kind"":{""type"":""ENUM"",""value"":""ABILITY""},""source_faction"":{""type"":""ENUM"",""value"":""MONSTER""},""owner_credit"":{""type"":""ENUM"",""value"":""MONSTER""},""fixed_damage_phase_scaling"":{""type"":""BOOL"",""value"":true}}]},""slow_percent"":{""type"":""INT64"",""value"":30,""unit"":""pct""},""slow_s"":{""type"":""INT64"",""value"":2,""unit"":""s""},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""461d20a71cc3340cc020385cd6e55ec6a84a44079c49b1131ca69f3d6758699e""}}"
LEADER_CONE	"{""monster_skill_id"":{""type"":""ENUM"",""value"":""LEADER_CONE""},""user_archetype"":{""type"":""ENUM"",""value"":""输出首领""},""cooldown_s"":{""type"":""INT64"",""value"":6,""unit"":""s""},""windup_s"":{""type"":""INT64"",""value"":1,""unit"":""s""},""shape"":{""type"":""ENUM"",""value"":""CONE""},""range_m"":{""type"":""INT64"",""value"":8,""unit"":""m""},""angle_deg"":{""type"":""INT64"",""value"":60,""unit"":""deg""},""damage_events"":{""type"":""ARRAY"",""element"":""DamageEventSpec"",""ordered"":true,""value"":[{""event_id"":{""type"":""ENUM"",""value"":""MAIN""},""damage"":{""type"":""INT64"",""value"":200,""unit"":""hp""},""damage_form"":{""type"":""ENUM"",""value"":""SKILL""},""element_rule"":{""type"":""ENUM"",""value"":""NONE""},""hit_kind"":{""type"":""ENUM"",""value"":""ABILITY""},""source_faction"":{""type"":""ENUM"",""value"":""MONSTER""},""owner_credit"":{""type"":""ENUM"",""value"":""MONSTER""},""fixed_damage_phase_scaling"":{""type"":""BOOL"",""value"":true}}]},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""a37e9459bde87990f0acc3708f6bbfb5cdb535d58f7a37a8c2deae4c5ba6fcd0""}}"
DRAGON_BREATH	"{""monster_skill_id"":{""type"":""ENUM"",""value"":""DRAGON_BREATH""},""user_archetype"":{""type"":""ENUM"",""value"":""五行龙王""},""cooldown_s"":{""type"":""INT64"",""value"":7,""unit"":""s""},""windup_s"":{""type"":""Q4"",""value_scaled_1e4"":12000,""human"":""1.2"",""unit"":""s""},""shape"":{""type"":""ENUM"",""value"":""CONE""},""range_m"":{""type"":""INT64"",""value"":10,""unit"":""m""},""angle_deg"":{""type"":""INT64"",""value"":70,""unit"":""deg""},""damage_events"":{""type"":""ARRAY"",""element"":""DamageEventSpec"",""ordered"":true,""value"":[{""event_id"":{""type"":""ENUM"",""value"":""MAIN""},""damage"":{""type"":""INT64"",""value"":280,""unit"":""hp""},""damage_form"":{""type"":""ENUM"",""value"":""SKILL""},""element_rule"":{""type"":""ENUM"",""value"":""BIDIRECTIONAL_FIVE_ELEMENT""},""hit_kind"":{""type"":""ENUM"",""value"":""ABILITY""},""source_faction"":{""type"":""ENUM"",""value"":""MONSTER""},""owner_credit"":{""type"":""ENUM"",""value"":""MONSTER""},""fixed_damage_phase_scaling"":{""type"":""BOOL"",""value"":true}}]},""inherits_element"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""67fdfbab060dfb6394e677cf9b395fab5fb3b8e715626917de12c1a71b6ae46d""}}"
DRAGON_TAIL	"{""monster_skill_id"":{""type"":""ENUM"",""value"":""DRAGON_TAIL""},""user_archetype"":{""type"":""ENUM"",""value"":""五行龙王""},""cooldown_s"":{""type"":""INT64"",""value"":10,""unit"":""s""},""windup_s"":{""type"":""Q4"",""value_scaled_1e4"":6000,""human"":""0.6"",""unit"":""s""},""shape"":{""type"":""ENUM"",""value"":""CIRCLE""},""radius_m"":{""type"":""INT64"",""value"":5,""unit"":""m""},""damage_events"":{""type"":""ARRAY"",""element"":""DamageEventSpec"",""ordered"":true,""value"":[{""event_id"":{""type"":""ENUM"",""value"":""MAIN""},""damage"":{""type"":""INT64"",""value"":180,""unit"":""hp""},""damage_form"":{""type"":""ENUM"",""value"":""SKILL""},""element_rule"":{""type"":""ENUM"",""value"":""BIDIRECTIONAL_FIVE_ELEMENT""},""hit_kind"":{""type"":""ENUM"",""value"":""ABILITY""},""source_faction"":{""type"":""ENUM"",""value"":""MONSTER""},""owner_credit"":{""type"":""ENUM"",""value"":""MONSTER""},""fixed_damage_phase_scaling"":{""type"":""BOOL"",""value"":true}}]},""knockback_m"":{""type"":""INT64"",""value"":3,""unit"":""m""},""inherits_element"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""ecb5c611a8a0a1a63c9497637e824907a66ee549ba179fa79f6ce6d5c1e58b4b""}}"
DRAGON_DASH	"{""monster_skill_id"":{""type"":""ENUM"",""value"":""DRAGON_DASH""},""user_archetype"":{""type"":""ENUM"",""value"":""五行龙王""},""cooldown_s"":{""type"":""INT64"",""value"":12,""unit"":""s""},""windup_s"":{""type"":""INT64"",""value"":1,""unit"":""s""},""shape"":{""type"":""ENUM"",""value"":""LINE_CAPSULE""},""length_m"":{""type"":""INT64"",""value"":8,""unit"":""m""},""width_m"":{""type"":""Q4"",""value_scaled_1e4"":24000,""human"":""2.4"",""unit"":""m""},""height_m"":{""type"":""INT64"",""value"":3,""unit"":""m""},""telegraph_s"":{""type"":""INT64"",""value"":1,""unit"":""s""},""damage_events"":{""type"":""ARRAY"",""element"":""DamageEventSpec"",""ordered"":true,""value"":[{""event_id"":{""type"":""ENUM"",""value"":""MAIN""},""damage"":{""type"":""INT64"",""value"":120,""unit"":""hp""},""damage_form"":{""type"":""ENUM"",""value"":""SKILL""},""element_rule"":{""type"":""ENUM"",""value"":""BIDIRECTIONAL_FIVE_ELEMENT""},""hit_kind"":{""type"":""ENUM"",""value"":""ABILITY""},""source_faction"":{""type"":""ENUM"",""value"":""MONSTER""},""owner_credit"":{""type"":""ENUM"",""value"":""MONSTER""},""fixed_damage_phase_scaling"":{""type"":""BOOL"",""value"":true}}]},""condition"":{""type"":""ENUM"",""value"":""TOP_THREAT_AT_LEAST_12M_FOR_CONTINUOUS_2S_AND_REACHABLE""},""max_distance_m"":{""type"":""INT64"",""value"":8,""unit"":""m""},""slow_percent"":{""type"":""INT64"",""value"":25,""unit"":""pct""},""slow_s"":{""type"":""Q4"",""value_scaled_1e4"":15000,""human"":""1.5"",""unit"":""s""},""inherits_element"":{""type"":""BOOL"",""value"":true},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""28bded4a974106e22e4a0c47e17b985b0a3db0995d25d3032f97247848246398""}}"
CORE_RING	"{""monster_skill_id"":{""type"":""ENUM"",""value"":""CORE_RING""},""user_archetype"":{""type"":""ENUM"",""value"":""核心BOSS公共骨架""},""cooldown_s"":{""type"":""INT64"",""value"":10,""unit"":""s""},""windup_s"":{""type"":""Q4"",""value_scaled_1e4"":15000,""human"":""1.5"",""unit"":""s""},""shape"":{""type"":""ENUM"",""value"":""CIRCLE""},""radius_m"":{""type"":""INT64"",""value"":10,""unit"":""m""},""damage_events"":{""type"":""ARRAY"",""element"":""DamageEventSpec"",""ordered"":true,""value"":[{""event_id"":{""type"":""ENUM"",""value"":""MAIN""},""damage"":{""type"":""INT64"",""value"":400,""unit"":""hp""},""damage_form"":{""type"":""ENUM"",""value"":""SKILL""},""element_rule"":{""type"":""ENUM"",""value"":""NONE""},""hit_kind"":{""type"":""ENUM"",""value"":""ABILITY""},""source_faction"":{""type"":""ENUM"",""value"":""MONSTER""},""owner_credit"":{""type"":""ENUM"",""value"":""MONSTER""},""fixed_damage_phase_scaling"":{""type"":""BOOL"",""value"":true}}]},""first_cast_delay_s"":{""type"":""INT64"",""value"":5,""unit"":""s""},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""3ba29f9d763fcb6e01390341d4e9d55c76bb56fc7846244d4f7bc938b736bff5""}}"
CORE_METEOR	"{""monster_skill_id"":{""type"":""ENUM"",""value"":""CORE_METEOR""},""user_archetype"":{""type"":""ENUM"",""value"":""核心BOSS公共骨架""},""cooldown_s"":{""type"":""INT64"",""value"":20,""unit"":""s""},""windup_s"":{""type"":""INT64"",""value"":2,""unit"":""s""},""shape"":{""type"":""ENUM"",""value"":""CIRCLE""},""radius_m"":{""type"":""INT64"",""value"":6,""unit"":""m""},""damage_events"":{""type"":""ARRAY"",""element"":""DamageEventSpec"",""ordered"":true,""value"":[{""event_id"":{""type"":""ENUM"",""value"":""MAIN""},""damage"":{""type"":""INT64"",""value"":500,""unit"":""hp""},""damage_form"":{""type"":""ENUM"",""value"":""SKILL""},""element_rule"":{""type"":""ENUM"",""value"":""NONE""},""hit_kind"":{""type"":""ENUM"",""value"":""ABILITY""},""source_faction"":{""type"":""ENUM"",""value"":""MONSTER""},""owner_credit"":{""type"":""ENUM"",""value"":""MONSTER""},""fixed_damage_phase_scaling"":{""type"":""BOOL"",""value"":true}}]},""first_cast_delay_s"":{""type"":""INT64"",""value"":10,""unit"":""s""},""target"":{""type"":""ENUM"",""value"":""RANDOM_LIVING_THREAT_TARGET_CAST_POSITION""},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""a19185a0b1064cb97dd5a2f6f763fdd527c75c8e9686d7d86f6394503227afbe""}}"
CORE_V1_EARTHBREAK	"{""monster_skill_id"":{""type"":""ENUM"",""value"":""CORE_V1_EARTHBREAK""},""user_archetype"":{""type"":""ENUM"",""value"":""CORE_COMMON""},""cooldown_s"":{""type"":""INT64"",""value"":16,""unit"":""s""},""windup_s"":{""type"":""Q4"",""value_scaled_1e4"":12000,""human"":""1.2"",""unit"":""s""},""shape"":{""type"":""ENUM"",""value"":""THREE_PARALLEL_LINES""},""length_m"":{""type"":""INT64"",""value"":20,""unit"":""m""},""width_m"":{""type"":""INT64"",""value"":2,""unit"":""m""},""gap_m"":{""type"":""INT64"",""value"":3,""unit"":""m""},""damage"":{""type"":""INT64"",""value"":350,""unit"":""hp""},""knockup_s"":{""type"":""Q4"",""value_scaled_1e4"":6000,""human"":""0.6"",""unit"":""s""},""damage_events"":{""type"":""ARRAY"",""element"":""DamageEventSpec"",""ordered"":true,""value"":[{""event_id"":{""type"":""ENUM"",""value"":""MAIN""},""magnitude_field"":{""type"":""ENUM"",""value"":""damage""},""damage_form"":{""type"":""ENUM"",""value"":""SKILL""},""source_faction"":{""type"":""ENUM"",""value"":""MONSTER""},""element_rule"":{""type"":""ENUM"",""value"":""NONE""},""hit_kind"":{""type"":""ENUM"",""value"":""ABILITY""},""owner_credit"":{""type"":""ENUM"",""value"":""MONSTER""},""trigger"":{""type"":""ENUM"",""value"":""ON_SKILL_RESOLVE""},""fixed_damage_phase_scaling"":{""type"":""BOOL"",""value"":true}}]},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""f81f28ed5befde218f5e7d09c368a760e5de0bd793211a74789dab075e7230eb""}}"
CORE_V2_FIRELANE	"{""monster_skill_id"":{""type"":""ENUM"",""value"":""CORE_V2_FIRELANE""},""user_archetype"":{""type"":""ENUM"",""value"":""CORE_COMMON""},""cooldown_s"":{""type"":""INT64"",""value"":18,""unit"":""s""},""windup_s"":{""type"":""Q4"",""value_scaled_1e4"":12000,""human"":""1.2"",""unit"":""s""},""shape"":{""type"":""ENUM"",""value"":""THREE_RADIAL_LANES_WITH_ONE_GAP""},""length_m"":{""type"":""INT64"",""value"":18,""unit"":""m""},""width_m"":{""type"":""INT64"",""value"":3,""unit"":""m""},""duration_s"":{""type"":""INT64"",""value"":6,""unit"":""s""},""damage_per_s"":{""type"":""INT64"",""value"":100,""unit"":""hp/s""},""lane_count"":{""type"":""INT64"",""value"":3,""unit"":""scalar""},""gap_lane_random_stream"":{""type"":""ENUM"",""value"":""MONSTER_AI""},""damage_events"":{""type"":""ARRAY"",""element"":""DamageEventSpec"",""ordered"":true,""value"":[{""event_id"":{""type"":""ENUM"",""value"":""MAIN""},""magnitude_field"":{""type"":""ENUM"",""value"":""damage_per_s""},""damage_form"":{""type"":""ENUM"",""value"":""DOT""},""source_faction"":{""type"":""ENUM"",""value"":""MONSTER""},""element_rule"":{""type"":""ENUM"",""value"":""NONE""},""hit_kind"":{""type"":""ENUM"",""value"":""PERIODIC""},""owner_credit"":{""type"":""ENUM"",""value"":""MONSTER""},""trigger"":{""type"":""ENUM"",""value"":""ON_SKILL_RESOLVE""},""fixed_damage_phase_scaling"":{""type"":""BOOL"",""value"":true}}]},""schema_version"":{""type"":""ENUM"",""value"":""V3_0""},""payload_sha256"":{""type"":""HASH"",""value"":""c25b63f8c952417c728544fbd9fee3b4116dc6b576a0f7e8e2c68c3a6daa9c4d""}}"
