编号	级别	裁决	落点
108	P0	被动44/装备48/怪物技能/召唤物建强类型权威表，运行时禁止解析分号字符串	E.31 / E.32 / E.33 / E.34
109	P0	唯一单向投影生成器+source_hash；手工维护禁止	第0章约定表 / G_PROJECTION_DRIFT
110	P0	拆分BASE/DAMAGE/HEAL/SUMMON族；owner_credit仅伤害治疗必填	E.30
111	P0	57类型逐类型闭合字段矩阵	E.30
112	P0	公式DSL定义并全部编译AST	E.29 / 各载荷ast字段
113	P0	统一INT64/Q4定点+强制单位	E.28 / 全部载荷
114	P0	LIST废止，改强类型ARRAY/SET	E.28 / 全部载荷
115	P0	H033/H035开放STRING改闭合枚举	E.26载荷 / E.23枚举注册
116	P0	回放/快照/根种子域升级V3_0+旧域兼容映射	15.x域行 / domain_compat
117	P0	B19闪现：COMBAT_PROC流单抽八方向取最远合法点，失败不重抽	第7章B19 / E.31
118	P0	H009施加瞬间快照；已生成实例不回退	E.35
119	P0	H009白名单字段逐类饱和上下限	E.35
120	P0	周期刷新只延长结束时间不重置tick相位	E.35
121	P0	同施法者刷新不叠；异施法者伤害独立减速取最强	E.35
122	P0	H002/H004改damage_events[]逐事件声明	E.26载荷
123	P0	B11闭合候选池12项+落空规则	E.31 B11池表
124	P0	阶段切换保当前生命百分比；死亡实体按重生阶段	E.13行
125	P0	技能固伤×攻击阶段倍率；CD倍率首领1/1/0.95/0.90，龙王核心1/1/0.90/0.85	E.13 / E.33
126	P0	龙王普攻0.45+0.25s，核心0.60+0.35s	11.2表 / E.33
127	P0	经济门槛扩为守恒+分位带+极端构筑+售罄断言	17.1 gates[10]
128	P0	全文档空单元格清零并设G_NO_EMPTY_CELLS	全表 / 17.1
129	P0	38概念图入库清单：源文件名/SHA-256/版权状态/派生资产	16.1.1清单表
130	P0	MVS_019-022改LEADER骨架12000/6000/2000面50骨	16.3台账
131	P0	MonsterSkillShape闭合枚举+逐形状必填几何	E.33 / E.23
132	P0	DISTRICT_PATH_0-5共享边界路径表+闭合覆盖零重叠校验	9.1a路径表
133	P1	D13强制A≠B；重复选择无效继续等待	第6章D13 / E.26
134	P1	D20陷阱250血可破坏无奖励不爆炸不挡路	第6章D20 / E.26
135	P1	D15斩杀=施法者正常野怪击杀；触发链一次；不触发普攻链	第6章D15 / E.26
136	P1	H010无限等待合法普攻；真死/替换/换英雄清除	第6章H010 / E.26
137	P1	B28猎杀目标Nav距离+实体ID唯一化，0.25s重选	第7章B28 / E.31
138	P1	B29仅正伤害触发并重置	第7章B29 / E.31
139	P1	B37剔除WORLD_DAMAGE触发	第7章B37 / E.10 / E.31
140	P1	B39石像禁堵唯一通路；0.5s让路；失败临时无碰撞	第7章B39 / E.31 / E.34
141	P1	B06旁路余数：总暴伤先算，HP子事件FLOOR，余数入护盾子事件	第7章B06 / E.31
142	P1	B24更名化伤；文案明确不能防止致死	第7章 / 附录B.1
143	P1	G4六米内无合法落点：交互失败保持飞行不扣费	第8章G4 / E.32
144	P1	隐身来源独立；敌对动作清隐并伏石显形1.5s后重隐	E.7
145	P1	D12显形覆盖隐身伏石但不穿墙锁定	第6章D12 / E.7
146	P1	D20短按引爆最近/长按选择器/无陷阱才放置	第6章D20 / E.6
147	P1	CORE_V6本体伤害规格删除，移入镜像召唤载荷	11.3 / E.34
148	P1	五行龙王逐元素装饰/阵纹/龙息/尾击/冲锋/命中资产ID	16.2 / 16.3新行
149	P1	动态墙困住实体：下tick重寻路，1秒无路回退最后合法点	E.8
150	P1	全实体NavMesh代理规格表	E.8
151	P1	地面点=相机射线首个合法面；方向技能用瞄准高度；弹道3D扫掠	E.6
152	P1	小地图与锁定的上下层箭头及高度差图标	E.20
153	P1	锁定回看≤250ms；投射物不回溯；移动墙体不倒带	15.1
154	P1	预测误差≤1.5m平滑100ms，超过立即校正	15.1
155	P1	input_seq+估算tick；5s校时；服务端唯一权威	15.1
156	P1	重复丢弃/移动不回溯/普攻250ms验证/交易到达即结算	15.1
157	P1	快照分块+哈希+ACK+BOT托管+下tick交还+按序补事件	13.3
158	P1	版本不符强制更新；席位存活可重连；不算逃跑	13.3
159	P1	客户端100ms表现插值；权威判定只读20Hz	15.1
160	P1	第4设备登录返回会话列表用户明选；撤销即断线	15.2
161	P1	全部写端点错误/HTTP/retryable/幂等冲突矩阵	15.2矩阵表
162	P1	证据包180天+人工复核状态机+撤销原子恢复	15.6
163	P1	交互优先级闭合表：安全提示>英雄>商店>空投>宝箱>遗宝堆>拾取	E.16
164	P2	全部载荷行带schema_version+payload_sha256	E.26/E.31-E.34
165	P2	遗宝堆默认焦点/翻页保序/消失后继任规则	E.16
166	P2	强闪预警必须有低闪三合一替代资产	E.24 / G_LOW_FLASH_ALTERNATES
167	P2	首发锁简体中文CN；其余闭合逐项开启	14.3
168	P2	接受5秒观战延迟残余风险，不加限制	15.6
169	P2	门槛绑定evidence_id/checker_version/result_hash，构建器生成状态	17.1
170	P2	封面状态改为审计闭合态，复核通过后终审	封面
